ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,MPHASIS,10m,2543.90,2547.00,2540.20,2545.20,13472,1786699266354-0,md:candles:10m,1786699276624
1786699799999,MPHASIS,10m,2545.20,2547.70,2544.10,2546.20,12919,1786699871983-0,md:candles:10m,1786699876284
1786700399999,MPHASIS,10m,2545.60,2551.10,2545.50,2547.30,19043,1786700468368-0,md:candles:10m,1786700471301
1786700999999,MPHASIS,10m,2546.10,2556.90,2546.10,2555.00,17139,1786701065481-0,md:candles:10m,1786701070102
1786701599999,MPHASIS,10m,2555.00,2555.00,2545.00,2545.00,369682,1786702896551-0,md:candles:10m,1786702906259
1786702803000,MPHASIS,1d,2543.90,2556.90,2540.20,2545.00,432255,1786702808738-0,md:candles:1d,1786702818543
1786698959999,MPHASIS,1m,2543.90,2545.00,2543.40,2543.70,1787,1786698965451-0,md:candles:1m,1786698974630
1786699019999,MPHASIS,1m,2543.90,2544.50,2540.50,2542.30,1327,1786699025612-0,md:candles:1m,1786699028548
1786699079999,MPHASIS,1m,2541.30,2542.30,2540.20,2542.20,780,1786699085598-0,md:candles:1m,1786699094422
1786699139999,MPHASIS,1m,2541.70,2545.00,2540.90,2545.00,5778,1786699146021-0,md:candles:1m,1786699146984
1786699199999,MPHASIS,1m,2545.00,2547.00,2543.70,2545.20,3800,1786699206079-0,md:candles:1m,1786699208603
1786699259999,MPHASIS,1m,2545.20,2547.00,2545.20,2546.10,1000,1786699266347-0,md:candles:1m,1786699273120
1786699319999,MPHASIS,1m,2546.10,2547.70,2546.10,2547.70,560,1786699327281-0,md:candles:1m,1786699339124
1786699379999,MPHASIS,1m,2547.20,2547.70,2544.10,2544.70,3376,1786699387088-0,md:candles:1m,1786699391745
1786699439999,MPHASIS,1m,2544.50,2547.70,2544.20,2546.30,1972,1786699445985-0,md:candles:1m,1786699457822
1786699499999,MPHASIS,1m,2546.30,2547.70,2546.00,2546.80,516,1786699507663-0,md:candles:1m,1786699511111
1786699559999,MPHASIS,1m,2546.80,2547.00,2545.10,2546.70,609,1786699570969-0,md:candles:1m,1786699576085
1786699619999,MPHASIS,1m,2546.70,2546.80,2544.30,2545.10,1160,1786699630412-0,md:candles:1m,1786699639246
1786699679999,MPHASIS,1m,2545.10,2546.40,2545.10,2545.30,1217,1786699691516-0,md:candles:1m,1786699701410
1786699739999,MPHASIS,1m,2545.30,2545.30,2545.00,2545.20,544,1786699749982-0,md:candles:1m,1786699754023
1786699799999,MPHASIS,1m,2545.00,2547.40,2545.00,2546.20,1965,1786699809111-0,md:candles:1m,1786699821286
1786699859999,MPHASIS,1m,2545.60,2547.20,2545.60,2546.30,1857,1786699871979-0,md:candles:1m,1786699883310
1786699919999,MPHASIS,1m,2547.90,2548.50,2547.70,2548.50,2740,1786699930958-0,md:candles:1m,1786699936026
1786699979999,MPHASIS,1m,2549.10,2551.00,2549.10,2550.10,4613,1786699989308-0,md:candles:1m,1786699989617
1786700039999,MPHASIS,1m,2550.70,2551.10,2549.00,2549.70,1106,1786700047181-0,md:candles:1m,1786700051805
1786700099999,MPHASIS,1m,2549.00,2549.70,2547.50,2547.80,1864,1786700105788-0,md:candles:1m,1786700105816
1786700159999,MPHASIS,1m,2549.10,2549.10,2545.50,2546.80,2408,1786700168543-0,md:candles:1m,1786700171522
1786700219999,MPHASIS,1m,2546.90,2547.00,2546.40,2547.00,546,1786700231328-0,md:candles:1m,1786700233604
1786700279999,MPHASIS,1m,2547.00,2548.40,2547.00,2548.30,2176,1786700286275-0,md:candles:1m,1786700298079
1786700339999,MPHASIS,1m,2548.20,2548.70,2545.50,2546.40,935,1786700346529-0,md:candles:1m,1786700351053
1786700399999,MPHASIS,1m,2545.90,2547.30,2545.60,2547.30,798,1786700406632-0,md:candles:1m,1786700412580
1786700459999,MPHASIS,1m,2546.10,2548.80,2546.10,2548.40,1685,1786700468362-0,md:candles:1m,1786700476026
1786700519999,MPHASIS,1m,2547.40,2548.40,2547.10,2548.40,1490,1786700526418-0,md:candles:1m,1786700529452
1786700579999,MPHASIS,1m,2547.70,2552.50,2546.40,2550.30,4826,1786700585452-0,md:candles:1m,1786700591306
1786700639999,MPHASIS,1m,2550.60,2551.10,2550.00,2551.00,1821,1786700647664-0,md:candles:1m,1786700653590
1786700699999,MPHASIS,1m,2551.50,2556.90,2550.10,2555.00,7316,1786700710341-0,md:candles:1m,1786700715149
1786700759999,MPHASIS,1m,2555.00,2555.00,2555.00,2555.00,1,1786701009983-0,md:candles:1m,1786701010481
1786701059999,MPHASIS,1m,2555.00,2555.00,2555.00,2555.00,933,1786701065477-0,md:candles:1m,1786701071890
1786701119999,MPHASIS,1m,2555.00,2555.00,2555.00,2555.00,405,1786701159019-0,md:candles:1m,1786701161014
1786701179999,MPHASIS,1m,2555.00,2555.00,2555.00,2555.00,4,1786701206732-0,md:candles:1m,1786701215027
1786701239999,MPHASIS,1m,2555.00,2555.00,2555.00,2555.00,45,1786701248982-0,md:candles:1m,1786701260413
1786701299999,MPHASIS,1m,2555.00,2555.00,2555.00,2555.00,70,1786701311176-0,md:candles:1m,1786701313567
1786701359999,MPHASIS,1m,2555.00,2555.00,2555.00,2555.00,3,1786701396818-0,md:candles:1m,1786701400511
1786701419999,MPHASIS,1m,2555.00,2555.00,2555.00,2555.00,30,1786701430067-0,md:candles:1m,1786701432770
1786701479999,MPHASIS,1m,2555.00,2555.00,2555.00,2555.00,219,1786701485556-0,md:candles:1m,1786701486644
1786701539999,MPHASIS,1m,2555.00,2555.00,2545.00,2545.00,367973,1786702808737-0,md:candles:1m,1786702820532
