ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,MUTHOOTFIN,10m,2850.30,2850.30,2846.90,2848.50,7796,1786699266866-0,md:candles:10m,1786699276624
1786699799999,MUTHOOTFIN,10m,2848.10,2852.40,2847.70,2851.30,20729,1786699870754-0,md:candles:10m,1786699876284
1786700399999,MUTHOOTFIN,10m,2849.10,2852.40,2846.30,2847.10,41111,1786700467443-0,md:candles:10m,1786700471301
1786700999999,MUTHOOTFIN,10m,2847.20,2847.20,2843.00,2845.40,18501,1786701070904-0,md:candles:10m,1786701080910
1786701599999,MUTHOOTFIN,10m,2845.40,2845.40,2842.00,2842.00,511468,1786702867410-0,md:candles:10m,1786702875014
1786702802000,MUTHOOTFIN,1d,2850.30,2852.40,2842.00,2842.00,599605,1786702807838-0,md:candles:1d,1786702818543
1786698959999,MUTHOOTFIN,1m,2850.30,2850.30,2850.10,2850.30,25,1786698967021-0,md:candles:1m,1786698974630
1786699019999,MUTHOOTFIN,1m,2850.10,2850.10,2849.50,2849.50,664,1786699028662-0,md:candles:1m,1786699041361
1786699079999,MUTHOOTFIN,1m,2848.90,2848.90,2847.00,2848.00,1817,1786699089400-0,md:candles:1m,1786699094422
1786699139999,MUTHOOTFIN,1m,2847.90,2848.00,2847.60,2847.60,895,1786699147115-0,md:candles:1m,1786699158101
1786699199999,MUTHOOTFIN,1m,2847.70,2848.50,2846.90,2848.50,4395,1786699207885-0,md:candles:1m,1786699208603
1786699259999,MUTHOOTFIN,1m,2848.10,2849.60,2847.70,2848.10,1253,1786699266860-0,md:candles:1m,1786699273120
1786699319999,MUTHOOTFIN,1m,2848.10,2851.80,2848.10,2851.80,1090,1786699326476-0,md:candles:1m,1786699326703
1786699379999,MUTHOOTFIN,1m,2849.50,2850.40,2849.30,2850.30,2879,1786699385859-0,md:candles:1m,1786699391745
1786699439999,MUTHOOTFIN,1m,2850.40,2850.60,2849.10,2850.60,3352,1786699445817-0,md:candles:1m,1786699457822
1786699499999,MUTHOOTFIN,1m,2850.30,2851.10,2849.50,2850.20,1850,1786699506590-0,md:candles:1m,1786699511111
1786699559999,MUTHOOTFIN,1m,2849.70,2850.60,2849.60,2850.60,1555,1786699569886-0,md:candles:1m,1786699576085
1786699619999,MUTHOOTFIN,1m,2850.00,2850.50,2849.80,2850.00,1260,1786699625983-0,md:candles:1m,1786699627296
1786699679999,MUTHOOTFIN,1m,2849.90,2851.80,2849.80,2851.20,2066,1786699689011-0,md:candles:1m,1786699689702
1786699739999,MUTHOOTFIN,1m,2852.00,2852.00,2850.10,2851.30,1319,1786699749905-0,md:candles:1m,1786699754023
1786699799999,MUTHOOTFIN,1m,2851.30,2852.40,2850.10,2851.30,4105,1786699807852-0,md:candles:1m,1786699807941
1786699859999,MUTHOOTFIN,1m,2849.10,2850.70,2849.10,2850.70,6584,1786699870745-0,md:candles:1m,1786699871843
1786699919999,MUTHOOTFIN,1m,2850.90,2851.90,2850.90,2851.80,1497,1786699929954-0,md:candles:1m,1786699936026
1786699979999,MUTHOOTFIN,1m,2851.70,2852.40,2851.20,2851.20,3018,1786699988421-0,md:candles:1m,1786699989617
1786700039999,MUTHOOTFIN,1m,2851.20,2851.20,2850.70,2851.20,1182,1786700046191-0,md:candles:1m,1786700051805
1786700099999,MUTHOOTFIN,1m,2851.10,2851.50,2851.00,2851.10,1884,1786700111607-0,md:candles:1m,1786700118244
1786700159999,MUTHOOTFIN,1m,2850.10,2850.10,2846.30,2847.40,5236,1786700167527-0,md:candles:1m,1786700171522
