ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,NATIONALUM,10m,377.20,377.25,376.20,376.70,307146,1786699266459-0,md:candles:10m,1786699276624
1786699799999,NATIONALUM,10m,376.80,377.30,376.60,376.80,263108,1786699870241-0,md:candles:10m,1786699876284
1786700399999,NATIONALUM,10m,376.85,377.35,375.35,377.35,1066709,1786700465399-0,md:candles:10m,1786700471301
1786700999999,NATIONALUM,10m,376.90,377.40,375.20,375.95,475275,1786701070492-0,md:candles:10m,1786701080910
1786701599999,NATIONALUM,10m,375.95,376.00,375.95,376.00,14934826,1786702872607-0,md:candles:10m,1786702875014
1786702802000,NATIONALUM,1d,377.20,377.40,375.20,376.00,17047064,1786702807442-0,md:candles:1d,1786702818543
1786698959999,NATIONALUM,1m,377.20,377.25,376.75,376.85,97301,1786698966767-0,md:candles:1m,1786698974630
1786699019999,NATIONALUM,1m,376.90,376.90,376.25,376.40,108612,1786699026117-0,md:candles:1m,1786699028548
1786699079999,NATIONALUM,1m,376.40,377.15,376.20,377.05,65782,1786699085623-0,md:candles:1m,1786699094422
1786699139999,NATIONALUM,1m,377.00,377.20,376.85,376.85,26293,1786699145613-0,md:candles:1m,1786699146984
1786699199999,NATIONALUM,1m,377.00,377.00,376.70,376.70,9158,1786699205683-0,md:candles:1m,1786699208603
1786699259999,NATIONALUM,1m,376.80,376.95,376.75,376.80,21849,1786699266432-0,md:candles:1m,1786699273120
1786699319999,NATIONALUM,1m,376.80,376.95,376.75,376.95,22349,1786699326083-0,md:candles:1m,1786699326703
1786699379999,NATIONALUM,1m,377.00,377.30,376.95,377.30,15100,1786699385818-0,md:candles:1m,1786699391745
1786699439999,NATIONALUM,1m,377.15,377.30,377.15,377.30,9088,1786699445798-0,md:candles:1m,1786699457822
1786699499999,NATIONALUM,1m,377.10,377.25,377.00,377.10,39991,1786699506203-0,md:candles:1m,1786699511111
1786699559999,NATIONALUM,1m,377.10,377.15,377.00,377.10,11061,1786699568874-0,md:candles:1m,1786699576085
1786699619999,NATIONALUM,1m,377.05,377.15,377.05,377.15,15196,1786699629049-0,md:candles:1m,1786699639246
1786699679999,NATIONALUM,1m,377.10,377.20,377.05,377.15,22535,1786699688985-0,md:candles:1m,1786699689702
1786699739999,NATIONALUM,1m,377.20,377.20,376.65,376.90,62090,1786699745490-0,md:candles:1m,1786699754023
1786699799999,NATIONALUM,1m,376.80,376.90,376.60,376.80,43849,1786699805543-0,md:candles:1m,1786699807941
1786699859999,NATIONALUM,1m,376.85,376.90,376.60,376.60,33311,1786699870237-0,md:candles:1m,1786699871843
1786699919999,NATIONALUM,1m,376.60,376.70,376.50,376.50,47498,1786699929548-0,md:candles:1m,1786699936026
1786699979999,NATIONALUM,1m,376.45,376.50,376.40,376.50,42898,1786699988039-0,md:candles:1m,1786699989617
1786700039999,NATIONALUM,1m,376.55,376.60,376.55,376.60,43437,1786700046170-0,md:candles:1m,1786700051805
1786700099999,NATIONALUM,1m,376.65,376.65,376.25,376.65,78449,1786700108256-0,md:candles:1m,1786700118244
1786700159999,NATIONALUM,1m,376.05,376.20,375.60,375.95,241070,1786700165162-0,md:candles:1m,1786700171522
1786700219999,NATIONALUM,1m,375.90,376.05,375.35,375.80,163754,1786700225196-0,md:candles:1m,1786700233604
1786700279999,NATIONALUM,1m,375.75,376.00,375.75,376.00,51556,1786700286266-0,md:candles:1m,1786700298079
1786700339999,NATIONALUM,1m,375.95,376.65,375.95,376.30,93296,1786700346592-0,md:candles:1m,1786700351053
1786700399999,NATIONALUM,1m,376.05,377.35,375.85,377.35,271440,1786700405356-0,md:candles:1m,1786700412580
1786700459999,NATIONALUM,1m,376.90,377.30,376.70,377.10,44451,1786700465388-0,md:candles:1m,1786700476026
1786700519999,NATIONALUM,1m,377.30,377.40,377.10,377.20,26728,1786700525286-0,md:candles:1m,1786700529452
1786700579999,NATIONALUM,1m,377.20,377.20,375.20,375.75,245279,1786700585854-0,md:candles:1m,1786700591306
1786700639999,NATIONALUM,1m,375.80,376.40,375.75,375.95,71404,1786700645273-0,md:candles:1m,1786700653590
1786700699999,NATIONALUM,1m,375.95,376.00,375.40,375.95,86392,1786700709042-0,md:candles:1m,1786700715149
1786700759999,NATIONALUM,1m,375.95,375.95,375.95,375.95,1021,1786701008399-0,md:candles:1m,1786701010481
1786701059999,NATIONALUM,1m,375.95,375.95,375.95,375.95,29250,1786701070487-0,md:candles:1m,1786701071890
1786701119999,NATIONALUM,1m,375.95,375.95,375.95,375.95,5497,1786701127189-0,md:candles:1m,1786701137210
1786701179999,NATIONALUM,1m,375.95,375.95,375.95,375.95,6056,1786701187431-0,md:candles:1m,1786701191510
1786701239999,NATIONALUM,1m,375.95,375.95,375.95,375.95,6536,1786701247591-0,md:candles:1m,1786701248276
1786701299999,NATIONALUM,1m,375.95,375.95,375.95,375.95,6695,1786701309777-0,md:candles:1m,1786701313567
1786701359999,NATIONALUM,1m,375.95,375.95,375.95,375.95,2691,1786701369544-0,md:candles:1m,1786701379364
1786701419999,NATIONALUM,1m,375.95,375.95,375.95,375.95,1423,1786701428666-0,md:candles:1m,1786701432770
1786701479999,NATIONALUM,1m,375.95,375.95,375.95,375.95,750,1786701491770-0,md:candles:1m,1786701496799
1786701539999,NATIONALUM,1m,375.95,376.00,375.95,376.00,14875928,1786702807441-0,md:candles:1m,1786702808525
1786702859999,NATIONALUM,1m,376.00,376.00,376.00,376.00,2219,1786702872604-0,md:candles:1m,1786702874006
1786702919999,NATIONALUM,1m,376.00,376.00,376.00,376.00,2489,1786702935590-0,md:candles:1m,1786702937190
1786702979999,NATIONALUM,1m,376.00,376.00,376.00,376.00,1198,1786702989238-0,md:candles:1m,1786702990427
1786703039999,NATIONALUM,1m,376.00,376.00,376.00,376.00,2511,1786703049011-0,md:candles:1m,1786703055708
1786703099999,NATIONALUM,1m,376.00,376.00,376.00,376.00,316,1786703107478-0,md:candles:1m,1786703108172
1786703159999,NATIONALUM,1m,376.00,376.00,376.00,376.00,558,1786703187866-0,md:candles:1m,1786703195974
1786703219999,NATIONALUM,1m,376.00,376.00,376.00,376.00,355,1786703227598-0,md:candles:1m,1786703228996
1786703279999,NATIONALUM,1m,376.00,376.00,376.00,376.00,533,1786703297572-0,md:candles:1m,1786703302579
1786703339999,NATIONALUM,1m,376.00,376.00,376.00,376.00,58,1786703361359-0,md:candles:1m,1786703368956
1786699799999,NATIONALUM,30m,377.20,377.30,376.20,376.80,570254,1786699870242-0,md:candles:30m,1786699872287
1786701599999,NATIONALUM,30m,376.85,377.40,375.20,376.00,16476810,1786702872608-0,md:candles:30m,1786702882739
1786699199999,NATIONALUM,5m,377.20,377.25,376.20,376.70,307146,1786699266458-0,md:candles:5m,1786699276624
1786699499999,NATIONALUM,5m,376.80,377.30,376.75,377.10,108377,1786699568888-0,md:candles:5m,1786699570970
1786699799999,NATIONALUM,5m,377.10,377.20,376.60,376.80,154731,1786699870239-0,md:candles:5m,1786699880291
1786700099999,NATIONALUM,5m,376.85,376.90,376.25,376.65,245593,1786700165168-0,md:candles:5m,1786700170829
1786700399999,NATIONALUM,5m,376.05,377.35,375.35,377.35,821116,1786700465397-0,md:candles:5m,1786700471362
1786700699999,NATIONALUM,5m,376.90,377.40,375.20,375.95,474254,1786701008400-0,md:candles:5m,1786701013188
1786700999999,NATIONALUM,5m,375.95,375.95,375.95,375.95,1021,1786701070491-0,md:candles:5m,1786701080800
1786701299999,NATIONALUM,5m,375.95,375.95,375.95,375.95,54034,1786701369546-0,md:candles:5m,1786701379364
1786701599999,NATIONALUM,5m,375.95,376.00,375.95,376.00,14880792,1786702872605-0,md:candles:5m,1786702874028
1786703099999,NATIONALUM,5m,376.00,376.00,376.00,376.00,8733,1786703187868-0,md:candles:5m,1786703196573
