ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,NAUKRI,10m,1344.10,1345.00,1343.90,1344.60,8028,1786699266256-0,md:candles:10m,1786699276624
1786699799999,NAUKRI,10m,1344.80,1345.90,1341.00,1342.00,47938,1786699865497-0,md:candles:10m,1786699876284
1786700399999,NAUKRI,10m,1341.80,1342.80,1337.30,1338.40,52273,1786700465505-0,md:candles:10m,1786700471301
1786700999999,NAUKRI,10m,1337.90,1343.50,1337.10,1338.90,40807,1786701069812-0,md:candles:10m,1786701070102
1786701599999,NAUKRI,10m,1338.90,1343.00,1338.90,1343.00,1047990,1786703231207-0,md:candles:10m,1786703239202
1786702801000,NAUKRI,1d,1344.10,1345.90,1337.10,1343.00,1197036,1786702806843-0,md:candles:1d,1786702807233
1786698959999,NAUKRI,1m,1344.10,1344.90,1344.10,1344.70,1617,1786698965916-0,md:candles:1m,1786698974630
1786699019999,NAUKRI,1m,1344.20,1344.80,1343.90,1344.20,1575,1786699025599-0,md:candles:1m,1786699028548
1786699079999,NAUKRI,1m,1344.90,1345.00,1344.20,1344.40,1940,1786699085522-0,md:candles:1m,1786699094422
1786699139999,NAUKRI,1m,1344.40,1344.90,1344.10,1344.90,1603,1786699147862-0,md:candles:1m,1786699158101
1786699199999,NAUKRI,1m,1344.40,1344.90,1344.10,1344.60,1293,1786699206901-0,md:candles:1m,1786699208603
1786699259999,NAUKRI,1m,1344.80,1345.90,1343.40,1343.40,16500,1786699266244-0,md:candles:1m,1786699273120
1786699319999,NAUKRI,1m,1343.90,1345.00,1342.90,1344.40,3130,1786699325600-0,md:candles:1m,1786699326703
1786699379999,NAUKRI,1m,1344.90,1345.00,1343.70,1344.10,1991,1786699388366-0,md:candles:1m,1786699391745
1786699439999,NAUKRI,1m,1344.10,1344.60,1344.00,1344.20,1744,1786699446994-0,md:candles:1m,1786699457822
1786699499999,NAUKRI,1m,1344.20,1344.20,1343.40,1343.50,2930,1786699505305-0,md:candles:1m,1786699511111
1786699559999,NAUKRI,1m,1344.00,1344.10,1343.10,1343.10,2162,1786699565151-0,md:candles:1m,1786699565357
1786699619999,NAUKRI,1m,1343.60,1344.10,1343.30,1343.40,2320,1786699628213-0,md:candles:1m,1786699639246
1786699679999,NAUKRI,1m,1343.40,1343.90,1343.20,1343.40,2724,1786699688000-0,md:candles:1m,1786699689702
1786699739999,NAUKRI,1m,1343.70,1344.30,1342.60,1342.60,7631,1786699748790-0,md:candles:1m,1786699754023
1786699799999,NAUKRI,1m,1343.10,1343.80,1341.00,1342.00,6806,1786699805344-0,md:candles:1m,1786699807941
1786699859999,NAUKRI,1m,1341.80,1342.80,1341.80,1342.10,4670,1786699865487-0,md:candles:1m,1786699871843
1786699919999,NAUKRI,1m,1342.60,1342.60,1341.80,1342.40,2133,1786699926129-0,md:candles:1m,1786699936026
1786699979999,NAUKRI,1m,1342.50,1342.60,1342.20,1342.50,4069,1786699987260-0,md:candles:1m,1786699989617
1786700039999,NAUKRI,1m,1342.40,1342.50,1341.40,1341.40,3016,1786700047740-0,md:candles:1m,1786700051805
1786700099999,NAUKRI,1m,1341.70,1341.70,1340.50,1340.70,3042,1786700107413-0,md:candles:1m,1786700118244
1786700159999,NAUKRI,1m,1341.90,1342.60,1337.30,1337.40,18869,1786700166184-0,md:candles:1m,1786700171522
1786700219999,NAUKRI,1m,1337.30,1339.70,1337.30,1339.30,4673,1786700227230-0,md:candles:1m,1786700233604
1786700279999,NAUKRI,1m,1339.00,1339.80,1338.70,1338.80,4520,1786700291026-0,md:candles:1m,1786700298079
1786700339999,NAUKRI,1m,1338.90,1338.90,1338.70,1338.70,3264,1786700345597-0,md:candles:1m,1786700351053
1786700399999,NAUKRI,1m,1338.80,1338.90,1338.40,1338.40,4017,1786700410376-0,md:candles:1m,1786700412580
1786700459999,NAUKRI,1m,1337.90,1338.10,1337.70,1337.70,5000,1786700465460-0,md:candles:1m,1786700476026
1786700519999,NAUKRI,1m,1337.80,1337.80,1337.20,1337.60,5613,1786700527582-0,md:candles:1m,1786700529452
1786700579999,NAUKRI,1m,1337.70,1339.80,1337.30,1338.40,13094,1786700590423-0,md:candles:1m,1786700591306
1786700639999,NAUKRI,1m,1338.30,1340.60,1337.10,1340.00,10738,1786700645647-0,md:candles:1m,1786700653590
1786700699999,NAUKRI,1m,1340.20,1343.50,1339.30,1339.50,6142,1786700705435-0,md:candles:1m,1786700715149
1786700759999,NAUKRI,1m,1338.90,1338.90,1338.90,1338.90,220,1786701007511-0,md:candles:1m,1786701010481
1786701059999,NAUKRI,1m,1338.90,1338.90,1338.90,1338.90,15766,1786701069800-0,md:candles:1m,1786701071890
1786701119999,NAUKRI,1m,1338.90,1338.90,1338.90,1338.90,4945,1786701126468-0,md:candles:1m,1786701126761
1786701179999,NAUKRI,1m,1338.90,1338.90,1338.90,1338.90,591,1786701186822-0,md:candles:1m,1786701191510
1786701239999,NAUKRI,1m,1338.90,1338.90,1338.90,1338.90,83,1786701246890-0,md:candles:1m,1786701248276
1786701299999,NAUKRI,1m,1338.90,1338.90,1338.90,1338.90,245,1786701315787-0,md:candles:1m,1786701324284
1786701359999,NAUKRI,1m,1338.90,1338.90,1338.90,1338.90,105,1786701368847-0,md:candles:1m,1786701379364
1786701419999,NAUKRI,1m,1338.90,1338.90,1338.90,1338.90,110,1786701441227-0,md:candles:1m,1786701443578
1786701479999,NAUKRI,1m,1338.90,1338.90,1338.90,1338.90,53,1786701490872-0,md:candles:1m,1786701496799
1786701539999,NAUKRI,1m,1338.90,1343.00,1338.90,1343.00,1026092,1786702806842-0,md:candles:1m,1786702808525
1786702859999,NAUKRI,1m,1343.00,1343.00,1343.00,1343.00,8,1786703231203-0,md:candles:1m,1786703239900
1786699799999,NAUKRI,30m,1344.10,1345.90,1341.00,1342.00,55966,1786699865498-0,md:candles:30m,1786699872287
1786701599999,NAUKRI,30m,1341.80,1343.50,1337.10,1343.00,1141070,1786703231208-0,md:candles:30m,1786703237212
1786699199999,NAUKRI,5m,1344.10,1345.00,1343.90,1344.60,8028,1786699266254-0,md:candles:5m,1786699276624
1786699499999,NAUKRI,5m,1344.80,1345.90,1342.90,1343.50,26295,1786699565154-0,md:candles:5m,1786699570970
1786699799999,NAUKRI,5m,1344.00,1344.30,1341.00,1342.00,21643,1786699865494-0,md:candles:5m,1786699868444
1786700099999,NAUKRI,5m,1341.80,1342.80,1340.50,1340.70,16930,1786700166187-0,md:candles:5m,1786700170829
1786700399999,NAUKRI,5m,1341.90,1342.60,1337.30,1338.40,35343,1786700465504-0,md:candles:5m,1786700471362
1786700699999,NAUKRI,5m,1337.90,1343.50,1337.10,1339.50,40587,1786701007513-0,md:candles:5m,1786701013188
1786700999999,NAUKRI,5m,1338.90,1338.90,1338.90,1338.90,220,1786701069811-0,md:candles:5m,1786701080800
1786701299999,NAUKRI,5m,1338.90,1338.90,1338.90,1338.90,21630,1786701368849-0,md:candles:5m,1786701379364
1786701599999,NAUKRI,5m,1338.90,1343.00,1338.90,1343.00,1026360,1786703231205-0,md:candles:5m,1786703240202
