ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,NBCC,10m,89.53,89.53,89.38,89.40,107572,1786699265631-0,md:candles:10m,1786699276624
1786699799999,NBCC,10m,89.40,89.57,89.38,89.38,574805,1786699869255-0,md:candles:10m,1786699876284
1786700399999,NBCC,10m,89.40,89.41,89.19,89.22,627973,1786700466291-0,md:candles:10m,1786700471301
1786700999999,NBCC,10m,89.19,89.40,89.11,89.11,381438,1786701069639-0,md:candles:10m,1786701070102
1786701599999,NBCC,10m,89.11,89.15,89.11,89.15,10123648,1786702889335-0,md:candles:10m,1786702895644
1786702801000,NBCC,1d,89.53,89.57,89.11,89.15,11815436,1786702806640-0,md:candles:1d,1786702807233
1786698959999,NBCC,1m,89.53,89.53,89.50,89.53,2853,1786698965709-0,md:candles:1m,1786698974630
1786699019999,NBCC,1m,89.53,89.53,89.50,89.53,5614,1786699027900-0,md:candles:1m,1786699028548
1786699079999,NBCC,1m,89.47,89.50,89.46,89.49,31834,1786699085681-0,md:candles:1m,1786699094422
1786699139999,NBCC,1m,89.45,89.50,89.45,89.48,12102,1786699145494-0,md:candles:1m,1786699146984
1786699199999,NBCC,1m,89.48,89.48,89.38,89.40,55169,1786699206615-0,md:candles:1m,1786699208603
1786699259999,NBCC,1m,89.40,89.47,89.40,89.42,68569,1786699265618-0,md:candles:1m,1786699273120
1786699319999,NBCC,1m,89.42,89.46,89.41,89.45,11279,1786699325176-0,md:candles:1m,1786699326703
1786699379999,NBCC,1m,89.46,89.48,89.42,89.42,12010,1786699388185-0,md:candles:1m,1786699391745
1786699439999,NBCC,1m,89.46,89.48,89.44,89.45,25591,1786699446793-0,md:candles:1m,1786699457822
1786699499999,NBCC,1m,89.45,89.57,89.44,89.55,347369,1786699508099-0,md:candles:1m,1786699511111
1786699559999,NBCC,1m,89.50,89.56,89.50,89.54,21879,1786699565949-0,md:candles:1m,1786699576085
1786699619999,NBCC,1m,89.54,89.54,89.50,89.53,17932,1786699625819-0,md:candles:1m,1786699627296
1786699679999,NBCC,1m,89.53,89.53,89.49,89.52,17007,1786699689036-0,md:candles:1m,1786699689702
1786699739999,NBCC,1m,89.52,89.52,89.41,89.43,21612,1786699748073-0,md:candles:1m,1786699754023
1786699799999,NBCC,1m,89.42,89.45,89.38,89.38,31557,1786699806364-0,md:candles:1m,1786699807941
1786699859999,NBCC,1m,89.40,89.41,89.37,89.38,41188,1786699869245-0,md:candles:1m,1786699871843
1786699919999,NBCC,1m,89.40,89.40,89.35,89.35,43357,1786699928552-0,md:candles:1m,1786699936026
1786699979999,NBCC,1m,89.35,89.35,89.31,89.32,59183,1786699987062-0,md:candles:1m,1786699989617
1786700039999,NBCC,1m,89.31,89.32,89.28,89.31,70696,1786700045294-0,md:candles:1m,1786700051805
1786700099999,NBCC,1m,89.31,89.31,89.27,89.30,41425,1786700107396-0,md:candles:1m,1786700118244
1786700159999,NBCC,1m,89.29,89.32,89.29,89.32,67943,1786700166129-0,md:candles:1m,1786700171522
1786700219999,NBCC,1m,89.32,89.32,89.20,89.20,182568,1786700225290-0,md:candles:1m,1786700233604
1786700279999,NBCC,1m,89.19,89.20,89.19,89.20,48344,1786700290674-0,md:candles:1m,1786700298079
1786700339999,NBCC,1m,89.21,89.25,89.21,89.25,31343,1786700345582-0,md:candles:1m,1786700351053
