ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,NCC,10m,140.90,141.00,140.90,140.97,19742,1786699267107-0,md:candles:10m,1786699276624
1786699799999,NCC,10m,140.97,141.00,140.74,140.77,45545,1786699871139-0,md:candles:10m,1786699876284
1786700399999,NCC,10m,140.77,140.98,140.50,140.98,124685,1786700467464-0,md:candles:10m,1786700471301
1786700999999,NCC,10m,140.97,140.97,140.50,140.69,59750,1786701065558-0,md:candles:10m,1786701070102
1786701599999,NCC,10m,140.69,141.00,140.51,140.98,48027,1786701702497-0,md:candles:10m,1786701708808
1786702199999,NCC,10m,140.98,140.98,140.65,140.65,33,1786702923786-0,md:candles:10m,1786702927372
1786701601000,NCC,1d,140.90,141.00,140.50,140.98,297749,1786701606537-0,md:candles:1d,1786701615808
1786698959999,NCC,1m,140.90,140.99,140.90,140.99,1344,1786698967115-0,md:candles:1m,1786698974630
1786699019999,NCC,1m,140.99,140.99,140.94,140.99,2341,1786699030912-0,md:candles:1m,1786699041361
1786699079999,NCC,1m,140.99,141.00,140.99,141.00,5807,1786699089729-0,md:candles:1m,1786699094422
1786699139999,NCC,1m,141.00,141.00,140.96,140.99,1478,1786699147399-0,md:candles:1m,1786699158101
1786699199999,NCC,1m,140.99,141.00,140.90,140.97,8772,1786699208079-0,md:candles:1m,1786699208603
1786699259999,NCC,1m,140.97,141.00,140.90,140.97,3016,1786699267099-0,md:candles:1m,1786699273120
1786699319999,NCC,1m,140.97,141.00,140.93,141.00,8846,1786699326706-0,md:candles:1m,1786699326703
1786699379999,NCC,1m,141.00,141.00,140.94,141.00,1430,1786699389781-0,md:candles:1m,1786699391745
1786699439999,NCC,1m,141.00,141.00,140.93,140.98,2493,1786699445820-0,md:candles:1m,1786699457822
1786699499999,NCC,1m,140.96,140.96,140.77,140.88,14436,1786699506979-0,md:candles:1m,1786699511111
1786699559999,NCC,1m,140.87,140.87,140.78,140.85,1958,1786699569894-0,md:candles:1m,1786699576085
1786699619999,NCC,1m,140.83,140.85,140.80,140.80,6692,1786699625994-0,md:candles:1m,1786699627296
1786699679999,NCC,1m,140.78,140.78,140.75,140.76,3631,1786699689944-0,md:candles:1m,1786699701410
1786699739999,NCC,1m,140.77,140.77,140.75,140.77,968,1786699749960-0,md:candles:1m,1786699754023
1786699799999,NCC,1m,140.78,140.79,140.74,140.77,2075,1786699808263-0,md:candles:1m,1786699821286
1786699859999,NCC,1m,140.77,140.77,140.67,140.68,5954,1786699871130-0,md:candles:1m,1786699871843
1786699919999,NCC,1m,140.69,140.70,140.69,140.70,8345,1786699930234-0,md:candles:1m,1786699936026
1786699979999,NCC,1m,140.70,140.70,140.60,140.64,8973,1786699988628-0,md:candles:1m,1786699989617
1786700039999,NCC,1m,140.61,140.65,140.50,140.57,6558,1786700047164-0,md:candles:1m,1786700051805
1786700099999,NCC,1m,140.60,140.60,140.50,140.51,9452,1786700112238-0,md:candles:1m,1786700118244
