ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,NESTLEIND,10m,1503.10,1503.30,1500.70,1501.00,26787,1786699265751-0,md:candles:10m,1786699276624
1786699799999,NESTLEIND,10m,1501.00,1504.00,1501.00,1503.40,78699,1786699865540-0,md:candles:10m,1786699876284
1786700399999,NESTLEIND,10m,1503.20,1504.10,1499.50,1502.30,134438,1786700467390-0,md:candles:10m,1786700471301
1786700999999,NESTLEIND,10m,1502.30,1504.10,1499.20,1500.20,47770,1786701083507-0,md:candles:10m,1786701092722
1786701599999,NESTLEIND,10m,1500.20,1500.20,1499.10,1499.10,1478218,1786702975529-0,md:candles:10m,1786702981332
1786702802000,NESTLEIND,1d,1503.10,1504.10,1499.10,1499.10,1765912,1786702807726-0,md:candles:1d,1786702818543
1786698959999,NESTLEIND,1m,1503.10,1503.30,1502.60,1502.80,2464,1786698966868-0,md:candles:1m,1786698974630
1786699019999,NESTLEIND,1m,1502.60,1502.60,1502.00,1502.20,2817,1786699030422-0,md:candles:1m,1786699041361
1786699079999,NESTLEIND,1m,1502.20,1502.40,1502.10,1502.40,1488,1786699087103-0,md:candles:1m,1786699094422
1786699139999,NESTLEIND,1m,1502.30,1502.50,1502.10,1502.40,3688,1786699146849-0,md:candles:1m,1786699146984
1786699199999,NESTLEIND,1m,1502.50,1502.50,1500.70,1501.00,16330,1786699207678-0,md:candles:1m,1786699208603
1786699259999,NESTLEIND,1m,1501.00,1502.50,1501.00,1502.00,18830,1786699265715-0,md:candles:1m,1786699273120
1786699319999,NESTLEIND,1m,1502.00,1503.10,1501.60,1502.90,18141,1786699326283-0,md:candles:1m,1786699326703
1786699379999,NESTLEIND,1m,1503.50,1503.50,1502.60,1502.60,9605,1786699385408-0,md:candles:1m,1786699391745
1786699439999,NESTLEIND,1m,1503.00,1503.30,1502.30,1503.00,7574,1786699445795-0,md:candles:1m,1786699457822
1786699499999,NESTLEIND,1m,1503.20,1504.00,1503.00,1504.00,4007,1786699506396-0,md:candles:1m,1786699511111
1786699559999,NESTLEIND,1m,1504.00,1504.00,1503.60,1503.60,2882,1786699568886-0,md:candles:1m,1786699576085
1786699619999,NESTLEIND,1m,1503.50,1503.60,1502.70,1503.30,2803,1786699629214-0,md:candles:1m,1786699639246
1786699679999,NESTLEIND,1m,1503.30,1503.70,1503.10,1503.40,3147,1786699688995-0,md:candles:1m,1786699689702
1786699739999,NESTLEIND,1m,1503.50,1503.60,1503.20,1503.40,4265,1786699749031-0,md:candles:1m,1786699754023
1786699799999,NESTLEIND,1m,1502.10,1503.90,1502.10,1503.40,7445,1786699807666-0,md:candles:1m,1786699807941
1786699859999,NESTLEIND,1m,1503.20,1503.20,1502.10,1502.60,12201,1786699865534-0,md:candles:1m,1786699871843
1786699919999,NESTLEIND,1m,1502.60,1502.80,1502.30,1502.60,6059,1786699927334-0,md:candles:1m,1786699936026
1786699979999,NESTLEIND,1m,1502.90,1502.90,1501.00,1501.80,7097,1786699988260-0,md:candles:1m,1786699989617
1786700039999,NESTLEIND,1m,1501.20,1502.00,1501.10,1501.70,12394,1786700046181-0,md:candles:1m,1786700051805
1786700099999,NESTLEIND,1m,1501.30,1501.90,1501.00,1501.00,22244,1786700108265-0,md:candles:1m,1786700118244
1786700159999,NESTLEIND,1m,1500.80,1501.00,1499.50,1501.00,40421,1786700165903-0,md:candles:1m,1786700171522
1786700219999,NESTLEIND,1m,1500.30,1502.90,1500.30,1502.40,11090,1786700225269-0,md:candles:1m,1786700233604
1786700279999,NESTLEIND,1m,1502.60,1502.70,1502.40,1502.70,2945,1786700285238-0,md:candles:1m,1786700286220
1786700339999,NESTLEIND,1m,1502.60,1504.10,1502.30,1503.20,16248,1786700346461-0,md:candles:1m,1786700351053
1786700399999,NESTLEIND,1m,1503.20,1503.20,1502.30,1502.30,3739,1786700405543-0,md:candles:1m,1786700412580
1786700459999,NESTLEIND,1m,1502.30,1502.40,1500.70,1502.40,16559,1786700467379-0,md:candles:1m,1786700476026
1786700519999,NESTLEIND,1m,1502.30,1502.40,1501.60,1501.80,7109,1786700525179-0,md:candles:1m,1786700529452
1786700579999,NESTLEIND,1m,1501.90,1501.90,1501.00,1501.00,8278,1786700586173-0,md:candles:1m,1786700591306
1786700639999,NESTLEIND,1m,1501.00,1502.00,1500.90,1502.00,5407,1786700645460-0,md:candles:1m,1786700653590
1786700699999,NESTLEIND,1m,1500.10,1504.10,1499.20,1500.20,10417,1786700720361-0,md:candles:1m,1786700726355
1786700759999,NESTLEIND,1m,1500.20,1500.20,1500.20,1500.20,0,1786701008613-0,md:candles:1m,1786701010481
1786701059999,NESTLEIND,1m,1500.20,1500.20,1500.20,1500.20,23074,1786701083504-0,md:candles:1m,1786701094723
1786701119999,NESTLEIND,1m,1500.20,1500.20,1500.20,1500.20,339,1786701139687-0,md:candles:1m,1786701149293
1786701179999,NESTLEIND,1m,1500.20,1500.20,1500.20,1500.20,748,1786701205691-0,md:candles:1m,1786701215027
1786701239999,NESTLEIND,1m,1500.20,1500.20,1500.20,1500.20,0,1786701267909-0,md:candles:1m,1786701271537
1786701299999,NESTLEIND,1m,1500.20,1500.20,1500.20,1500.20,242,1786701309970-0,md:candles:1m,1786701313567
1786701359999,NESTLEIND,1m,1500.20,1500.20,1500.20,1500.20,0,1786701369752-0,md:candles:1m,1786701379364
1786701419999,NESTLEIND,1m,1500.20,1500.20,1500.20,1500.20,0,1786701428962-0,md:candles:1m,1786701432770
1786701479999,NESTLEIND,1m,1500.20,1500.20,1500.20,1500.20,0,1786701500077-0,md:candles:1m,1786701507390
1786701539999,NESTLEIND,1m,1500.20,1500.20,1499.10,1499.10,1453815,1786702807724-0,md:candles:1m,1786702808525
1786702859999,NESTLEIND,1m,1499.10,1499.10,1499.10,1499.10,17,1786702975524-0,md:candles:1m,1786702979538
1786699799999,NESTLEIND,30m,1503.10,1504.00,1500.70,1503.40,105486,1786699865542-0,md:candles:30m,1786699872287
1786701599999,NESTLEIND,30m,1503.20,1504.10,1499.10,1499.10,1660426,1786702975530-0,md:candles:30m,1786702981332
1786699199999,NESTLEIND,5m,1503.10,1503.30,1500.70,1501.00,26787,1786699265748-0,md:candles:5m,1786699276624
1786699499999,NESTLEIND,5m,1501.00,1504.00,1501.00,1504.00,58157,1786699568898-0,md:candles:5m,1786699570970
1786699799999,NESTLEIND,5m,1504.00,1504.00,1502.10,1503.40,20542,1786699865539-0,md:candles:5m,1786699868444
1786700099999,NESTLEIND,5m,1503.20,1503.20,1501.00,1501.00,59995,1786700165905-0,md:candles:5m,1786700170829
1786700399999,NESTLEIND,5m,1500.80,1504.10,1499.50,1502.30,74443,1786700467388-0,md:candles:5m,1786700471362
1786700699999,NESTLEIND,5m,1502.30,1504.10,1499.20,1500.20,47770,1786701008616-0,md:candles:5m,1786701013188
1786700999999,NESTLEIND,5m,1500.20,1500.20,1500.20,1500.20,0,1786701083505-0,md:candles:5m,1786701092706
1786701299999,NESTLEIND,5m,1500.20,1500.20,1500.20,1500.20,24403,1786701369755-0,md:candles:5m,1786701379364
1786701599999,NESTLEIND,5m,1500.20,1500.20,1499.10,1499.10,1453815,1786702975527-0,md:candles:5m,1786702981328
