ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,NHPC,10m,76.96,76.98,76.91,76.95,40498,1786699266703-0,md:candles:10m,1786699276624
1786699799999,NHPC,10m,76.93,76.95,76.85,76.86,109266,1786699867564-0,md:candles:10m,1786699876284
1786700399999,NHPC,10m,76.86,76.93,76.85,76.92,260820,1786700471353-0,md:candles:10m,1786700482979
1786700999999,NHPC,10m,76.90,76.92,76.80,76.80,194081,1786701067899-0,md:candles:10m,1786701070102
1786701599999,NHPC,10m,76.80,76.90,76.80,76.90,3874528,1786702940294-0,md:candles:10m,1786702948799
1786702848000,NHPC,1d,76.96,76.98,76.80,76.90,4479193,1786702854096-0,md:candles:1d,1786702862495
1786698959999,NHPC,1m,76.96,76.98,76.95,76.96,1111,1786698965527-0,md:candles:1m,1786698974630
1786699019999,NHPC,1m,76.95,76.97,76.95,76.95,7405,1786699026547-0,md:candles:1m,1786699028548
1786699079999,NHPC,1m,76.94,76.95,76.93,76.93,4383,1786699087181-0,md:candles:1m,1786699094422
1786699139999,NHPC,1m,76.92,76.94,76.91,76.93,7216,1786699146655-0,md:candles:1m,1786699146984
1786699199999,NHPC,1m,76.94,76.95,76.93,76.95,20383,1786699206664-0,md:candles:1m,1786699208603
1786699259999,NHPC,1m,76.93,76.95,76.93,76.93,4207,1786699266688-0,md:candles:1m,1786699273120
1786699319999,NHPC,1m,76.95,76.95,76.93,76.95,30298,1786699325777-0,md:candles:1m,1786699326703
1786699379999,NHPC,1m,76.94,76.95,76.92,76.94,12965,1786699386694-0,md:candles:1m,1786699391745
1786699439999,NHPC,1m,76.90,76.91,76.90,76.90,9380,1786699445289-0,md:candles:1m,1786699445600
1786699499999,NHPC,1m,76.91,76.93,76.90,76.92,7881,1786699511136-0,md:candles:1m,1786699523104
1786699559999,NHPC,1m,76.92,76.94,76.92,76.94,2293,1786699567041-0,md:candles:1m,1786699576085
1786699619999,NHPC,1m,76.94,76.94,76.90,76.90,5560,1786699626323-0,md:candles:1m,1786699627296
1786699679999,NHPC,1m,76.90,76.91,76.87,76.89,20656,1786699686932-0,md:candles:1m,1786699689702
1786699739999,NHPC,1m,76.88,76.89,76.87,76.88,1504,1786699747059-0,md:candles:1m,1786699754023
1786699799999,NHPC,1m,76.88,76.88,76.85,76.86,14522,1786699812850-0,md:candles:1m,1786699821286
1786699859999,NHPC,1m,76.86,76.87,76.85,76.85,12798,1786699867550-0,md:candles:1m,1786699871843
1786699919999,NHPC,1m,76.87,76.87,76.86,76.86,19864,1786699926959-0,md:candles:1m,1786699936026
1786699979999,NHPC,1m,76.87,76.87,76.86,76.87,4565,1786699985443-0,md:candles:1m,1786699989617
1786700039999,NHPC,1m,76.86,76.87,76.86,76.86,11962,1786700045721-0,md:candles:1m,1786700051805
1786700099999,NHPC,1m,76.86,76.91,76.86,76.91,29146,1786700108618-0,md:candles:1m,1786700118244
1786700159999,NHPC,1m,76.93,76.93,76.88,76.88,61846,1786700171320-0,md:candles:1m,1786700171522
1786700219999,NHPC,1m,76.89,76.89,76.85,76.85,29648,1786700227180-0,md:candles:1m,1786700233604
1786700279999,NHPC,1m,76.87,76.89,76.85,76.89,44444,1786700289318-0,md:candles:1m,1786700298079
1786700339999,NHPC,1m,76.89,76.93,76.88,76.91,13447,1786700349124-0,md:candles:1m,1786700351053
1786700399999,NHPC,1m,76.91,76.92,76.88,76.92,33100,1786700407382-0,md:candles:1m,1786700412580
1786700459999,NHPC,1m,76.90,76.91,76.87,76.91,31522,1786700471343-0,md:candles:1m,1786700476026
1786700519999,NHPC,1m,76.91,76.91,76.89,76.89,20546,1786700525598-0,md:candles:1m,1786700529452
1786700579999,NHPC,1m,76.88,76.92,76.81,76.90,71676,1786700590467-0,md:candles:1m,1786700591306
1786700639999,NHPC,1m,76.90,76.92,76.90,76.91,42384,1786700650295-0,md:candles:1m,1786700653590
1786700699999,NHPC,1m,76.88,76.91,76.80,76.80,27953,1786701005384-0,md:candles:1m,1786701010481
1786701059999,NHPC,1m,76.80,76.80,76.80,76.80,9494,1786701067891-0,md:candles:1m,1786701071890
1786701119999,NHPC,1m,76.80,76.80,76.80,76.80,4487,1786701130768-0,md:candles:1m,1786701137210
1786701179999,NHPC,1m,76.80,76.80,76.80,76.80,4425,1786701191021-0,md:candles:1m,1786701191510
1786701239999,NHPC,1m,76.80,76.80,76.80,76.80,1631,1786701258326-0,md:candles:1m,1786701260413
1786701299999,NHPC,1m,76.80,76.80,76.80,76.80,11282,1786701307188-0,md:candles:1m,1786701313567
1786701359999,NHPC,1m,76.80,76.80,76.80,76.80,2853,1786701366948-0,md:candles:1m,1786701367943
1786701419999,NHPC,1m,76.80,76.80,76.80,76.80,4,1786701425872-0,md:candles:1m,1786701432770
1786701479999,NHPC,1m,76.80,76.80,76.80,76.80,2804,1786701496971-0,md:candles:1m,1786701507390
1786701539999,NHPC,1m,76.80,76.90,76.80,76.90,3837548,1786702854093-0,md:candles:1m,1786702863402
1786702859999,NHPC,1m,76.90,76.90,76.90,76.90,210,1786702940290-0,md:candles:1m,1786702947398
1786702979999,NHPC,1m,76.90,76.90,76.90,76.90,86,1786703009553-0,md:candles:1m,1786703011147
1786703039999,NHPC,1m,76.90,76.90,76.90,76.90,504,1786703103673-0,md:candles:1m,1786703108172
1786703099999,NHPC,1m,76.90,76.90,76.90,76.90,20,1786703122692-0,md:candles:1m,1786703130010
1786703159999,NHPC,1m,76.90,76.90,76.90,76.90,11,1786703176061-0,md:candles:1m,1786703185263
1786703219999,NHPC,1m,76.90,76.90,76.90,76.90,192,1786703248918-0,md:candles:1m,1786703250920
1786703279999,NHPC,1m,76.90,76.90,76.90,76.90,110,1786703343035-0,md:candles:1m,1786703348029
1786699799999,NHPC,30m,76.96,76.98,76.85,76.86,149764,1786699867565-0,md:candles:30m,1786699872287
1786701599999,NHPC,30m,76.86,76.93,76.80,76.90,4329429,1786702940296-0,md:candles:30m,1786702948799
1786699199999,NHPC,5m,76.96,76.98,76.91,76.95,40498,1786699266702-0,md:candles:5m,1786699276624
1786699499999,NHPC,5m,76.93,76.95,76.90,76.92,64731,1786699567044-0,md:candles:5m,1786699570970
1786699799999,NHPC,5m,76.92,76.94,76.85,76.86,44535,1786699867562-0,md:candles:5m,1786699868444
1786700099999,NHPC,5m,76.86,76.91,76.85,76.91,78335,1786700171327-0,md:candles:5m,1786700182927
1786700399999,NHPC,5m,76.93,76.93,76.85,76.92,182485,1786700471351-0,md:candles:5m,1786700471362
1786700699999,NHPC,5m,76.90,76.92,76.80,76.80,194081,1786701067897-0,md:candles:5m,1786701068420
1786701299999,NHPC,5m,76.80,76.80,76.80,76.80,31319,1786701366950-0,md:candles:5m,1786701367545
1786701599999,NHPC,5m,76.80,76.90,76.80,76.90,3843209,1786702940292-0,md:candles:5m,1786702948799
1786703099999,NHPC,5m,76.90,76.90,76.90,76.90,820,1786703176066-0,md:candles:5m,1786703185279
