ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,NMDC,10m,84.26,84.28,84.19,84.23,44872,1786699265618-0,md:candles:10m,1786699276624
1786699799999,NMDC,10m,84.22,84.33,84.21,84.25,304809,1786699869198-0,md:candles:10m,1786699876284
1786700399999,NMDC,10m,84.21,84.25,84.03,84.11,857211,1786700465467-0,md:candles:10m,1786700471301
1786700999999,NMDC,10m,84.09,84.10,83.78,84.00,909840,1786701069623-0,md:candles:10m,1786701070102
1786701599999,NMDC,10m,84.00,84.40,84.00,84.40,18591978,1786702962712-0,md:candles:10m,1786702970739
1786702894000,NMDC,1d,84.26,84.40,83.78,84.40,20708710,1786702899253-0,md:candles:1d,1786702907265
1786698959999,NMDC,1m,84.26,84.28,84.23,84.27,1721,1786698965700-0,md:candles:1m,1786698974630
1786699019999,NMDC,1m,84.27,84.27,84.22,84.26,9516,1786699027897-0,md:candles:1m,1786699028548
1786699079999,NMDC,1m,84.25,84.26,84.19,84.23,20346,1786699088114-0,md:candles:1m,1786699094422
1786699139999,NMDC,1m,84.22,84.28,84.22,84.27,6231,1786699145490-0,md:candles:1m,1786699146984
1786699199999,NMDC,1m,84.27,84.27,84.20,84.23,7058,1786699206606-0,md:candles:1m,1786699208603
1786699259999,NMDC,1m,84.22,84.25,84.21,84.24,6765,1786699265614-0,md:candles:1m,1786699273120
1786699319999,NMDC,1m,84.24,84.27,84.21,84.26,38914,1786699325170-0,md:candles:1m,1786699326703
1786699379999,NMDC,1m,84.25,84.27,84.21,84.27,15956,1786699388177-0,md:candles:1m,1786699391745
1786699439999,NMDC,1m,84.25,84.27,84.24,84.25,7577,1786699446675-0,md:candles:1m,1786699457822
1786699499999,NMDC,1m,84.25,84.30,84.22,84.27,34973,1786699508098-0,md:candles:1m,1786699511111
1786699559999,NMDC,1m,84.26,84.26,84.24,84.26,25638,1786699568124-0,md:candles:1m,1786699576085
1786699619999,NMDC,1m,84.24,84.31,84.24,84.30,65090,1786699628119-0,md:candles:1m,1786699639246
1786699679999,NMDC,1m,84.29,84.32,84.28,84.30,79388,1786699689029-0,md:candles:1m,1786699689702
1786699739999,NMDC,1m,84.30,84.33,84.25,84.27,15239,1786699748069-0,md:candles:1m,1786699754023
1786699799999,NMDC,1m,84.25,84.28,84.23,84.25,15269,1786699806355-0,md:candles:1m,1786699807941
1786699859999,NMDC,1m,84.21,84.25,84.21,84.25,85685,1786699869192-0,md:candles:1m,1786699871843
1786699919999,NMDC,1m,84.20,84.24,84.14,84.21,130433,1786699926113-0,md:candles:1m,1786699936026
1786699979999,NMDC,1m,84.19,84.25,84.09,84.10,152063,1786699985306-0,md:candles:1m,1786699989617
1786700039999,NMDC,1m,84.10,84.16,84.09,84.16,42594,1786700045996-0,md:candles:1m,1786700051805
1786700099999,NMDC,1m,84.15,84.16,84.11,84.16,38760,1786700107394-0,md:candles:1m,1786700118244
1786700159999,NMDC,1m,84.13,84.14,84.09,84.09,99603,1786700166126-0,md:candles:1m,1786700171522
1786700219999,NMDC,1m,84.10,84.10,84.03,84.04,124632,1786700228723-0,md:candles:1m,1786700233604
1786700279999,NMDC,1m,84.05,84.15,84.04,84.15,67205,1786700290668-0,md:candles:1m,1786700298079
1786700339999,NMDC,1m,84.16,84.16,84.11,84.12,49703,1786700345580-0,md:candles:1m,1786700351053
1786700399999,NMDC,1m,84.13,84.13,84.09,84.11,66533,1786700409406-0,md:candles:1m,1786700412580
1786700459999,NMDC,1m,84.09,84.09,84.04,84.06,74130,1786700465434-0,md:candles:1m,1786700476026
1786700519999,NMDC,1m,84.07,84.09,84.02,84.02,72041,1786700527412-0,md:candles:1m,1786700529452
1786700579999,NMDC,1m,84.01,84.01,83.78,83.83,530365,1786700590402-0,md:candles:1m,1786700591306
1786700639999,NMDC,1m,83.86,83.97,83.85,83.91,99199,1786700645365-0,md:candles:1m,1786700653590
1786700699999,NMDC,1m,83.91,84.10,83.84,84.00,134062,1786700708041-0,md:candles:1m,1786700715149
1786700759999,NMDC,1m,84.00,84.00,84.00,84.00,43,1786701007083-0,md:candles:1m,1786701010481
1786701059999,NMDC,1m,84.00,84.00,84.00,84.00,60024,1786701069620-0,md:candles:1m,1786701071890
1786701119999,NMDC,1m,84.00,84.00,84.00,84.00,3066,1786701126182-0,md:candles:1m,1786701126761
1786701179999,NMDC,1m,84.00,84.00,84.00,84.00,20610,1786701186679-0,md:candles:1m,1786701191510
1786701239999,NMDC,1m,84.00,84.00,84.00,84.00,12446,1786701246612-0,md:candles:1m,1786701248276
1786701299999,NMDC,1m,84.00,84.00,84.00,84.00,410,1786701315473-0,md:candles:1m,1786701324284
1786701359999,NMDC,1m,84.00,84.00,84.00,84.00,3099,1786701368541-0,md:candles:1m,1786701379364
1786701419999,NMDC,1m,84.00,84.00,84.00,84.00,1761,1786701434285-0,md:candles:1m,1786701443578
1786701479999,NMDC,1m,84.00,84.00,84.00,84.00,1675,1786701498678-0,md:candles:1m,1786701507390
1786701539999,NMDC,1m,84.00,84.40,84.00,84.40,18488887,1786702899251-0,md:candles:1m,1786702906259
1786702919999,NMDC,1m,84.40,84.40,84.40,84.40,100,1786702962709-0,md:candles:1m,1786702968812
1786702979999,NMDC,1m,84.40,84.40,84.40,84.40,1201,1786703082550-0,md:candles:1m,1786703087656
1786703099999,NMDC,1m,84.40,84.40,84.40,84.40,4,1786703315902-0,md:candles:1m,1786703325910
1786699799999,NMDC,30m,84.26,84.33,84.19,84.25,349681,1786699869201-0,md:candles:30m,1786699872287
1786701599999,NMDC,30m,84.21,84.40,83.78,84.40,20359029,1786702962713-0,md:candles:30m,1786702970740
1786699199999,NMDC,5m,84.26,84.28,84.19,84.23,44872,1786699265617-0,md:candles:5m,1786699276624
1786699499999,NMDC,5m,84.22,84.30,84.21,84.27,104185,1786699568133-0,md:candles:5m,1786699570970
1786699799999,NMDC,5m,84.26,84.33,84.23,84.25,200624,1786699869197-0,md:candles:5m,1786699880291
1786700099999,NMDC,5m,84.21,84.25,84.09,84.16,449535,1786700166129-0,md:candles:5m,1786700170829
1786700399999,NMDC,5m,84.13,84.16,84.03,84.11,407676,1786700465466-0,md:candles:5m,1786700471362
1786700699999,NMDC,5m,84.09,84.10,83.78,84.00,909797,1786701007085-0,md:candles:5m,1786701013188
1786700999999,NMDC,5m,84.00,84.00,84.00,84.00,43,1786701069622-0,md:candles:5m,1786701080800
1786701299999,NMDC,5m,84.00,84.00,84.00,84.00,96556,1786701368544-0,md:candles:5m,1786701379364
1786701599999,NMDC,5m,84.00,84.40,84.00,84.40,18495422,1786702962710-0,md:candles:5m,1786702970735
