ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,NTPC,10m,339.45,339.60,339.15,339.15,145671,1786699266295-0,md:candles:10m,1786699276624
1786699799999,NTPC,10m,339.25,339.60,339.05,339.30,151670,1786699869720-0,md:candles:10m,1786699876284
1786700399999,NTPC,10m,339.35,339.95,339.30,339.85,416400,1786700465516-0,md:candles:10m,1786700471301
1786700999999,NTPC,10m,339.90,340.00,339.75,339.85,301483,1786701069901-0,md:candles:10m,1786701070102
1786701599999,NTPC,10m,339.85,340.00,339.85,340.00,7505941,1786702876018-0,md:candles:10m,1786702885431
1786702801000,NTPC,1d,339.45,340.00,339.05,340.00,8521165,1786702806955-0,md:candles:1d,1786702807233
1786698959999,NTPC,1m,339.45,339.60,339.45,339.55,6663,1786698966063-0,md:candles:1m,1786698974630
1786699019999,NTPC,1m,339.55,339.55,339.15,339.15,28984,1786699027936-0,md:candles:1m,1786699028548
1786699079999,NTPC,1m,339.30,339.35,339.20,339.30,90273,1786699088562-0,md:candles:1m,1786699094422
1786699139999,NTPC,1m,339.35,339.35,339.25,339.25,12962,1786699145913-0,md:candles:1m,1786699146984
1786699199999,NTPC,1m,339.30,339.30,339.15,339.15,6789,1786699206969-0,md:candles:1m,1786699208603
1786699259999,NTPC,1m,339.25,339.25,339.05,339.15,12191,1786699266277-0,md:candles:1m,1786699273120
1786699319999,NTPC,1m,339.15,339.35,339.05,339.35,21495,1786699325487-0,md:candles:1m,1786699326703
1786699379999,NTPC,1m,339.35,339.40,339.30,339.35,5346,1786699388418-0,md:candles:1m,1786699391745
1786699439999,NTPC,1m,339.40,339.40,339.20,339.20,8879,1786699447129-0,md:candles:1m,1786699457822
1786699499999,NTPC,1m,339.25,339.40,339.15,339.40,17587,1786699505487-0,md:candles:1m,1786699511111
1786699559999,NTPC,1m,339.40,339.45,339.25,339.35,12579,1786699568837-0,md:candles:1m,1786699576085
1786699619999,NTPC,1m,339.30,339.35,339.25,339.30,13586,1786699628320-0,md:candles:1m,1786699639246
1786699679999,NTPC,1m,339.35,339.50,339.30,339.40,15527,1786699689408-0,md:candles:1m,1786699689702
1786699739999,NTPC,1m,339.45,339.60,339.45,339.45,24487,1786699748802-0,md:candles:1m,1786699754023
1786699799999,NTPC,1m,339.45,339.50,339.30,339.30,19993,1786699806757-0,md:candles:1m,1786699807941
1786699859999,NTPC,1m,339.35,339.55,339.30,339.50,58660,1786699869711-0,md:candles:1m,1786699871843
1786699919999,NTPC,1m,339.55,339.75,339.50,339.75,59280,1786699926138-0,md:candles:1m,1786699936026
1786699979999,NTPC,1m,339.80,339.80,339.65,339.80,40057,1786699987321-0,md:candles:1m,1786699989617
1786700039999,NTPC,1m,339.80,339.80,339.70,339.80,22634,1786700047896-0,md:candles:1m,1786700051805
1786700099999,NTPC,1m,339.80,339.85,339.75,339.85,34190,1786700107423-0,md:candles:1m,1786700118244
1786700159999,NTPC,1m,339.90,339.90,339.75,339.80,58740,1786700166601-0,md:candles:1m,1786700171522
1786700219999,NTPC,1m,339.80,339.80,339.75,339.80,38536,1786700229134-0,md:candles:1m,1786700233604
1786700279999,NTPC,1m,339.75,339.85,339.75,339.85,35858,1786700291090-0,md:candles:1m,1786700298079
1786700339999,NTPC,1m,339.80,339.90,339.80,339.90,40253,1786700351076-0,md:candles:1m,1786700362283
1786700399999,NTPC,1m,339.80,339.95,339.80,339.85,28192,1786700411869-0,md:candles:1m,1786700412580
1786700459999,NTPC,1m,339.90,339.90,339.75,339.85,83131,1786700465470-0,md:candles:1m,1786700476026
1786700519999,NTPC,1m,339.80,339.80,339.75,339.75,83062,1786700527679-0,md:candles:1m,1786700529452
1786700579999,NTPC,1m,339.80,339.80,339.75,339.75,44397,1786700585292-0,md:candles:1m,1786700591306
1786700639999,NTPC,1m,339.75,339.95,339.75,339.95,77793,1786700645703-0,md:candles:1m,1786700653590
1786700699999,NTPC,1m,339.80,340.00,339.80,339.95,12193,1786700708363-0,md:candles:1m,1786700715149
1786700759999,NTPC,1m,339.85,339.85,339.85,339.85,907,1786701007584-0,md:candles:1m,1786701010481
1786701059999,NTPC,1m,339.85,339.85,339.85,339.85,144225,1786701069893-0,md:candles:1m,1786701071890
1786701119999,NTPC,1m,339.85,339.85,339.85,339.85,780,1786701126595-0,md:candles:1m,1786701126761
1786701179999,NTPC,1m,339.85,339.85,339.85,339.85,420,1786701186899-0,md:candles:1m,1786701191510
1786701239999,NTPC,1m,339.85,339.85,339.85,339.85,120729,1786701246995-0,md:candles:1m,1786701248276
