ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,NUVAMA,10m,1679.80,1680.00,1677.90,1679.60,487,1786699302676-0,md:candles:10m,1786699308684
1786699799999,NUVAMA,10m,1679.70,1680.60,1674.70,1675.80,2803,1786699871158-0,md:candles:10m,1786699876284
1786700399999,NUVAMA,10m,1676.00,1677.40,1667.60,1674.00,6197,1786700467468-0,md:candles:10m,1786700471301
1786700999999,NUVAMA,10m,1673.30,1687.30,1655.30,1683.00,35237,1786701069588-0,md:candles:10m,1786701070102
1786701599999,NUVAMA,10m,1683.00,1683.00,1662.50,1666.40,22264,1786701702598-0,md:candles:10m,1786701708808
1786702199999,NUVAMA,10m,1667.60,1670.10,1667.60,1670.10,4,1786702881324-0,md:candles:10m,1786702885431
1786701600000,NUVAMA,1d,1679.80,1687.30,1655.30,1666.40,66988,1786701605807-0,md:candles:1d,1786701615808
1786698959999,NUVAMA,1m,1679.80,1680.00,1679.80,1680.00,78,1786698984422-0,md:candles:1m,1786698986423
1786699019999,NUVAMA,1m,1680.00,1680.00,1677.90,1677.90,252,1786699030917-0,md:candles:1m,1786699041361
1786699079999,NUVAMA,1m,1677.90,1678.90,1677.90,1678.90,75,1786699095624-0,md:candles:1m,1786699106925
1786699139999,NUVAMA,1m,1679.40,1679.50,1678.70,1679.40,51,1786699147401-0,md:candles:1m,1786699158101
1786699199999,NUVAMA,1m,1679.40,1679.60,1679.40,1679.60,31,1786699208169-0,md:candles:1m,1786699208603
1786699259999,NUVAMA,1m,1679.70,1679.80,1679.70,1679.80,18,1786699302672-0,md:candles:1m,1786699306665
1786699319999,NUVAMA,1m,1678.90,1679.80,1678.90,1679.80,12,1786699333008-0,md:candles:1m,1786699339124
1786699379999,NUVAMA,1m,1679.80,1679.90,1679.80,1679.90,7,1786699389783-0,md:candles:1m,1786699391745
1786699439999,NUVAMA,1m,1679.90,1680.60,1679.00,1679.00,646,1786699448371-0,md:candles:1m,1786699457822
1786699499999,NUVAMA,1m,1677.20,1677.80,1676.10,1677.70,1314,1786699506982-0,md:candles:1m,1786699511111
1786699559999,NUVAMA,1m,1677.70,1677.70,1676.60,1677.70,30,1786699570378-0,md:candles:1m,1786699576085
1786699619999,NUVAMA,1m,1677.70,1678.20,1676.90,1676.90,243,1786699637247-0,md:candles:1m,1786699639246
1786699679999,NUVAMA,1m,1676.90,1676.90,1675.20,1676.00,431,1786699697405-0,md:candles:1m,1786699701410
1786699739999,NUVAMA,1m,1676.00,1676.00,1674.70,1674.70,70,1786699750179-0,md:candles:1m,1786699754023
1786699799999,NUVAMA,1m,1674.70,1676.00,1674.70,1675.80,32,1786699808264-0,md:candles:1m,1786699821286
