ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,NYKAA,10m,330.20,330.40,330.10,330.20,28661,1786699266851-0,md:candles:10m,1786699276624
1786699799999,NYKAA,10m,330.35,330.75,330.20,330.25,102063,1786699870685-0,md:candles:10m,1786699876284
1786700399999,NYKAA,10m,330.25,330.40,329.80,329.95,254413,1786700467493-0,md:candles:10m,1786700471301
1786700999999,NYKAA,10m,330.00,330.50,329.40,330.50,104355,1786701070899-0,md:candles:10m,1786701080910
1786701599999,NYKAA,10m,330.50,331.00,330.50,331.00,2211949,1786702890032-0,md:candles:10m,1786702895644
1786702802000,NYKAA,1d,330.20,331.00,329.40,331.00,2701441,1786702807834-0,md:candles:1d,1786702818543
1786698959999,NYKAA,1m,330.20,330.40,330.20,330.40,2468,1786698966976-0,md:candles:1m,1786698974630
1786699019999,NYKAA,1m,330.40,330.40,330.15,330.30,3807,1786699028637-0,md:candles:1m,1786699041361
1786699079999,NYKAA,1m,330.15,330.30,330.10,330.10,9866,1786699087109-0,md:candles:1m,1786699094422
1786699139999,NYKAA,1m,330.30,330.40,330.10,330.35,4319,1786699146988-0,md:candles:1m,1786699158101
1786699199999,NYKAA,1m,330.35,330.40,330.20,330.20,8201,1786699207852-0,md:candles:1m,1786699208603
1786699259999,NYKAA,1m,330.35,330.55,330.20,330.55,18465,1786699266848-0,md:candles:1m,1786699273120
1786699319999,NYKAA,1m,330.55,330.60,330.45,330.60,21484,1786699326381-0,md:candles:1m,1786699326703
1786699379999,NYKAA,1m,330.45,330.65,330.45,330.65,3523,1786699389315-0,md:candles:1m,1786699391745
1786699439999,NYKAA,1m,330.65,330.75,330.60,330.75,5133,1786699445808-0,md:candles:1m,1786699457822
1786699499999,NYKAA,1m,330.60,330.75,330.50,330.60,6880,1786699506484-0,md:candles:1m,1786699511111
1786699559999,NYKAA,1m,330.70,330.75,330.45,330.45,12426,1786699569881-0,md:candles:1m,1786699576085
1786699619999,NYKAA,1m,330.50,330.70,330.45,330.65,8999,1786699625980-0,md:candles:1m,1786699627296
1786699679999,NYKAA,1m,330.50,330.65,330.35,330.65,8372,1786699689002-0,md:candles:1m,1786699689702
1786699739999,NYKAA,1m,330.55,330.60,330.25,330.45,10470,1786699749899-0,md:candles:1m,1786699754023
1786699799999,NYKAA,1m,330.40,330.40,330.25,330.25,6311,1786699807846-0,md:candles:1m,1786699807941
1786699859999,NYKAA,1m,330.25,330.40,330.20,330.20,29910,1786699870674-0,md:candles:1m,1786699871843
1786699919999,NYKAA,1m,330.20,330.30,329.80,330.00,32590,1786699927346-0,md:candles:1m,1786699936026
1786699979999,NYKAA,1m,329.85,330.00,329.85,329.95,15993,1786699988321-0,md:candles:1m,1786699989617
1786700039999,NYKAA,1m,329.95,330.20,329.95,330.05,34601,1786700049018-0,md:candles:1m,1786700051805
1786700099999,NYKAA,1m,330.05,330.35,330.05,330.20,24455,1786700108275-0,md:candles:1m,1786700118244
1786700159999,NYKAA,1m,330.25,330.35,330.15,330.20,22675,1786700167524-0,md:candles:1m,1786700171522
1786700219999,NYKAA,1m,330.30,330.35,329.90,330.05,37157,1786700227244-0,md:candles:1m,1786700233604
1786700279999,NYKAA,1m,330.10,330.30,330.00,330.10,15511,1786700292071-0,md:candles:1m,1786700298079
1786700339999,NYKAA,1m,330.00,330.00,329.95,330.00,7722,1786700345621-0,md:candles:1m,1786700351053
1786700399999,NYKAA,1m,329.95,330.00,329.95,329.95,33799,1786700405636-0,md:candles:1m,1786700412580
1786700459999,NYKAA,1m,330.00,330.00,329.85,329.85,23749,1786700467481-0,md:candles:1m,1786700476026
1786700519999,NYKAA,1m,329.85,329.85,329.40,329.40,29999,1786700525430-0,md:candles:1m,1786700529452
1786700579999,NYKAA,1m,329.45,329.55,329.45,329.55,24687,1786700586293-0,md:candles:1m,1786700591306
1786700639999,NYKAA,1m,329.55,329.90,329.50,329.90,12059,1786700646675-0,md:candles:1m,1786700653590
1786700699999,NYKAA,1m,329.90,330.50,329.85,330.50,13861,1786700709352-0,md:candles:1m,1786700715149
1786700759999,NYKAA,1m,330.50,330.50,330.50,330.50,0,1786701008790-0,md:candles:1m,1786701010481
1786701059999,NYKAA,1m,330.50,330.50,330.50,330.50,18333,1786701070895-0,md:candles:1m,1786701071890
1786701119999,NYKAA,1m,330.50,330.50,330.50,330.50,15743,1786701127580-0,md:candles:1m,1786701137210
1786701179999,NYKAA,1m,330.50,330.50,330.50,330.50,241,1786701193804-0,md:candles:1m,1786701203615
1786701239999,NYKAA,1m,330.50,330.50,330.50,330.50,297,1786701254492-0,md:candles:1m,1786701260413
1786701299999,NYKAA,1m,330.50,330.50,330.50,330.50,44,1786701357830-0,md:candles:1m,1786701357832
1786701359999,NYKAA,1m,330.50,330.50,330.50,330.50,9,1786701376454-0,md:candles:1m,1786701379364
1786701419999,NYKAA,1m,330.50,330.50,330.50,330.50,82,1786701429068-0,md:candles:1m,1786701432770
1786701479999,NYKAA,1m,330.50,330.50,330.50,330.50,160,1786701521783-0,md:candles:1m,1786701529772
1786701539999,NYKAA,1m,331.00,331.00,331.00,331.00,2177040,1786702807833-0,md:candles:1m,1786702808525
1786702859999,NYKAA,1m,331.00,331.00,331.00,331.00,25,1786702890029-0,md:candles:1m,1786702895641
