ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,OBEROIRLTY,10m,1848.40,1849.50,1847.00,1848.20,2413,1786699265434-0,md:candles:10m,1786699265610
1786699799999,OBEROIRLTY,10m,1847.90,1849.60,1846.60,1846.70,9264,1786699868991-0,md:candles:10m,1786699876284
1786700399999,OBEROIRLTY,10m,1846.80,1847.40,1838.40,1840.60,22537,1786700465458-0,md:candles:10m,1786700471301
1786700999999,OBEROIRLTY,10m,1840.50,1845.00,1835.10,1835.10,8108,1786701082113-0,md:candles:10m,1786701092722
1786701599999,OBEROIRLTY,10m,1835.10,1846.00,1835.10,1846.00,259240,1786703350846-0,md:candles:10m,1786703356842
1786702801000,OBEROIRLTY,1d,1848.40,1849.60,1835.10,1846.00,301562,1786702806529-0,md:candles:1d,1786702807233
1786698959999,OBEROIRLTY,1m,1848.40,1849.30,1848.40,1849.30,1,1786698965625-0,md:candles:1m,1786698974630
1786699019999,OBEROIRLTY,1m,1849.50,1849.50,1848.00,1848.00,493,1786699028942-0,md:candles:1m,1786699041361
1786699079999,OBEROIRLTY,1m,1848.00,1848.70,1847.30,1848.70,643,1786699087910-0,md:candles:1m,1786699094422
1786699139999,OBEROIRLTY,1m,1847.00,1848.00,1847.00,1847.90,964,1786699145308-0,md:candles:1m,1786699146984
1786699199999,OBEROIRLTY,1m,1847.90,1848.20,1847.20,1848.20,312,1786699213026-0,md:candles:1m,1786699221468
1786699259999,OBEROIRLTY,1m,1847.90,1848.00,1846.70,1847.60,1177,1786699265419-0,md:candles:1m,1786699273120
1786699319999,OBEROIRLTY,1m,1847.60,1849.50,1847.60,1848.90,533,1786699326785-0,md:candles:1m,1786699339124
1786699379999,OBEROIRLTY,1m,1848.60,1848.80,1847.40,1847.80,987,1786699387938-0,md:candles:1m,1786699391745
1786699439999,OBEROIRLTY,1m,1847.90,1849.10,1847.90,1849.10,3091,1786699446620-0,md:candles:1m,1786699457822
1786699499999,OBEROIRLTY,1m,1848.70,1849.20,1848.60,1849.20,426,1786699508092-0,md:candles:1m,1786699511111
1786699559999,OBEROIRLTY,1m,1849.10,1849.10,1848.50,1848.50,720,1786699568113-0,md:candles:1m,1786699576085
1786699619999,OBEROIRLTY,1m,1848.10,1848.40,1848.00,1848.40,755,1786699627711-0,md:candles:1m,1786699639246
1786699679999,OBEROIRLTY,1m,1848.10,1849.60,1847.70,1849.60,566,1786699687973-0,md:candles:1m,1786699689702
1786699739999,OBEROIRLTY,1m,1848.40,1848.80,1847.00,1847.10,342,1786699748066-0,md:candles:1m,1786699754023
1786699799999,OBEROIRLTY,1m,1847.20,1847.90,1846.60,1846.70,667,1786699806123-0,md:candles:1m,1786699807941
1786699859999,OBEROIRLTY,1m,1846.80,1847.10,1846.10,1847.10,1740,1786699868981-0,md:candles:1m,1786699871843
1786699919999,OBEROIRLTY,1m,1846.50,1846.90,1846.20,1846.40,288,1786699928314-0,md:candles:1m,1786699936026
1786699979999,OBEROIRLTY,1m,1847.00,1847.00,1846.30,1846.80,304,1786699986734-0,md:candles:1m,1786699989617
1786700039999,OBEROIRLTY,1m,1846.80,1847.40,1846.00,1846.40,698,1786700047244-0,md:candles:1m,1786700051805
1786700099999,OBEROIRLTY,1m,1846.40,1846.40,1846.00,1846.00,586,1786700109904-0,md:candles:1m,1786700118244
1786700159999,OBEROIRLTY,1m,1846.20,1846.20,1843.00,1843.90,3773,1786700165918-0,md:candles:1m,1786700171522
1786700219999,OBEROIRLTY,1m,1842.40,1842.40,1838.40,1841.00,12930,1786700225279-0,md:candles:1m,1786700233604
1786700279999,OBEROIRLTY,1m,1840.70,1841.90,1838.60,1841.00,617,1786700286662-0,md:candles:1m,1786700298079
1786700339999,OBEROIRLTY,1m,1840.40,1841.90,1840.10,1841.90,1221,1786700347041-0,md:candles:1m,1786700351053
1786700399999,OBEROIRLTY,1m,1840.80,1841.30,1840.00,1840.60,380,1786700405354-0,md:candles:1m,1786700412580
1786700459999,OBEROIRLTY,1m,1840.50,1841.90,1840.30,1840.50,1499,1786700465427-0,md:candles:1m,1786700476026
1786700519999,OBEROIRLTY,1m,1842.30,1842.30,1840.00,1840.60,1763,1786700526984-0,md:candles:1m,1786700529452
1786700579999,OBEROIRLTY,1m,1840.30,1845.00,1840.00,1841.10,3679,1786700590398-0,md:candles:1m,1786700591306
1786700639999,OBEROIRLTY,1m,1841.50,1842.70,1841.50,1842.60,419,1786700647482-0,md:candles:1m,1786700653590
1786700699999,OBEROIRLTY,1m,1840.00,1841.30,1837.20,1838.40,698,1786700707847-0,md:candles:1m,1786700715149
1786700759999,OBEROIRLTY,1m,1835.10,1835.10,1835.10,1835.10,50,1786701006886-0,md:candles:1m,1786701010481
1786701059999,OBEROIRLTY,1m,1835.10,1835.10,1835.10,1835.10,1923,1786701082109-0,md:candles:1m,1786701082805
1786701119999,OBEROIRLTY,1m,1835.10,1835.10,1835.10,1835.10,574,1786701132077-0,md:candles:1m,1786701137210
1786701179999,OBEROIRLTY,1m,1835.10,1835.10,1835.10,1835.10,25,1786701186300-0,md:candles:1m,1786701191510
1786701239999,OBEROIRLTY,1m,1835.10,1835.10,1835.10,1835.10,249,1786701290576-0,md:candles:1m,1786701292565
1786701299999,OBEROIRLTY,1m,1835.10,1835.10,1835.10,1835.10,2,1786701315275-0,md:candles:1m,1786701324284
1786701359999,OBEROIRLTY,1m,1835.10,1835.10,1835.10,1835.10,5,1786701434085-0,md:candles:1m,1786701443578
1786701479999,OBEROIRLTY,1m,1835.10,1835.10,1835.10,1835.10,60,1786701490374-0,md:candles:1m,1786701496799
1786701539999,OBEROIRLTY,1m,1835.10,1846.00,1835.10,1846.00,256402,1786702806525-0,md:candles:1m,1786702808525
1786702859999,OBEROIRLTY,1m,1846.00,1846.00,1846.00,1846.00,3,1786703350843-0,md:candles:1m,1786703358163
1786699799999,OBEROIRLTY,30m,1848.40,1849.60,1846.60,1846.70,11677,1786699868993-0,md:candles:30m,1786699872287
1786701599999,OBEROIRLTY,30m,1846.80,1847.40,1835.10,1846.00,289885,1786703350847-0,md:candles:30m,1786703356842
1786699199999,OBEROIRLTY,5m,1848.40,1849.50,1847.00,1848.20,2413,1786699265432-0,md:candles:5m,1786699265610
1786699499999,OBEROIRLTY,5m,1847.90,1849.50,1846.70,1849.20,6214,1786699568124-0,md:candles:5m,1786699570970
1786699799999,OBEROIRLTY,5m,1849.10,1849.60,1846.60,1846.70,3050,1786699868989-0,md:candles:5m,1786699880291
1786700099999,OBEROIRLTY,5m,1846.80,1847.40,1846.00,1846.00,3616,1786700165923-0,md:candles:5m,1786700170829
1786700399999,OBEROIRLTY,5m,1846.20,1846.20,1838.40,1840.60,18921,1786700465456-0,md:candles:5m,1786700471362
1786700699999,OBEROIRLTY,5m,1840.50,1845.00,1837.20,1838.40,8058,1786701006888-0,md:candles:5m,1786701013188
1786700999999,OBEROIRLTY,5m,1835.10,1835.10,1835.10,1835.10,50,1786701082112-0,md:candles:5m,1786701092706
1786701299999,OBEROIRLTY,5m,1835.10,1835.10,1835.10,1835.10,2773,1786701434088-0,md:candles:5m,1786701445711
1786701599999,OBEROIRLTY,5m,1835.10,1846.00,1835.10,1846.00,256467,1786703350845-0,md:candles:5m,1786703351445
