ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,OFSS,10m,11820.00,11829.00,11803.00,11810.00,2254,1786699267482-0,md:candles:10m,1786699276624
1786699799999,OFSS,10m,11810.00,11824.00,11791.00,11798.00,7365,1786699866174-0,md:candles:10m,1786699876284
1786700399999,OFSS,10m,11792.00,11832.00,11791.00,11829.00,12908,1786700466522-0,md:candles:10m,1786700471301
1786700999999,OFSS,10m,11826.00,11830.00,11799.00,11808.00,11325,1786701078191-0,md:candles:10m,1786701080910
1786701599999,OFSS,10m,11808.00,11828.00,11808.00,11828.00,258068,1786702900458-0,md:candles:10m,1786702906259
1786702803000,OFSS,1d,11820.00,11832.00,11791.00,11828.00,291920,1786702808628-0,md:candles:1d,1786702818543
1786698959999,OFSS,1m,11820.00,11820.00,11818.00,11820.00,140,1786698965909-0,md:candles:1m,1786698974630
1786699019999,OFSS,1m,11824.00,11829.00,11811.00,11813.00,853,1786699029213-0,md:candles:1m,1786699041361
1786699079999,OFSS,1m,11817.00,11820.00,11812.00,11815.00,130,1786699086989-0,md:candles:1m,1786699094422
1786699139999,OFSS,1m,11819.00,11819.00,11803.00,11807.00,895,1786699147960-0,md:candles:1m,1786699158101
1786699199999,OFSS,1m,11811.00,11815.00,11806.00,11810.00,236,1786699206604-0,md:candles:1m,1786699208603
1786699259999,OFSS,1m,11810.00,11820.00,11809.00,11815.00,660,1786699267480-0,md:candles:1m,1786699273120
1786699319999,OFSS,1m,11815.00,11821.00,11802.00,11805.00,815,1786699325285-0,md:candles:1m,1786699326703
1786699379999,OFSS,1m,11807.00,11807.00,11800.00,11807.00,642,1786699390532-0,md:candles:1m,1786699391745
1786699439999,OFSS,1m,11807.00,11810.00,11803.00,11808.00,2268,1786699445826-0,md:candles:1m,1786699457822
1786699499999,OFSS,1m,11815.00,11821.00,11813.00,11819.00,224,1786699507472-0,md:candles:1m,1786699511111
1786699559999,OFSS,1m,11822.00,11824.00,11807.00,11818.00,511,1786699569911-0,md:candles:1m,1786699576085
1786699619999,OFSS,1m,11813.00,11820.00,11813.00,11815.00,230,1786699628816-0,md:candles:1m,1786699639246
1786699679999,OFSS,1m,11815.00,11815.00,11812.00,11813.00,722,1786699685962-0,md:candles:1m,1786699689702
1786699739999,OFSS,1m,11813.00,11815.00,11800.00,11802.00,620,1786699749977-0,md:candles:1m,1786699754023
1786699799999,OFSS,1m,11800.00,11803.00,11791.00,11798.00,673,1786699806042-0,md:candles:1m,1786699807941
1786699859999,OFSS,1m,11792.00,11800.00,11791.00,11800.00,1239,1786699866126-0,md:candles:1m,1786699871843
1786699919999,OFSS,1m,11797.00,11803.00,11797.00,11803.00,1014,1786699928122-0,md:candles:1m,1786699936026
1786699979999,OFSS,1m,11802.00,11811.00,11800.00,11805.00,1243,1786699989231-0,md:candles:1m,1786699989617
1786700039999,OFSS,1m,11807.00,11815.00,11803.00,11815.00,695,1786700050114-0,md:candles:1m,1786700051805
1786700099999,OFSS,1m,11814.00,11815.00,11807.00,11814.00,976,1786700105622-0,md:candles:1m,1786700105816
1786700159999,OFSS,1m,11813.00,11813.00,11800.00,11804.00,1568,1786700165174-0,md:candles:1m,1786700171522
1786700219999,OFSS,1m,11801.00,11820.00,11801.00,11820.00,2345,1786700231110-0,md:candles:1m,1786700233604
1786700279999,OFSS,1m,11816.00,11823.00,11816.00,11820.00,812,1786700285169-0,md:candles:1m,1786700286220
1786700339999,OFSS,1m,11819.00,11825.00,11817.00,11822.00,1235,1786700346502-0,md:candles:1m,1786700351053
1786700399999,OFSS,1m,11823.00,11832.00,11823.00,11829.00,1781,1786700406610-0,md:candles:1m,1786700412580
1786700459999,OFSS,1m,11826.00,11826.00,11811.00,11813.00,1706,1786700466519-0,md:candles:1m,1786700476026
1786700519999,OFSS,1m,11819.00,11819.00,11802.00,11802.00,1027,1786700526410-0,md:candles:1m,1786700529452
1786700579999,OFSS,1m,11807.00,11830.00,11799.00,11799.00,6496,1786700585437-0,md:candles:1m,1786700591306
1786700639999,OFSS,1m,11806.00,11830.00,11805.00,11809.00,1623,1786700645430-0,md:candles:1m,1786700653590
1786700699999,OFSS,1m,11824.00,11830.00,11808.00,11808.00,473,1786700716351-0,md:candles:1m,1786700726355
1786700759999,OFSS,1m,11808.00,11808.00,11808.00,11808.00,0,1786701009886-0,md:candles:1m,1786701010481
1786701059999,OFSS,1m,11808.00,11808.00,11808.00,11808.00,716,1786701078188-0,md:candles:1m,1786701082805
1786701119999,OFSS,1m,11808.00,11808.00,11808.00,11808.00,60,1786701134483-0,md:candles:1m,1786701137210
1786701179999,OFSS,1m,11808.00,11808.00,11808.00,11808.00,58,1786701188695-0,md:candles:1m,1786701191510
1786701239999,OFSS,1m,11808.00,11808.00,11808.00,11808.00,34,1786701248881-0,md:candles:1m,1786701260413
1786701299999,OFSS,1m,11808.00,11808.00,11808.00,11808.00,2,1786701423053-0,md:candles:1m,1786701432770
1786701419999,OFSS,1m,11808.00,11808.00,11808.00,11808.00,18,1786701449792-0,md:candles:1m,1786701454406
1786701479999,OFSS,1m,11808.00,11808.00,11808.00,11808.00,1,1786701522797-0,md:candles:1m,1786701529772
1786701539999,OFSS,1m,11828.00,11828.00,11828.00,11828.00,257179,1786702808627-0,md:candles:1m,1786702820532
1786702859999,OFSS,1m,11828.00,11828.00,11828.00,11828.00,101,1786702900455-0,md:candles:1m,1786702906259
1786702919999,OFSS,1m,11828.00,11828.00,11828.00,11828.00,7,1786702953115-0,md:candles:1m,1786702957910
1786702979999,OFSS,1m,11828.00,11828.00,11828.00,11828.00,3,1786703153824-0,md:candles:1m,1786703163439
1786703159999,OFSS,1m,11828.00,11828.00,11828.00,11828.00,1,1786703288364-0,md:candles:1m,1786703292463
1786703339999,OFSS,1m,11828.00,11828.00,11828.00,11828.00,1,1786703385281-0,md:candles:1m,1786703390903
1786699799999,OFSS,30m,11820.00,11829.00,11791.00,11798.00,9619,1786699866175-0,md:candles:30m,1786699872287
1786701599999,OFSS,30m,11792.00,11832.00,11791.00,11828.00,282301,1786702900460-0,md:candles:30m,1786702905661
1786699199999,OFSS,5m,11820.00,11829.00,11803.00,11810.00,2254,1786699267481-0,md:candles:5m,1786699276624
1786699499999,OFSS,5m,11810.00,11821.00,11800.00,11819.00,4609,1786699569920-0,md:candles:5m,1786699570970
1786699799999,OFSS,5m,11822.00,11824.00,11791.00,11798.00,2756,1786699866173-0,md:candles:5m,1786699868444
1786700099999,OFSS,5m,11792.00,11815.00,11791.00,11814.00,5167,1786700165178-0,md:candles:5m,1786700170829
1786700399999,OFSS,5m,11813.00,11832.00,11800.00,11829.00,7741,1786700466521-0,md:candles:5m,1786700471362
1786700699999,OFSS,5m,11826.00,11830.00,11799.00,11808.00,11325,1786701009888-0,md:candles:5m,1786701013188
1786700999999,OFSS,5m,11808.00,11808.00,11808.00,11808.00,0,1786701078190-0,md:candles:5m,1786701080800
1786701299999,OFSS,5m,11808.00,11808.00,11808.00,11808.00,870,1786701449794-0,md:candles:5m,1786701456426
1786701599999,OFSS,5m,11808.00,11828.00,11808.00,11828.00,257198,1786702900457-0,md:candles:5m,1786702906259
1786703099999,OFSS,5m,11828.00,11828.00,11828.00,11828.00,111,1786703288368-0,md:candles:5m,1786703295918
