ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,OIL,10m,469.05,469.10,468.00,468.10,78668,1786699266245-0,md:candles:10m,1786699276624
1786699799999,OIL,10m,468.10,469.35,468.00,469.00,62501,1786699869453-0,md:candles:10m,1786699876284
1786700399999,OIL,10m,469.00,469.55,468.90,469.15,120978,1786700466353-0,md:candles:10m,1786700471301
1786700999999,OIL,10m,468.75,469.15,468.50,468.60,65535,1786701069799-0,md:candles:10m,1786701070102
1786701599999,OIL,10m,468.60,468.60,468.50,468.50,1994652,1786702885128-0,md:candles:10m,1786702885431
1786702808000,OIL,1d,469.05,469.55,468.00,468.50,2322334,1786702813138-0,md:candles:1d,1786702818543
1786698959999,OIL,1m,469.05,469.05,469.00,469.05,3883,1786698965862-0,md:candles:1m,1786698974630
1786699019999,OIL,1m,469.05,469.10,469.00,469.10,2784,1786699029422-0,md:candles:1m,1786699041361
1786699079999,OIL,1m,469.10,469.10,468.40,468.40,69231,1786699085696-0,md:candles:1m,1786699094422
1786699139999,OIL,1m,468.30,468.50,468.20,468.30,1564,1786699148485-0,md:candles:1m,1786699158101
1786699199999,OIL,1m,468.30,468.30,468.00,468.10,1206,1786699206797-0,md:candles:1m,1786699208603
1786699259999,OIL,1m,468.10,468.35,468.00,468.30,1816,1786699266238-0,md:candles:1m,1786699273120
1786699319999,OIL,1m,468.30,468.50,468.15,468.50,12673,1786699325384-0,md:candles:1m,1786699326703
1786699379999,OIL,1m,468.25,468.40,468.25,468.40,1394,1786699388356-0,md:candles:1m,1786699391745
1786699439999,OIL,1m,468.25,468.75,468.25,468.75,3876,1786699446986-0,md:candles:1m,1786699457822
1786699499999,OIL,1m,468.75,469.20,468.50,468.95,17637,1786699505303-0,md:candles:1m,1786699511111
1786699559999,OIL,1m,468.95,469.05,468.75,469.05,7756,1786699568138-0,md:candles:1m,1786699576085
1786699619999,OIL,1m,469.00,469.10,468.85,469.00,2052,1786699628207-0,md:candles:1m,1786699639246
1786699679999,OIL,1m,469.00,469.35,469.00,469.35,5094,1786699689325-0,md:candles:1m,1786699689702
1786699739999,OIL,1m,469.00,469.15,468.90,469.00,7739,1786699748690-0,md:candles:1m,1786699754023
1786699799999,OIL,1m,469.10,469.10,469.00,469.00,2464,1786699806601-0,md:candles:1m,1786699807941
1786699859999,OIL,1m,469.00,469.05,468.90,469.05,10752,1786699869445-0,md:candles:1m,1786699871843
1786699919999,OIL,1m,469.05,469.10,469.00,469.10,5822,1786699928721-0,md:candles:1m,1786699936026
1786699979999,OIL,1m,469.10,469.35,469.05,469.10,5856,1786699987257-0,md:candles:1m,1786699989617
1786700039999,OIL,1m,469.20,469.25,469.05,469.25,3948,1786700047736-0,md:candles:1m,1786700051805
1786700099999,OIL,1m,469.20,469.55,469.05,469.55,33851,1786700110409-0,md:candles:1m,1786700118244
1786700159999,OIL,1m,469.30,469.30,469.05,469.30,12850,1786700166526-0,md:candles:1m,1786700171522
1786700219999,OIL,1m,469.35,469.35,469.05,469.30,12825,1786700229103-0,md:candles:1m,1786700233604
1786700279999,OIL,1m,469.25,469.30,469.00,469.15,14323,1786700291018-0,md:candles:1m,1786700298079
1786700339999,OIL,1m,469.25,469.30,468.90,469.30,8811,1786700345591-0,md:candles:1m,1786700351053
1786700399999,OIL,1m,469.20,469.30,468.90,469.15,11940,1786700410371-0,md:candles:1m,1786700412580
1786700459999,OIL,1m,468.75,469.05,468.50,469.05,8129,1786700466349-0,md:candles:1m,1786700476026
1786700519999,OIL,1m,469.05,469.10,468.75,468.75,9987,1786700527544-0,md:candles:1m,1786700529452
1786700579999,OIL,1m,469.05,469.05,468.50,469.00,30126,1786700590415-0,md:candles:1m,1786700591306
1786700639999,OIL,1m,469.10,469.15,468.50,468.75,9220,1786700645638-0,md:candles:1m,1786700653590
1786700699999,OIL,1m,468.75,468.75,468.50,468.60,7733,1786700708255-0,md:candles:1m,1786700715149
1786700759999,OIL,1m,468.60,468.60,468.60,468.60,340,1786701007385-0,md:candles:1m,1786701010481
1786701059999,OIL,1m,468.60,468.60,468.60,468.60,42870,1786701069791-0,md:candles:1m,1786701071890
1786701119999,OIL,1m,468.60,468.60,468.60,468.60,11414,1786701126411-0,md:candles:1m,1786701126761
1786701179999,OIL,1m,468.60,468.60,468.60,468.60,1405,1786701186776-0,md:candles:1m,1786701191510
1786701239999,OIL,1m,468.60,468.60,468.60,468.60,555,1786701253294-0,md:candles:1m,1786701260413
1786701299999,OIL,1m,468.60,468.60,468.60,468.60,680,1786701344607-0,md:candles:1m,1786701346604
1786701359999,OIL,1m,468.60,468.60,468.60,468.60,307,1786701388232-0,md:candles:1m,1786701390103
1786701419999,OIL,1m,468.60,468.60,468.60,468.60,230,1786701427797-0,md:candles:1m,1786701432770
1786701479999,OIL,1m,468.60,468.60,468.60,468.60,360,1786701490865-0,md:candles:1m,1786701496799
1786701539999,OIL,1m,468.60,468.60,468.50,468.50,1936831,1786702813136-0,md:candles:1m,1786702820532
1786702859999,OIL,1m,468.50,468.50,468.50,468.50,325,1786702885124-0,md:candles:1m,1786702895641
1786702919999,OIL,1m,468.50,468.50,468.50,468.50,625,1786702988235-0,md:candles:1m,1786702990427
1786703039999,OIL,1m,468.50,468.50,468.50,468.50,50,1786703197286-0,md:candles:1m,1786703206602
1786699799999,OIL,30m,469.05,469.35,468.00,469.00,141169,1786699869455-0,md:candles:30m,1786699872287
1786701599999,OIL,30m,469.00,469.55,468.50,468.50,2181165,1786702885129-0,md:candles:30m,1786702894033
1786699199999,OIL,5m,469.05,469.10,468.00,468.10,78668,1786699266244-0,md:candles:5m,1786699276624
1786699499999,OIL,5m,468.10,469.20,468.00,468.95,37396,1786699568145-0,md:candles:5m,1786699570970
1786699799999,OIL,5m,468.95,469.35,468.75,469.00,25105,1786699869452-0,md:candles:5m,1786699880291
1786700099999,OIL,5m,469.00,469.55,468.90,469.55,60229,1786700166533-0,md:candles:5m,1786700170829
1786700399999,OIL,5m,469.30,469.35,468.90,469.15,60749,1786700466352-0,md:candles:5m,1786700471362
1786700699999,OIL,5m,468.75,469.15,468.50,468.60,65195,1786701007390-0,md:candles:5m,1786701013188
1786700999999,OIL,5m,468.60,468.60,468.60,468.60,340,1786701069798-0,md:candles:5m,1786701080800
1786701299999,OIL,5m,468.60,468.60,468.60,468.60,56924,1786701388234-0,md:candles:5m,1786701390103
1786701599999,OIL,5m,468.60,468.60,468.50,468.50,1937728,1786702885126-0,md:candles:5m,1786702895643
