ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ONGC,10m,235.81,235.97,235.80,235.89,99964,1786699265424-0,md:candles:10m,1786699265610
1786699799999,ONGC,10m,235.89,236.00,235.81,235.94,363693,1786699868977-0,md:candles:10m,1786699876284
1786700399999,ONGC,10m,235.95,236.12,235.46,235.46,1150845,1786700465736-0,md:candles:10m,1786700471301
1786700999999,ONGC,10m,235.33,235.45,235.26,235.35,446697,1786701069302-0,md:candles:10m,1786701070102
1786701599999,ONGC,10m,235.35,236.40,235.35,236.40,12097533,1786702876929-0,md:candles:10m,1786702885431
1786702801000,ONGC,1d,235.81,236.40,235.26,236.40,14158732,1786702806460-0,md:candles:1d,1786702807233
1786698959999,ONGC,1m,235.81,235.87,235.81,235.87,1697,1786698965476-0,md:candles:1m,1786698974630
1786699019999,ONGC,1m,235.90,235.90,235.82,235.89,4131,1786699027883-0,md:candles:1m,1786699028548
1786699079999,ONGC,1m,235.93,235.93,235.88,235.92,7558,1786699085669-0,md:candles:1m,1786699094422
1786699139999,ONGC,1m,235.91,235.97,235.87,235.87,67993,1786699145604-0,md:candles:1m,1786699146984
1786699199999,ONGC,1m,235.96,235.96,235.80,235.89,18585,1786699205602-0,md:candles:1m,1786699208603
1786699259999,ONGC,1m,235.89,235.89,235.81,235.86,13175,1786699265410-0,md:candles:1m,1786699273120
1786699319999,ONGC,1m,235.89,235.96,235.81,235.96,90777,1786699326773-0,md:candles:1m,1786699339124
1786699379999,ONGC,1m,235.95,235.96,235.86,235.90,48652,1786699385491-0,md:candles:1m,1786699391745
1786699439999,ONGC,1m,235.91,235.98,235.90,235.94,16956,1786699446488-0,md:candles:1m,1786699457822
1786699499999,ONGC,1m,235.94,235.99,235.91,235.97,37547,1786699508089-0,md:candles:1m,1786699511111
1786699559999,ONGC,1m,235.95,236.00,235.84,235.91,52296,1786699568322-0,md:candles:1m,1786699576085
1786699619999,ONGC,1m,235.90,235.95,235.89,235.94,29650,1786699627704-0,md:candles:1m,1786699639246
1786699679999,ONGC,1m,235.95,235.98,235.92,235.95,15503,1786699687972-0,md:candles:1m,1786699689702
1786699739999,ONGC,1m,235.98,236.00,235.91,235.96,44377,1786699748064-0,md:candles:1m,1786699754023
1786699799999,ONGC,1m,236.00,236.00,235.94,235.94,14760,1786699806115-0,md:candles:1m,1786699807941
1786699859999,ONGC,1m,235.95,236.02,235.91,235.99,131185,1786699868973-0,md:candles:1m,1786699871843
1786699919999,ONGC,1m,236.03,236.12,235.99,236.06,151984,1786699926031-0,md:candles:1m,1786699936026
1786699979999,ONGC,1m,236.08,236.08,235.96,236.01,51044,1786699985809-0,md:candles:1m,1786699989617
1786700039999,ONGC,1m,236.05,236.05,235.97,235.97,80152,1786700045502-0,md:candles:1m,1786700051805
1786700099999,ONGC,1m,236.01,236.04,235.71,235.75,75063,1786700106025-0,md:candles:1m,1786700118244
1786700159999,ONGC,1m,235.75,235.86,235.60,235.60,166279,1786700165872-0,md:candles:1m,1786700171522
1786700219999,ONGC,1m,235.71,235.74,235.50,235.73,209550,1786700225330-0,md:candles:1m,1786700233604
1786700279999,ONGC,1m,235.74,235.75,235.62,235.75,72466,1786700285816-0,md:candles:1m,1786700286220
1786700339999,ONGC,1m,235.73,235.75,235.51,235.51,83654,1786700350651-0,md:candles:1m,1786700351053
1786700399999,ONGC,1m,235.51,235.56,235.46,235.46,129468,1786700409397-0,md:candles:1m,1786700412580
1786700459999,ONGC,1m,235.33,235.45,235.26,235.35,133062,1786700465724-0,md:candles:1m,1786700476026
1786700519999,ONGC,1m,235.36,235.40,235.34,235.35,60809,1786700525420-0,md:candles:1m,1786700529452
1786700579999,ONGC,1m,235.37,235.41,235.35,235.39,136578,1786700590391-0,md:candles:1m,1786700591306
1786700639999,ONGC,1m,235.38,235.41,235.38,235.38,54780,1786700647474-0,md:candles:1m,1786700653590
1786700699999,ONGC,1m,235.35,235.40,235.30,235.40,61165,1786700707842-0,md:candles:1m,1786700715149
1786700759999,ONGC,1m,235.35,235.35,235.35,235.35,303,1786701006801-0,md:candles:1m,1786701010481
1786701059999,ONGC,1m,235.35,235.35,235.35,235.35,327064,1786701069292-0,md:candles:1m,1786701071890
1786701119999,ONGC,1m,235.35,235.35,235.35,235.35,2660,1786701125969-0,md:candles:1m,1786701126761
1786701179999,ONGC,1m,235.35,235.35,235.35,235.35,1409,1786701186293-0,md:candles:1m,1786701191510
1786701239999,ONGC,1m,235.35,235.35,235.35,235.35,1419,1786701246456-0,md:candles:1m,1786701248276
1786701299999,ONGC,1m,235.35,235.35,235.35,235.35,3700,1786701308468-0,md:candles:1m,1786701313567
1786701359999,ONGC,1m,235.35,235.35,235.35,235.35,1627,1786701368283-0,md:candles:1m,1786701379364
1786701419999,ONGC,1m,235.35,235.35,235.35,235.35,620,1786701427293-0,md:candles:1m,1786701432770
1786701479999,ONGC,1m,235.35,235.35,235.35,235.35,1011,1786701490283-0,md:candles:1m,1786701496799
1786701539999,ONGC,1m,235.35,236.40,235.35,236.40,11758023,1786702806459-0,md:candles:1m,1786702808525
