ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,PAGEIND,10m,36715.00,36765.00,36715.00,36750.00,303,1786699273620-0,md:candles:10m,1786699276624
1786699799999,PAGEIND,10m,36740.00,36780.00,36725.00,36730.00,2081,1786699866171-0,md:candles:10m,1786699876284
1786700399999,PAGEIND,10m,36725.00,36885.00,36725.00,36805.00,6645,1786700468217-0,md:candles:10m,1786700471301
1786700999999,PAGEIND,10m,36800.00,36895.00,36750.00,36860.00,5349,1786701102831-0,md:candles:10m,1786701104823
1786702803000,PAGEIND,1d,36715.00,36895.00,36715.00,36750.00,133519,1786702808536-0,md:candles:1d,1786702818543
1786698959999,PAGEIND,1m,36715.00,36760.00,36715.00,36760.00,102,1786698967529-0,md:candles:1m,1786698974630
1786699019999,PAGEIND,1m,36760.00,36765.00,36745.00,36745.00,65,1786699031328-0,md:candles:1m,1786699041361
1786699079999,PAGEIND,1m,36745.00,36755.00,36730.00,36730.00,61,1786699087611-0,md:candles:1m,1786699094422
1786699139999,PAGEIND,1m,36750.00,36760.00,36740.00,36760.00,39,1786699148002-0,md:candles:1m,1786699158101
1786699199999,PAGEIND,1m,36760.00,36760.00,36745.00,36750.00,36,1786699208469-0,md:candles:1m,1786699208603
1786699259999,PAGEIND,1m,36740.00,36750.00,36735.00,36740.00,439,1786699273616-0,md:candles:1m,1786699286206
1786699319999,PAGEIND,1m,36740.00,36760.00,36725.00,36755.00,310,1786699327113-0,md:candles:1m,1786699339124
1786699379999,PAGEIND,1m,36760.00,36760.00,36750.00,36750.00,167,1786699390483-0,md:candles:1m,1786699391745
1786699439999,PAGEIND,1m,36760.00,36770.00,36755.00,36765.00,49,1786699448667-0,md:candles:1m,1786699457822
1786699499999,PAGEIND,1m,36765.00,36780.00,36745.00,36765.00,532,1786699507399-0,md:candles:1m,1786699511111
1786699559999,PAGEIND,1m,36760.00,36760.00,36745.00,36745.00,78,1786699569910-0,md:candles:1m,1786699576085
1786699619999,PAGEIND,1m,36750.00,36770.00,36745.00,36755.00,88,1786699630212-0,md:candles:1m,1786699639246
1786699679999,PAGEIND,1m,36770.00,36770.00,36760.00,36765.00,82,1786699689965-0,md:candles:1m,1786699701410
1786699739999,PAGEIND,1m,36770.00,36770.00,36740.00,36750.00,137,1786699749973-0,md:candles:1m,1786699754023
1786699799999,PAGEIND,1m,36755.00,36755.00,36730.00,36730.00,199,1786699808855-0,md:candles:1m,1786699821286
