ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,PATANJALI,10m,351.00,351.15,350.10,350.95,40695,1786699266426-0,md:candles:10m,1786699276624
1786699799999,PATANJALI,10m,350.95,351.30,350.45,350.95,59555,1786699870133-0,md:candles:10m,1786699876284
1786700399999,PATANJALI,10m,351.30,352.50,350.70,352.50,172719,1786700466460-0,md:candles:10m,1786700471301
1786700999999,PATANJALI,10m,352.50,353.30,350.85,351.00,162226,1786701070299-0,md:candles:10m,1786701080910
1786701599999,PATANJALI,10m,351.00,352.00,351.00,352.00,2473482,1786703002449-0,md:candles:10m,1786703004540
1786702802000,PATANJALI,1d,351.00,353.30,350.10,352.00,2908677,1786702807333-0,md:candles:1d,1786702818543
1786698959999,PATANJALI,1m,351.00,351.15,350.80,350.95,7526,1786698966108-0,md:candles:1m,1786698974630
1786699019999,PATANJALI,1m,351.00,351.00,350.25,350.25,14613,1786699028591-0,md:candles:1m,1786699041361
1786699079999,PATANJALI,1m,350.40,350.45,350.25,350.45,1452,1786699087079-0,md:candles:1m,1786699094422
1786699139999,PATANJALI,1m,350.30,350.80,350.10,350.80,4994,1786699146399-0,md:candles:1m,1786699146984
1786699199999,PATANJALI,1m,350.70,350.95,350.50,350.95,12110,1786699207360-0,md:candles:1m,1786699208603
1786699259999,PATANJALI,1m,350.95,351.30,350.50,350.65,14604,1786699266403-0,md:candles:1m,1786699273120
1786699319999,PATANJALI,1m,350.65,351.00,350.65,350.85,12668,1786699325890-0,md:candles:1m,1786699326703
1786699379999,PATANJALI,1m,350.85,350.95,350.50,350.70,2422,1786699388806-0,md:candles:1m,1786699391745
1786699439999,PATANJALI,1m,350.70,350.85,350.60,350.65,4310,1786699447472-0,md:candles:1m,1786699457822
1786699499999,PATANJALI,1m,350.80,350.85,350.65,350.85,2051,1786699506146-0,md:candles:1m,1786699511111
1786699559999,PATANJALI,1m,350.85,351.10,350.85,351.00,7605,1786699569387-0,md:candles:1m,1786699576085
1786699619999,PATANJALI,1m,351.00,351.05,350.65,350.65,4236,1786699628829-0,md:candles:1m,1786699639246
1786699679999,PATANJALI,1m,350.45,350.75,350.45,350.75,4451,1786699708987-0,md:candles:1m,1786699712995
1786699739999,PATANJALI,1m,350.50,350.55,350.50,350.55,1095,1786699749010-0,md:candles:1m,1786699754023
1786699799999,PATANJALI,1m,350.60,351.00,350.55,350.95,6113,1786699807255-0,md:candles:1m,1786699807941
1786699859999,PATANJALI,1m,351.30,351.80,351.30,351.45,25231,1786699870128-0,md:candles:1m,1786699871843
1786699919999,PATANJALI,1m,351.45,351.45,350.95,351.00,34249,1786699929321-0,md:candles:1m,1786699936026
1786699979999,PATANJALI,1m,351.00,351.35,350.70,351.20,16321,1786699988007-0,md:candles:1m,1786699989617
1786700039999,PATANJALI,1m,351.00,351.50,351.00,351.50,15235,1786700048391-0,md:candles:1m,1786700051805
1786700099999,PATANJALI,1m,351.45,351.60,351.00,351.00,15224,1786700108238-0,md:candles:1m,1786700118244
1786700159999,PATANJALI,1m,351.45,351.60,351.10,351.50,12943,1786700167062-0,md:candles:1m,1786700171522
1786700219999,PATANJALI,1m,351.50,351.70,351.30,351.50,13850,1786700229618-0,md:candles:1m,1786700233604
1786700279999,PATANJALI,1m,351.50,351.70,351.00,351.50,11917,1786700291570-0,md:candles:1m,1786700298079
1786700339999,PATANJALI,1m,351.65,352.30,351.65,352.25,7980,1786700346580-0,md:candles:1m,1786700351053
1786700399999,PATANJALI,1m,352.30,352.50,351.90,352.50,19769,1786700412587-0,md:candles:1m,1786700412580
1786700459999,PATANJALI,1m,352.50,353.30,350.85,350.85,74981,1786700466443-0,md:candles:1m,1786700476026
1786700519999,PATANJALI,1m,350.95,351.60,350.95,351.00,35261,1786700528187-0,md:candles:1m,1786700529452
1786700579999,PATANJALI,1m,351.00,351.00,350.85,351.00,12152,1786700586648-0,md:candles:1m,1786700591306
1786700639999,PATANJALI,1m,351.00,353.00,350.85,353.00,16385,1786700646161-0,md:candles:1m,1786700653590
1786700699999,PATANJALI,1m,351.75,353.00,351.00,352.80,19001,1786700708848-0,md:candles:1m,1786700715149
1786700759999,PATANJALI,1m,351.00,351.00,351.00,351.00,4446,1786701008092-0,md:candles:1m,1786701010481
1786701059999,PATANJALI,1m,351.00,351.00,351.00,351.00,6594,1786701070291-0,md:candles:1m,1786701071890
1786701119999,PATANJALI,1m,351.00,351.00,351.00,351.00,330,1786701127063-0,md:candles:1m,1786701137210
1786701179999,PATANJALI,1m,351.00,351.00,351.00,351.00,1157,1786701187300-0,md:candles:1m,1786701191510
1786701239999,PATANJALI,1m,351.00,351.00,351.00,351.00,7568,1786701247485-0,md:candles:1m,1786701248276
1786701299999,PATANJALI,1m,351.00,351.00,351.00,351.00,4868,1786701331593-0,md:candles:1m,1786701336296
1786701359999,PATANJALI,1m,351.00,351.00,351.00,351.00,14,1786701369349-0,md:candles:1m,1786701379364
1786701419999,PATANJALI,1m,351.00,351.00,351.00,351.00,291,1786701428471-0,md:candles:1m,1786701432770
1786701479999,PATANJALI,1m,351.00,351.00,351.00,351.00,2868,1786701491568-0,md:candles:1m,1786701496799
1786701539999,PATANJALI,1m,351.00,352.00,351.00,352.00,2449792,1786702807331-0,md:candles:1m,1786702808525
1786702859999,PATANJALI,1m,352.00,352.00,352.00,352.00,650,1786703002446-0,md:candles:1m,1786703011147
1786703039999,PATANJALI,1m,352.00,352.00,352.00,352.00,64,1786703116392-0,md:candles:1m,1786703118294
1786703159999,PATANJALI,1m,352.00,352.00,352.00,352.00,23,1786703227800-0,md:candles:1m,1786703228996
1786703279999,PATANJALI,1m,352.00,352.00,352.00,352.00,106,1786703322712-0,md:candles:1m,1786703325910
1786703339999,PATANJALI,1m,352.00,352.00,352.00,352.00,8,1786703346838-0,md:candles:1m,1786703348029
1786699799999,PATANJALI,30m,351.00,351.30,350.10,350.95,100250,1786699870135-0,md:candles:30m,1786699872287
1786701599999,PATANJALI,30m,351.30,353.30,350.70,352.00,2808427,1786703002450-0,md:candles:30m,1786703012059
1786699199999,PATANJALI,5m,351.00,351.15,350.10,350.95,40695,1786699266423-0,md:candles:5m,1786699276624
1786699499999,PATANJALI,5m,350.95,351.30,350.50,350.85,36055,1786699569390-0,md:candles:5m,1786699570970
1786699799999,PATANJALI,5m,350.85,351.10,350.45,350.95,23500,1786699870132-0,md:candles:5m,1786699880291
1786700099999,PATANJALI,5m,351.30,351.80,350.70,351.00,106260,1786700167068-0,md:candles:5m,1786700170829
1786700399999,PATANJALI,5m,351.45,352.50,351.00,352.50,66459,1786700466459-0,md:candles:5m,1786700471362
1786700699999,PATANJALI,5m,352.50,353.30,350.85,352.80,157780,1786701008098-0,md:candles:5m,1786701013188
1786700999999,PATANJALI,5m,351.00,351.00,351.00,351.00,4446,1786701070297-0,md:candles:5m,1786701080800
1786701299999,PATANJALI,5m,351.00,351.00,351.00,351.00,20517,1786701369351-0,md:candles:5m,1786701379364
1786701599999,PATANJALI,5m,351.00,352.00,351.00,352.00,2452965,1786703002448-0,md:candles:5m,1786703004540
1786703099999,PATANJALI,5m,352.00,352.00,352.00,352.00,714,1786703227802-0,md:candles:5m,1786703229106
