ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,PAYTM,10m,1616.10,1616.30,1612.20,1614.00,34053,1786699265685-0,md:candles:10m,1786699276624
1786699799999,PAYTM,10m,1613.70,1615.50,1608.50,1608.50,154057,1786699869742-0,md:candles:10m,1786699876284
1786700399999,PAYTM,10m,1608.80,1608.80,1605.10,1607.30,181050,1786700465523-0,md:candles:10m,1786700471301
1786700999999,PAYTM,10m,1607.00,1611.10,1605.10,1607.00,92774,1786701069999-0,md:candles:10m,1786701070102
1786701599999,PAYTM,10m,1607.00,1607.00,1603.00,1603.00,3212627,1786702892236-0,md:candles:10m,1786702895644
1786702801000,PAYTM,1d,1616.10,1616.30,1603.00,1603.00,3674561,1786702806967-0,md:candles:1d,1786702807233
1786698959999,PAYTM,1m,1616.10,1616.30,1616.10,1616.30,754,1786698966075-0,md:candles:1m,1786698974630
1786699019999,PAYTM,1m,1616.10,1616.20,1615.30,1615.60,2095,1786699027952-0,md:candles:1m,1786699028548
1786699079999,PAYTM,1m,1612.20,1614.40,1612.20,1612.70,15874,1786699085523-0,md:candles:1m,1786699094422
1786699139999,PAYTM,1m,1612.70,1614.80,1612.30,1614.60,8482,1786699145598-0,md:candles:1m,1786699146984
1786699199999,PAYTM,1m,1614.40,1615.00,1613.50,1614.00,6848,1786699205463-0,md:candles:1m,1786699208603
1786699259999,PAYTM,1m,1613.70,1615.00,1613.70,1614.80,5319,1786699265660-0,md:candles:1m,1786699273120
1786699319999,PAYTM,1m,1614.20,1615.50,1614.00,1614.90,7966,1786699325775-0,md:candles:1m,1786699326703
1786699379999,PAYTM,1m,1614.60,1614.80,1614.10,1614.40,7324,1786699385985-0,md:candles:1m,1786699391745
1786699439999,PAYTM,1m,1614.40,1614.70,1613.10,1613.10,3446,1786699445168-0,md:candles:1m,1786699445600
1786699499999,PAYTM,1m,1613.10,1613.50,1613.00,1613.20,2308,1786699506097-0,md:candles:1m,1786699511111
1786699559999,PAYTM,1m,1613.10,1615.50,1611.20,1613.00,36073,1786699565892-0,md:candles:1m,1786699576085
1786699619999,PAYTM,1m,1612.80,1614.60,1611.90,1613.10,11923,1786699625510-0,md:candles:1m,1786699627296
1786699679999,PAYTM,1m,1613.10,1613.10,1611.70,1612.40,16612,1786699685483-0,md:candles:1m,1786699689702
1786699739999,PAYTM,1m,1612.00,1613.20,1609.00,1609.70,35396,1786699745312-0,md:candles:1m,1786699754023
1786699799999,PAYTM,1m,1609.70,1609.80,1608.50,1608.50,27690,1786699806037-0,md:candles:1m,1786699807941
1786699859999,PAYTM,1m,1608.80,1608.80,1607.50,1608.40,42968,1786699869722-0,md:candles:1m,1786699871843
1786699919999,PAYTM,1m,1607.60,1608.10,1607.40,1607.40,8880,1786699926081-0,md:candles:1m,1786699936026
1786699979999,PAYTM,1m,1607.50,1607.50,1605.20,1606.70,28586,1786699987443-0,md:candles:1m,1786699989617
1786700039999,PAYTM,1m,1606.30,1608.80,1606.30,1608.60,13042,1786700045994-0,md:candles:1m,1786700051805
1786700099999,PAYTM,1m,1608.60,1608.60,1607.50,1607.50,8641,1786700105539-0,md:candles:1m,1786700105816
1786700159999,PAYTM,1m,1607.50,1607.80,1605.10,1606.70,26288,1786700166617-0,md:candles:1m,1786700171522
1786700219999,PAYTM,1m,1607.50,1607.90,1605.90,1606.70,17749,1786700225268-0,md:candles:1m,1786700233604
1786700279999,PAYTM,1m,1606.90,1607.20,1605.30,1606.90,9357,1786700285248-0,md:candles:1m,1786700286220
1786700339999,PAYTM,1m,1606.80,1607.90,1606.30,1607.00,11919,1786700351083-0,md:candles:1m,1786700362283
1786700399999,PAYTM,1m,1606.00,1607.80,1606.00,1607.30,13620,1786700410392-0,md:candles:1m,1786700412580
1786700459999,PAYTM,1m,1607.00,1608.90,1606.80,1608.90,14390,1786700465477-0,md:candles:1m,1786700476026
1786700519999,PAYTM,1m,1608.50,1608.50,1607.40,1607.40,9447,1786700527691-0,md:candles:1m,1786700529452
1786700579999,PAYTM,1m,1607.50,1607.90,1605.10,1606.30,48490,1786700585302-0,md:candles:1m,1786700591306
