ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,PERSISTENT,10m,5585.50,5587.50,5583.50,5585.00,3652,1786699267624-0,md:candles:10m,1786699276624
1786699799999,PERSISTENT,10m,5585.00,5590.00,5581.50,5583.00,18718,1786699871843-0,md:candles:10m,1786699876284
1786700399999,PERSISTENT,10m,5582.00,5591.00,5577.00,5589.00,33899,1786700468359-0,md:candles:10m,1786700471301
1786700999999,PERSISTENT,10m,5587.00,5589.50,5575.00,5576.00,20908,1786701090719-0,md:candles:10m,1786701092722
1786701599999,PERSISTENT,10m,5576.00,5580.00,5576.00,5580.00,629139,1786702970734-0,md:candles:10m,1786702970739
1786702803000,PERSISTENT,1d,5585.50,5591.00,5575.00,5580.00,706316,1786702808736-0,md:candles:1d,1786702818543
1786698959999,PERSISTENT,1m,5585.50,5586.00,5585.00,5585.50,369,1786698968490-0,md:candles:1m,1786698974630
1786699019999,PERSISTENT,1m,5585.00,5587.50,5584.50,5585.00,944,1786699029592-0,md:candles:1m,1786699041361
1786699079999,PERSISTENT,1m,5584.50,5587.00,5584.50,5587.00,765,1786699090210-0,md:candles:1m,1786699094422
1786699139999,PERSISTENT,1m,5584.50,5587.00,5583.50,5584.50,949,1786699149321-0,md:candles:1m,1786699158101
1786699199999,PERSISTENT,1m,5584.50,5587.50,5584.00,5585.00,625,1786699208611-0,md:candles:1m,1786699221468
1786699259999,PERSISTENT,1m,5585.00,5590.00,5584.50,5586.00,2115,1786699267612-0,md:candles:1m,1786699273120
1786699319999,PERSISTENT,1m,5584.50,5586.00,5584.00,5586.00,2406,1786699325768-0,md:candles:1m,1786699326703
1786699379999,PERSISTENT,1m,5587.50,5590.00,5585.00,5585.00,2324,1786699390567-0,md:candles:1m,1786699391745
1786699439999,PERSISTENT,1m,5585.00,5586.00,5583.00,5586.00,1929,1786699448916-0,md:candles:1m,1786699457822
1786699499999,PERSISTENT,1m,5585.50,5586.00,5585.50,5585.50,1328,1786699507569-0,md:candles:1m,1786699511111
1786699559999,PERSISTENT,1m,5586.00,5586.00,5583.00,5583.50,1831,1786699569914-0,md:candles:1m,1786699576085
1786699619999,PERSISTENT,1m,5587.00,5587.00,5584.50,5585.00,2027,1786699626924-0,md:candles:1m,1786699627296
1786699679999,PERSISTENT,1m,5583.50,5584.50,5583.00,5584.50,2278,1786699689968-0,md:candles:1m,1786699701410
1786699739999,PERSISTENT,1m,5584.00,5584.00,5581.50,5582.50,1325,1786699749980-0,md:candles:1m,1786699754023
1786699799999,PERSISTENT,1m,5581.50,5584.00,5581.50,5583.00,1155,1786699809108-0,md:candles:1m,1786699821286
1786699859999,PERSISTENT,1m,5582.00,5582.50,5581.00,5582.00,1754,1786699871840-0,md:candles:1m,1786699871843
1786699919999,PERSISTENT,1m,5582.00,5587.50,5582.00,5585.50,2190,1786699928127-0,md:candles:1m,1786699936026
1786699979999,PERSISTENT,1m,5588.00,5590.00,5586.00,5590.00,4278,1786699989238-0,md:candles:1m,1786699989617
1786700039999,PERSISTENT,1m,5589.50,5591.00,5589.50,5591.00,3571,1786700050222-0,md:candles:1m,1786700051805
1786700099999,PERSISTENT,1m,5590.00,5590.00,5584.50,5588.00,1976,1786700105783-0,md:candles:1m,1786700105816
1786700159999,PERSISTENT,1m,5585.50,5586.50,5580.50,5582.00,2507,1786700165190-0,md:candles:1m,1786700171522
1786700219999,PERSISTENT,1m,5581.00,5583.00,5577.00,5582.00,5805,1786700231326-0,md:candles:1m,1786700233604
1786700279999,PERSISTENT,1m,5582.00,5582.50,5578.50,5580.00,6680,1786700286233-0,md:candles:1m,1786700298079
1786700339999,PERSISTENT,1m,5583.50,5585.50,5583.50,5583.50,2152,1786700345546-0,md:candles:1m,1786700351053
1786700399999,PERSISTENT,1m,5584.00,5589.00,5583.50,5589.00,2986,1786700406627-0,md:candles:1m,1786700412580
1786700459999,PERSISTENT,1m,5587.00,5589.00,5587.00,5587.00,2537,1786700468356-0,md:candles:1m,1786700476026
1786700519999,PERSISTENT,1m,5588.00,5589.50,5584.00,5584.00,2900,1786700526416-0,md:candles:1m,1786700529452
1786700579999,PERSISTENT,1m,5582.50,5584.00,5577.50,5580.00,6453,1786700587291-0,md:candles:1m,1786700591306
1786700639999,PERSISTENT,1m,5581.00,5585.00,5577.00,5579.00,3509,1786700647566-0,md:candles:1m,1786700653590
1786700699999,PERSISTENT,1m,5584.50,5585.00,5575.00,5585.00,5508,1786700705475-0,md:candles:1m,1786700715149
1786700759999,PERSISTENT,1m,5576.00,5576.00,5576.00,5576.00,1,1786701009902-0,md:candles:1m,1786701010481
1786701059999,PERSISTENT,1m,5576.00,5576.00,5576.00,5576.00,704,1786701090717-0,md:candles:1m,1786701094723
1786701119999,PERSISTENT,1m,5576.00,5576.00,5576.00,5576.00,50,1786701128466-0,md:candles:1m,1786701137210
1786701179999,PERSISTENT,1m,5576.00,5576.00,5576.00,5576.00,157,1786701188704-0,md:candles:1m,1786701191510
1786701239999,PERSISTENT,1m,5576.00,5576.00,5576.00,5576.00,1570,1786701248888-0,md:candles:1m,1786701260413
1786701299999,PERSISTENT,1m,5576.00,5576.00,5576.00,5576.00,205,1786701318080-0,md:candles:1m,1786701324284
1786701359999,PERSISTENT,1m,5576.00,5576.00,5576.00,5576.00,5,1786701370850-0,md:candles:1m,1786701379364
1786701419999,PERSISTENT,1m,5576.00,5576.00,5576.00,5576.00,130,1786701430062-0,md:candles:1m,1786701432770
1786701479999,PERSISTENT,1m,5576.00,5576.00,5576.00,5576.00,1006,1786701493366-0,md:candles:1m,1786701496799
1786701539999,PERSISTENT,1m,5576.00,5580.00,5576.00,5580.00,625312,1786702808734-0,md:candles:1m,1786702820532
1786702859999,PERSISTENT,1m,5580.00,5580.00,5580.00,5580.00,69,1786702970729-0,md:candles:1m,1786702979538
1786702979999,PERSISTENT,1m,5580.00,5580.00,5580.00,5580.00,1,1786702990647-0,md:candles:1m,1786703000545
1786703039999,PERSISTENT,1m,5580.00,5580.00,5580.00,5580.00,1,1786703047607-0,md:candles:1m,1786703055708
1786703099999,PERSISTENT,1m,5580.00,5580.00,5580.00,5580.00,2,1786703214492-0,md:candles:1m,1786703218504
1786699799999,PERSISTENT,30m,5585.50,5590.00,5581.50,5583.00,22370,1786699871845-0,md:candles:30m,1786699872287
1786701599999,PERSISTENT,30m,5582.00,5591.00,5575.00,5580.00,683946,1786702970736-0,md:candles:30m,1786702970740
1786699199999,PERSISTENT,5m,5585.50,5587.50,5583.50,5585.00,3652,1786699267622-0,md:candles:5m,1786699276624
1786699499999,PERSISTENT,5m,5585.00,5590.00,5583.00,5585.50,10102,1786699569922-1,md:candles:5m,1786699570970
1786699799999,PERSISTENT,5m,5586.00,5587.00,5581.50,5583.00,8616,1786699871842-0,md:candles:5m,1786699880291
1786700099999,PERSISTENT,5m,5582.00,5591.00,5581.00,5588.00,13769,1786700165200-0,md:candles:5m,1786700170829
1786700399999,PERSISTENT,5m,5585.50,5589.00,5577.00,5589.00,20130,1786700468357-0,md:candles:5m,1786700471362
1786700699999,PERSISTENT,5m,5587.00,5589.50,5575.00,5585.00,20907,1786701009905-0,md:candles:5m,1786701013188
1786700999999,PERSISTENT,5m,5576.00,5576.00,5576.00,5576.00,1,1786701090718-0,md:candles:5m,1786701092706
1786701299999,PERSISTENT,5m,5576.00,5576.00,5576.00,5576.00,2686,1786701370852-0,md:candles:5m,1786701379364
1786701599999,PERSISTENT,5m,5576.00,5580.00,5576.00,5580.00,626453,1786702970732-0,md:candles:5m,1786702970735
