ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,PETRONET,10m,281.75,281.75,281.55,281.70,22860,1786699266982-0,md:candles:10m,1786699276624
1786699799999,PETRONET,10m,281.60,281.80,281.10,281.70,397103,1786699870984-0,md:candles:10m,1786699876284
1786700399999,PETRONET,10m,281.65,281.80,281.45,281.80,191123,1786700467605-0,md:candles:10m,1786700471301
1786700999999,PETRONET,10m,281.70,282.40,281.70,282.40,156973,1786701083901-0,md:candles:10m,1786701092722
1786701599999,PETRONET,10m,282.40,282.60,282.40,282.60,4673722,1786702963315-0,md:candles:10m,1786702970739
1786702802000,PETRONET,1d,281.75,282.60,281.10,282.60,5441781,1786702808028-0,md:candles:1d,1786702818543
1786698959999,PETRONET,1m,281.75,281.75,281.60,281.60,1277,1786698967058-0,md:candles:1m,1786698974630
1786699019999,PETRONET,1m,281.65,281.65,281.60,281.65,5272,1786699030877-0,md:candles:1m,1786699041361
1786699079999,PETRONET,1m,281.60,281.65,281.60,281.60,8646,1786699089560-0,md:candles:1m,1786699094422
1786699139999,PETRONET,1m,281.55,281.65,281.55,281.65,5328,1786699147338-0,md:candles:1m,1786699158101
1786699199999,PETRONET,1m,281.65,281.70,281.60,281.70,2337,1786699207972-0,md:candles:1m,1786699208603
1786699259999,PETRONET,1m,281.60,281.70,281.55,281.60,7386,1786699266979-0,md:candles:1m,1786699273120
1786699319999,PETRONET,1m,281.60,281.70,281.60,281.70,5524,1786699326611-0,md:candles:1m,1786699326703
1786699379999,PETRONET,1m,281.70,281.70,281.60,281.65,22243,1786699389627-0,md:candles:1m,1786699391745
1786699439999,PETRONET,1m,281.60,281.70,281.60,281.65,18920,1786699448178-0,md:candles:1m,1786699457822
1786699499999,PETRONET,1m,281.65,281.70,281.55,281.65,3534,1786699506766-0,md:candles:1m,1786699511111
1786699559999,PETRONET,1m,281.70,281.70,281.50,281.65,94734,1786699569892-0,md:candles:1m,1786699576085
1786699619999,PETRONET,1m,281.60,281.75,281.55,281.60,24655,1786699626655-0,md:candles:1m,1786699627296
1786699679999,PETRONET,1m,281.70,281.70,281.10,281.65,164895,1786699690623-0,md:candles:1m,1786699701410
1786699739999,PETRONET,1m,281.65,281.80,281.60,281.70,46331,1786699745687-0,md:candles:1m,1786699754023
1786699799999,PETRONET,1m,281.70,281.70,281.65,281.70,8881,1786699808171-0,md:candles:1m,1786699821286
1786699859999,PETRONET,1m,281.65,281.70,281.45,281.50,34440,1786699870980-0,md:candles:1m,1786699871843
1786699919999,PETRONET,1m,281.50,281.55,281.50,281.50,15033,1786699930127-0,md:candles:1m,1786699936026
1786699979999,PETRONET,1m,281.55,281.60,281.55,281.60,6526,1786699988537-0,md:candles:1m,1786699989617
1786700039999,PETRONET,1m,281.60,281.60,281.60,281.60,10911,1786700049301-0,md:candles:1m,1786700051805
1786700099999,PETRONET,1m,281.60,281.80,281.60,281.75,25967,1786700112198-0,md:candles:1m,1786700118244
1786700159999,PETRONET,1m,281.60,281.75,281.60,281.70,25964,1786700167978-0,md:candles:1m,1786700171522
1786700219999,PETRONET,1m,281.70,281.80,281.60,281.65,26881,1786700230409-0,md:candles:1m,1786700233604
