ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,PFC,10m,376.30,376.60,376.00,376.35,230823,1786699265689-0,md:candles:10m,1786699276624
1786699799999,PFC,10m,376.40,377.00,376.30,376.85,411621,1786699866143-0,md:candles:10m,1786699876284
1786700399999,PFC,10m,376.90,377.20,375.70,375.80,348347,1786700466453-0,md:candles:10m,1786700471301
1786700999999,PFC,10m,375.80,377.25,375.75,377.05,175110,1786701070214-0,md:candles:10m,1786701080910
1786701599999,PFC,10m,377.05,377.05,376.00,376.00,5829499,1786702879028-0,md:candles:10m,1786702885431
1786702802000,PFC,1d,376.30,377.25,375.70,376.00,6995400,1786702807255-0,md:candles:1d,1786702818543
1786698959999,PFC,1m,376.30,376.30,376.20,376.20,6563,1786698966310-0,md:candles:1m,1786698974630
1786699019999,PFC,1m,376.20,376.25,376.20,376.20,5384,1786699028574-0,md:candles:1m,1786699041361
1786699079999,PFC,1m,376.05,376.35,376.00,376.35,36850,1786699087068-0,md:candles:1m,1786699094422
1786699139999,PFC,1m,376.30,376.55,376.30,376.50,25128,1786699146337-0,md:candles:1m,1786699146984
1786699199999,PFC,1m,376.50,376.60,376.35,376.35,156898,1786699206640-0,md:candles:1m,1786699208603
1786699259999,PFC,1m,376.40,376.60,376.35,376.40,27603,1786699265662-0,md:candles:1m,1786699273120
1786699319999,PFC,1m,376.35,376.45,376.30,376.35,26703,1786699325888-0,md:candles:1m,1786699326703
1786699379999,PFC,1m,376.40,376.50,376.35,376.50,15671,1786699388712-0,md:candles:1m,1786699391745
1786699439999,PFC,1m,376.50,376.65,376.45,376.60,64708,1786699447393-0,md:candles:1m,1786699457822
1786699499999,PFC,1m,376.55,376.70,376.45,376.45,51295,1786699506094-0,md:candles:1m,1786699511111
1786699559999,PFC,1m,376.50,376.85,376.45,376.75,115173,1786699569271-0,md:candles:1m,1786699576085
1786699619999,PFC,1m,376.75,376.75,376.60,376.65,41403,1786699625703-0,md:candles:1m,1786699627296
1786699679999,PFC,1m,376.65,376.85,376.60,376.80,26827,1786699688970-0,md:candles:1m,1786699689702
1786699739999,PFC,1m,376.90,376.95,376.75,376.95,18565,1786699749001-0,md:candles:1m,1786699754023
1786699799999,PFC,1m,376.90,377.00,376.85,376.85,23673,1786699805712-0,md:candles:1m,1786699807941
1786699859999,PFC,1m,376.90,377.20,376.75,377.10,35471,1786699866107-0,md:candles:1m,1786699871843
1786699919999,PFC,1m,377.15,377.15,376.65,376.70,44385,1786699929240-0,md:candles:1m,1786699936026
1786699979999,PFC,1m,376.70,376.70,376.65,376.70,8593,1786699987976-0,md:candles:1m,1786699989617
1786700039999,PFC,1m,376.65,376.70,376.65,376.70,13185,1786700048312-0,md:candles:1m,1786700051805
