ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,PGEL,10m,606.15,606.45,605.05,605.05,14562,1786699265217-0,md:candles:10m,1786699265610
1786699799999,PGEL,10m,605.10,606.40,605.00,605.50,31509,1786699865570-0,md:candles:10m,1786699876284
1786700399999,PGEL,10m,605.50,605.60,601.20,602.75,96913,1786700465568-0,md:candles:10m,1786700471301
1786700999999,PGEL,10m,602.50,603.25,600.05,600.70,80346,1786701069103-0,md:candles:10m,1786701070102
1786701599999,PGEL,10m,600.70,601.00,600.70,601.00,843338,1786702913972-0,md:candles:10m,1786702916373
1786702807000,PGEL,1d,606.15,606.45,600.05,601.00,1066668,1786702812643-0,md:candles:1d,1786702818543
1786698959999,PGEL,1m,606.15,606.45,606.15,606.15,283,1786698965229-0,md:candles:1m,1786698974630
1786699019999,PGEL,1m,606.15,606.30,605.10,605.10,8208,1786699027852-0,md:candles:1m,1786699028548
1786699079999,PGEL,1m,605.25,605.50,605.05,605.30,1433,1786699087721-0,md:candles:1m,1786699094422
1786699139999,PGEL,1m,605.40,605.85,605.25,605.85,1401,1786699147879-0,md:candles:1m,1786699158101
1786699199999,PGEL,1m,605.60,605.60,605.05,605.05,3237,1786699206181-0,md:candles:1m,1786699208603
1786699259999,PGEL,1m,605.10,606.40,605.10,605.55,6115,1786699265201-0,md:candles:1m,1786699273120
1786699319999,PGEL,1m,605.75,606.00,605.45,605.85,808,1786699325595-0,md:candles:1m,1786699326703
1786699379999,PGEL,1m,605.65,605.85,605.50,605.85,2225,1786699385792-0,md:candles:1m,1786699391745
1786699439999,PGEL,1m,605.55,606.10,605.55,605.85,2904,1786699446297-0,md:candles:1m,1786699457822
1786699499999,PGEL,1m,605.70,605.85,605.25,605.45,6734,1786699505792-0,md:candles:1m,1786699511111
1786699559999,PGEL,1m,605.20,605.50,605.20,605.30,1168,1786699568095-0,md:candles:1m,1786699576085
1786699619999,PGEL,1m,605.45,605.65,605.10,605.20,881,1786699627414-0,md:candles:1m,1786699639246
