ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,PHOENIXLTD,10m,1895.00,1895.10,1891.10,1891.40,6710,1786699268095-0,md:candles:10m,1786699276624
1786699799999,PHOENIXLTD,10m,1891.30,1892.60,1890.70,1891.60,4608,1786699865642-0,md:candles:10m,1786699876284
1786700399999,PHOENIXLTD,10m,1891.90,1892.00,1887.20,1887.20,16451,1786700468391-0,md:candles:10m,1786700471301
1786700999999,PHOENIXLTD,10m,1887.00,1889.40,1881.50,1888.80,6650,1786701072486-0,md:candles:10m,1786701080910
1786702827000,PHOENIXLTD,1d,1895.00,1895.10,1881.50,1890.00,236920,1786702833075-0,md:candles:1d,1786702840071
1786698959999,PHOENIXLTD,1m,1895.00,1895.00,1894.80,1895.00,164,1786698965495-0,md:candles:1m,1786698974630
1786699019999,PHOENIXLTD,1m,1894.90,1895.10,1894.80,1894.80,1799,1786699025212-0,md:candles:1m,1786699028548
1786699079999,PHOENIXLTD,1m,1894.80,1894.80,1892.10,1892.30,4030,1786699085585-0,md:candles:1m,1786699094422
1786699139999,PHOENIXLTD,1m,1892.20,1892.60,1891.70,1891.70,303,1786699148790-0,md:candles:1m,1786699158101
1786699199999,PHOENIXLTD,1m,1891.70,1892.40,1891.10,1891.40,414,1786699205676-0,md:candles:1m,1786699208603
1786699259999,PHOENIXLTD,1m,1891.30,1892.40,1890.70,1891.40,938,1786699268092-0,md:candles:1m,1786699273120
1786699319999,PHOENIXLTD,1m,1891.40,1892.20,1890.80,1892.10,456,1786699325375-0,md:candles:1m,1786699326703
1786699379999,PHOENIXLTD,1m,1891.50,1892.20,1891.10,1891.40,363,1786699387101-0,md:candles:1m,1786699391745
1786699439999,PHOENIXLTD,1m,1891.30,1892.40,1891.30,1891.70,380,1786699445832-0,md:candles:1m,1786699457822
1786699499999,PHOENIXLTD,1m,1891.60,1892.10,1891.30,1891.40,295,1786699508276-0,md:candles:1m,1786699511111
1786699559999,PHOENIXLTD,1m,1891.50,1891.70,1891.40,1891.40,420,1786699565372-0,md:candles:1m,1786699576085
1786699619999,PHOENIXLTD,1m,1891.40,1892.00,1891.40,1891.40,435,1786699626013-0,md:candles:1m,1786699627296
1786699679999,PHOENIXLTD,1m,1891.40,1892.60,1891.40,1891.80,546,1786699685699-0,md:candles:1m,1786699689702
1786699739999,PHOENIXLTD,1m,1891.80,1892.30,1891.60,1891.60,462,1786699745782-0,md:candles:1m,1786699754023
1786699799999,PHOENIXLTD,1m,1891.60,1892.30,1891.60,1891.60,313,1786699805252-0,md:candles:1m,1786699807941
1786699859999,PHOENIXLTD,1m,1891.90,1892.00,1891.10,1891.10,2085,1786699865633-0,md:candles:1m,1786699871843
1786699919999,PHOENIXLTD,1m,1891.10,1891.20,1890.10,1891.10,876,1786699929101-0,md:candles:1m,1786699936026
1786699979999,PHOENIXLTD,1m,1890.90,1891.20,1889.70,1891.20,1605,1786699989817-0,md:candles:1m,1786700001238
1786700039999,PHOENIXLTD,1m,1891.00,1891.20,1890.60,1891.00,1024,1786700048143-0,md:candles:1m,1786700051805
1786700099999,PHOENIXLTD,1m,1890.90,1891.00,1890.10,1890.90,326,1786700105521-0,md:candles:1m,1786700105816
1786700159999,PHOENIXLTD,1m,1891.00,1891.00,1890.00,1890.00,2464,1786700165601-0,md:candles:1m,1786700171522
