ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,PIDILITIND,10m,1702.80,1703.10,1701.10,1702.40,2938,1786699266391-0,md:candles:10m,1786699276624
1786699799999,PIDILITIND,10m,1702.00,1703.40,1701.50,1702.80,20535,1786699869990-0,md:candles:10m,1786699876284
1786700399999,PIDILITIND,10m,1703.00,1703.50,1701.00,1702.20,41453,1786700466445-0,md:candles:10m,1786700471301
1786700999999,PIDILITIND,10m,1702.00,1702.80,1695.20,1699.30,34557,1786701070187-0,md:candles:10m,1786701080910
1786701599999,PIDILITIND,10m,1699.30,1699.30,1693.00,1693.00,675294,1786702968815-0,md:candles:10m,1786702970739
1786702802000,PIDILITIND,1d,1702.80,1703.50,1693.00,1693.00,774777,1786702807231-0,md:candles:1d,1786702807233
1786698959999,PIDILITIND,1m,1702.80,1703.10,1702.50,1703.10,298,1786698966217-0,md:candles:1m,1786698974630
1786699019999,PIDILITIND,1m,1703.00,1703.00,1702.50,1702.80,612,1786699028566-0,md:candles:1m,1786699041361
1786699079999,PIDILITIND,1m,1702.10,1702.60,1701.10,1701.10,1118,1786699085713-0,md:candles:1m,1786699094422
1786699139999,PIDILITIND,1m,1701.50,1702.40,1701.50,1702.10,574,1786699146184-0,md:candles:1m,1786699146984
1786699199999,PIDILITIND,1m,1701.50,1702.40,1701.50,1702.40,336,1786699205678-0,md:candles:1m,1786699208603
1786699259999,PIDILITIND,1m,1702.00,1702.50,1701.70,1702.20,676,1786699266380-0,md:candles:1m,1786699273120
1786699319999,PIDILITIND,1m,1701.60,1702.40,1701.60,1702.40,506,1786699325294-0,md:candles:1m,1786699326703
1786699379999,PIDILITIND,1m,1702.30,1702.40,1702.30,1702.40,474,1786699388701-0,md:candles:1m,1786699391745
1786699439999,PIDILITIND,1m,1702.30,1702.40,1701.70,1702.00,2904,1786699447382-0,md:candles:1m,1786699457822
1786699499999,PIDILITIND,1m,1701.50,1703.00,1701.50,1703.00,2376,1786699506042-0,md:candles:1m,1786699511111
1786699559999,PIDILITIND,1m,1702.90,1703.20,1702.90,1703.20,385,1786699568856-0,md:candles:1m,1786699576085
1786699619999,PIDILITIND,1m,1703.10,1703.40,1702.60,1703.10,1357,1786699628622-0,md:candles:1m,1786699639246
1786699679999,PIDILITIND,1m,1702.70,1703.10,1702.70,1703.00,1341,1786699689700-0,md:candles:1m,1786699689702
1786699739999,PIDILITIND,1m,1703.00,1703.00,1702.50,1702.60,707,1786699749082-0,md:candles:1m,1786699754023
1786699799999,PIDILITIND,1m,1702.60,1703.00,1701.90,1702.80,9809,1786699807044-0,md:candles:1m,1786699807941
1786699859999,PIDILITIND,1m,1703.00,1703.50,1702.60,1703.20,8199,1786699869986-0,md:candles:1m,1786699871843
1786699919999,PIDILITIND,1m,1703.30,1703.30,1702.00,1702.80,3886,1786699929235-0,md:candles:1m,1786699936026
1786699979999,PIDILITIND,1m,1702.80,1702.80,1702.00,1702.00,2004,1786699987625-0,md:candles:1m,1786699989617
1786700039999,PIDILITIND,1m,1702.40,1702.40,1702.00,1702.20,5450,1786700048229-0,md:candles:1m,1786700051805
1786700099999,PIDILITIND,1m,1702.20,1702.50,1702.10,1702.40,1505,1786700108201-0,md:candles:1m,1786700118244
1786700159999,PIDILITIND,1m,1702.50,1702.70,1702.20,1702.20,4722,1786700167009-0,md:candles:1m,1786700171522
1786700219999,PIDILITIND,1m,1702.40,1702.40,1701.90,1702.00,5355,1786700226243-0,md:candles:1m,1786700233604
1786700279999,PIDILITIND,1m,1701.00,1701.90,1701.00,1701.80,6845,1786700285254-0,md:candles:1m,1786700286220
1786700339999,PIDILITIND,1m,1701.90,1702.20,1701.40,1702.20,1303,1786700352170-0,md:candles:1m,1786700362283
1786700399999,PIDILITIND,1m,1702.20,1702.20,1702.10,1702.20,2184,1786700410406-0,md:candles:1m,1786700412580
1786700459999,PIDILITIND,1m,1702.00,1702.80,1701.90,1702.80,10013,1786700466433-0,md:candles:1m,1786700476026
1786700519999,PIDILITIND,1m,1702.70,1702.80,1701.90,1702.40,3515,1786700527976-0,md:candles:1m,1786700529452
1786700579999,PIDILITIND,1m,1702.40,1702.40,1700.10,1700.10,4855,1786700585581-0,md:candles:1m,1786700591306
1786700639999,PIDILITIND,1m,1698.30,1699.50,1697.40,1698.60,8044,1786700645961-0,md:candles:1m,1786700653590
1786700699999,PIDILITIND,1m,1698.30,1699.10,1695.20,1699.10,8072,1786700708646-0,md:candles:1m,1786700715149
1786700759999,PIDILITIND,1m,1699.30,1699.30,1699.30,1699.30,58,1786701007888-0,md:candles:1m,1786701010481
1786701059999,PIDILITIND,1m,1699.30,1699.30,1699.30,1699.30,13382,1786701070183-0,md:candles:1m,1786701071890
1786701119999,PIDILITIND,1m,1699.30,1699.30,1699.30,1699.30,2221,1786701126870-0,md:candles:1m,1786701137210
1786701179999,PIDILITIND,1m,1699.30,1699.30,1699.30,1699.30,1045,1786701199114-0,md:candles:1m,1786701203615
1786701239999,PIDILITIND,1m,1699.30,1699.30,1699.30,1699.30,12,1786701247287-0,md:candles:1m,1786701248276
1786701299999,PIDILITIND,1m,1699.30,1699.30,1699.30,1699.30,278,1786701309440-0,md:candles:1m,1786701313567
1786701359999,PIDILITIND,1m,1699.30,1699.30,1699.30,1699.30,98,1786701491362-0,md:candles:1m,1786701496799
1786701539999,PIDILITIND,1m,1699.30,1699.30,1693.00,1693.00,658258,1786702807228-0,md:candles:1m,1786702808525
1786702859999,PIDILITIND,1m,1693.00,1693.00,1693.00,1693.00,61,1786702968811-0,md:candles:1m,1786702968812
1786702979999,PIDILITIND,1m,1693.00,1693.00,1693.00,1693.00,17,1786703020376-0,md:candles:1m,1786703021767
1786699799999,PIDILITIND,30m,1702.80,1703.40,1701.10,1702.80,23473,1786699869991-0,md:candles:30m,1786699872287
1786701599999,PIDILITIND,30m,1703.00,1703.50,1693.00,1693.00,751304,1786702968816-0,md:candles:30m,1786702970740
1786699199999,PIDILITIND,5m,1702.80,1703.10,1701.10,1702.40,2938,1786699266388-0,md:candles:5m,1786699276624
1786699499999,PIDILITIND,5m,1702.00,1703.00,1701.50,1703.00,6936,1786699568861-0,md:candles:5m,1786699570970
1786699799999,PIDILITIND,5m,1702.90,1703.40,1701.90,1702.80,13599,1786699869988-0,md:candles:5m,1786699880291
1786700099999,PIDILITIND,5m,1703.00,1703.50,1702.00,1702.40,21044,1786700167011-0,md:candles:5m,1786700170829
1786700399999,PIDILITIND,5m,1702.50,1702.70,1701.00,1702.20,20409,1786700466443-0,md:candles:5m,1786700471362
1786700699999,PIDILITIND,5m,1702.00,1702.80,1695.20,1699.10,34499,1786701007890-0,md:candles:5m,1786701013188
1786700999999,PIDILITIND,5m,1699.30,1699.30,1699.30,1699.30,58,1786701070185-0,md:candles:5m,1786701080800
1786701299999,PIDILITIND,5m,1699.30,1699.30,1699.30,1699.30,16938,1786701491363-0,md:candles:5m,1786701499224
1786701599999,PIDILITIND,5m,1699.30,1699.30,1693.00,1693.00,658356,1786702968813-0,md:candles:5m,1786702970735
