ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,PIIND,10m,2484.20,2485.00,2482.00,2484.80,1013,1786699265612-0,md:candles:10m,1786699265610
1786699799999,PIIND,10m,2484.80,2496.20,2482.90,2494.90,30753,1786699866186-0,md:candles:10m,1786699876284
1786700399999,PIIND,10m,2493.40,2503.40,2490.20,2490.20,31956,1786700466424-0,md:candles:10m,1786700471301
1786700999999,PIIND,10m,2490.20,2494.90,2483.60,2487.00,8973,1786701082805-0,md:candles:10m,1786701092722
1786701599999,PIIND,10m,2487.00,2490.10,2487.00,2490.10,352012,1786702916372-0,md:candles:10m,1786702916373
1786702801000,PIIND,1d,2484.20,2503.40,2482.00,2490.10,424707,1786702807062-0,md:candles:1d,1786702807233
1786698959999,PIIND,1m,2484.20,2484.60,2483.50,2484.60,66,1786698965824-0,md:candles:1m,1786698974630
1786699019999,PIIND,1m,2484.60,2484.60,2482.80,2483.70,233,1786699027130-0,md:candles:1m,1786699028548
1786699079999,PIIND,1m,2482.60,2485.00,2482.00,2485.00,585,1786699085648-0,md:candles:1m,1786699094422
1786699139999,PIIND,1m,2484.00,2484.80,2483.10,2484.30,63,1786699146837-0,md:candles:1m,1786699146984
1786699199999,PIIND,1m,2484.00,2484.80,2483.30,2484.80,66,1786699219478-0,md:candles:1m,1786699221468
1786699259999,PIIND,1m,2484.80,2484.90,2484.40,2484.90,105,1786699265608-0,md:candles:1m,1786699273120
1786699319999,PIIND,1m,2484.90,2485.00,2484.40,2484.40,626,1786699329902-0,md:candles:1m,1786699339124
1786699379999,PIIND,1m,2484.90,2485.80,2482.90,2483.80,1173,1786699391743-0,md:candles:1m,1786699391745
1786699439999,PIIND,1m,2484.00,2484.60,2483.00,2483.10,55,1786699455819-0,md:candles:1m,1786699457822
1786699499999,PIIND,1m,2483.50,2485.30,2483.50,2485.00,1674,1786699509672-0,md:candles:1m,1786699511111
1786699559999,PIIND,1m,2485.00,2485.00,2483.20,2483.20,291,1786699570159-0,md:candles:1m,1786699576085
1786699619999,PIIND,1m,2483.20,2484.30,2483.20,2484.10,132,1786699630030-0,md:candles:1m,1786699639246
1786699679999,PIIND,1m,2483.20,2493.50,2483.20,2493.00,7310,1786699685496-0,md:candles:1m,1786699689702
1786699739999,PIIND,1m,2493.00,2494.90,2487.90,2487.90,9857,1786699745771-0,md:candles:1m,1786699754023
1786699799999,PIIND,1m,2487.90,2496.20,2485.70,2494.90,9530,1786699805941-0,md:candles:1m,1786699807941
1786699859999,PIIND,1m,2493.40,2497.10,2493.40,2495.60,1132,1786699866143-0,md:candles:1m,1786699871843
1786699919999,PIIND,1m,2495.60,2495.60,2493.00,2494.70,1642,1786699929044-0,md:candles:1m,1786699936026
1786699979999,PIIND,1m,2494.70,2497.90,2493.30,2496.20,2209,1786699985304-0,md:candles:1m,1786699989617
1786700039999,PIIND,1m,2496.20,2503.40,2496.00,2496.00,18834,1786700045501-0,md:candles:1m,1786700051805
1786700099999,PIIND,1m,2496.10,2496.90,2495.00,2496.80,1488,1786700105531-0,md:candles:1m,1786700105816
1786700159999,PIIND,1m,2496.20,2496.30,2493.60,2494.30,3105,1786700166640-0,md:candles:1m,1786700171522
1786700219999,PIIND,1m,2494.30,2495.70,2494.30,2494.70,131,1786700226232-0,md:candles:1m,1786700233604
1786700279999,PIIND,1m,2494.60,2495.00,2493.00,2493.00,577,1786700285165-0,md:candles:1m,1786700286220
1786700339999,PIIND,1m,2493.80,2495.00,2491.20,2491.30,1916,1786700345490-0,md:candles:1m,1786700351053
1786700399999,PIIND,1m,2491.40,2494.00,2490.20,2490.20,922,1786700405767-0,md:candles:1m,1786700412580
1786700459999,PIIND,1m,2490.20,2490.70,2489.10,2489.90,946,1786700466421-0,md:candles:1m,1786700476026
1786700519999,PIIND,1m,2489.40,2490.40,2489.30,2489.40,464,1786700527804-0,md:candles:1m,1786700529452
1786700579999,PIIND,1m,2489.50,2489.50,2483.60,2486.60,5623,1786700585165-0,md:candles:1m,1786700591306
1786700639999,PIIND,1m,2486.70,2491.60,2486.70,2489.60,1068,1786700645447-0,md:candles:1m,1786700653590
1786700699999,PIIND,1m,2487.70,2494.90,2486.60,2487.00,860,1786700708542-0,md:candles:1m,1786700715149
1786700759999,PIIND,1m,2487.00,2487.00,2487.00,2487.00,12,1786701007781-0,md:candles:1m,1786701010481
1786701059999,PIIND,1m,2487.00,2487.00,2487.00,2487.00,202,1786701082801-0,md:candles:1m,1786701082805
1786701119999,PIIND,1m,2487.00,2487.00,2487.00,2487.00,79,1786701126760-0,md:candles:1m,1786701126761
1786701179999,PIIND,1m,2487.00,2487.00,2487.00,2487.00,93,1786701211037-0,md:candles:1m,1786701215027
1786701239999,PIIND,1m,2487.00,2487.00,2487.00,2487.00,161,1786701253589-0,md:candles:1m,1786701260413
1786701299999,PIIND,1m,2487.00,2487.00,2487.00,2487.00,91,1786701309270-0,md:candles:1m,1786701313567
1786701359999,PIIND,1m,2487.00,2487.00,2487.00,2487.00,14,1786701388501-0,md:candles:1m,1786701390103
1786701419999,PIIND,1m,2487.00,2487.00,2487.00,2487.00,30,1786701441478-0,md:candles:1m,1786701443578
1786701479999,PIIND,1m,2487.00,2487.00,2487.00,2487.00,14,1786701514486-0,md:candles:1m,1786701517806
1786701539999,PIIND,1m,2487.00,2490.10,2487.00,2490.10,351328,1786702807059-0,md:candles:1m,1786702808525
1786702859999,PIIND,1m,2490.10,2490.10,2490.10,2490.10,0,1786702916368-0,md:candles:1m,1786702916365
1786702919999,PIIND,1m,2490.10,2490.10,2490.10,2490.10,25,1786703036489-0,md:candles:1m,1786703044208
1786703039999,PIIND,1m,2490.10,2490.10,2490.10,2490.10,50,1786703304185-0,md:candles:1m,1786703314394
1786699799999,PIIND,30m,2484.20,2496.20,2482.00,2494.90,31766,1786699866187-0,md:candles:30m,1786699872287
1786701599999,PIIND,30m,2493.40,2503.40,2483.60,2490.10,392941,1786702916373-0,md:candles:30m,1786702916376
1786699199999,PIIND,5m,2484.20,2485.00,2482.00,2484.80,1013,1786699265611-0,md:candles:5m,1786699265610
1786699499999,PIIND,5m,2484.80,2485.80,2482.90,2485.00,3633,1786699570161-0,md:candles:5m,1786699570970
1786699799999,PIIND,5m,2485.00,2496.20,2483.20,2494.90,27120,1786699866185-0,md:candles:5m,1786699868444
1786700099999,PIIND,5m,2493.40,2503.40,2493.00,2496.80,25305,1786700166643-0,md:candles:5m,1786700170829
1786700399999,PIIND,5m,2496.20,2496.30,2490.20,2490.20,6651,1786700466423-0,md:candles:5m,1786700471362
1786700699999,PIIND,5m,2490.20,2494.90,2483.60,2487.00,8961,1786701007783-0,md:candles:5m,1786701013188
1786700999999,PIIND,5m,2487.00,2487.00,2487.00,2487.00,12,1786701082804-0,md:candles:5m,1786701092706
1786701299999,PIIND,5m,2487.00,2487.00,2487.00,2487.00,626,1786701388502-0,md:candles:5m,1786701390103
1786701599999,PIIND,5m,2487.00,2490.10,2487.00,2490.10,351386,1786702916370-0,md:candles:5m,1786702916365
