ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,PNB,10m,118.11,118.12,118.05,118.09,71009,1786699265760-0,md:candles:10m,1786699276624
1786699799999,PNB,10m,118.10,118.15,117.87,117.87,568083,1786699869264-0,md:candles:10m,1786699876284
1786700399999,PNB,10m,117.90,117.95,117.55,117.62,627632,1786700466310-0,md:candles:10m,1786700471301
1786700999999,PNB,10m,117.59,117.82,117.40,117.54,280197,1786701069645-0,md:candles:10m,1786701070102
1786701599999,PNB,10m,117.54,118.00,117.54,118.00,11203696,1786702871509-0,md:candles:10m,1786702875014
1786702801000,PNB,1d,118.11,118.15,117.40,118.00,12750617,1786702806731-0,md:candles:1d,1786702807233
1786698959999,PNB,1m,118.11,118.11,118.10,118.11,3145,1786698965714-0,md:candles:1m,1786698974630
1786699019999,PNB,1m,118.10,118.11,118.05,118.05,15545,1786699029223-0,md:candles:1m,1786699041361
1786699079999,PNB,1m,118.05,118.10,118.05,118.07,19141,1786699085683-0,md:candles:1m,1786699094422
1786699139999,PNB,1m,118.10,118.12,118.06,118.12,12245,1786699145633-0,md:candles:1m,1786699146984
1786699199999,PNB,1m,118.12,118.12,118.08,118.09,20933,1786699206716-0,md:candles:1m,1786699208603
1786699259999,PNB,1m,118.10,118.10,118.02,118.10,27728,1786699265720-0,md:candles:1m,1786699273120
1786699319999,PNB,1m,118.10,118.10,118.08,118.10,8074,1786699325180-0,md:candles:1m,1786699326703
1786699379999,PNB,1m,118.10,118.13,118.10,118.12,52238,1786699388188-0,md:candles:1m,1786699391745
1786699439999,PNB,1m,118.13,118.15,118.02,118.02,91635,1786699446795-0,md:candles:1m,1786699457822
1786699499999,PNB,1m,118.05,118.07,118.00,118.07,50205,1786699513096-0,md:candles:1m,1786699523104
1786699559999,PNB,1m,118.07,118.07,118.06,118.07,8547,1786699568128-0,md:candles:1m,1786699576085
1786699619999,PNB,1m,118.06,118.08,118.05,118.06,14183,1786699628135-0,md:candles:1m,1786699639246
1786699679999,PNB,1m,118.07,118.12,118.07,118.08,50004,1786699687978-0,md:candles:1m,1786699689702
1786699739999,PNB,1m,118.11,118.11,117.88,117.93,230784,1786699748577-0,md:candles:1m,1786699754023
1786699799999,PNB,1m,117.91,117.98,117.87,117.87,34685,1786699806487-0,md:candles:1m,1786699807941
1786699859999,PNB,1m,117.90,117.91,117.88,117.89,38483,1786699869253-0,md:candles:1m,1786699871843
1786699919999,PNB,1m,117.92,117.92,117.88,117.91,40138,1786699928554-0,md:candles:1m,1786699936026
1786699979999,PNB,1m,117.91,117.91,117.88,117.89,38961,1786699987064-0,md:candles:1m,1786699989617
1786700039999,PNB,1m,117.88,117.94,117.88,117.91,54322,1786700047505-0,md:candles:1m,1786700051805
1786700099999,PNB,1m,117.93,117.95,117.90,117.90,29959,1786700107401-0,md:candles:1m,1786700118244
1786700159999,PNB,1m,117.89,117.89,117.70,117.76,134005,1786700166484-0,md:candles:1m,1786700171522
1786700219999,PNB,1m,117.75,117.80,117.75,117.80,51116,1786700225291-0,md:candles:1m,1786700233604
1786700279999,PNB,1m,117.79,117.79,117.71,117.71,81629,1786700290775-0,md:candles:1m,1786700298079
1786700339999,PNB,1m,117.72,117.75,117.69,117.73,74726,1786700345583-0,md:candles:1m,1786700351053
1786700399999,PNB,1m,117.75,117.75,117.55,117.62,84293,1786700410348-0,md:candles:1m,1786700412580
1786700459999,PNB,1m,117.59,117.68,117.58,117.68,43838,1786700466305-0,md:candles:1m,1786700476026
1786700519999,PNB,1m,117.71,117.74,117.65,117.69,53242,1786700527510-0,md:candles:1m,1786700529452
1786700579999,PNB,1m,117.69,117.79,117.69,117.70,99186,1786700590409-0,md:candles:1m,1786700591306
1786700639999,PNB,1m,117.71,117.80,117.69,117.80,15869,1786700645383-0,md:candles:1m,1786700653590
1786700699999,PNB,1m,117.82,117.82,117.40,117.42,67960,1786700708142-0,md:candles:1m,1786700715149
1786700759999,PNB,1m,117.54,117.54,117.54,117.54,102,1786701007186-0,md:candles:1m,1786701010481
1786701059999,PNB,1m,117.54,117.54,117.54,117.54,211027,1786701069635-0,md:candles:1m,1786701071890
1786701119999,PNB,1m,117.54,117.54,117.54,117.54,2594,1786701156703-0,md:candles:1m,1786701161014
1786701179999,PNB,1m,117.54,117.54,117.54,117.54,1000,1786701192617-0,md:candles:1m,1786701203615
1786701239999,PNB,1m,117.54,117.54,117.54,117.54,1203,1786701246694-0,md:candles:1m,1786701248276
1786701299999,PNB,1m,117.54,117.54,117.54,117.54,670,1786701308777-0,md:candles:1m,1786701313567
1786701359999,PNB,1m,117.54,117.54,117.54,117.54,92,1786701368558-0,md:candles:1m,1786701379364
1786701419999,PNB,1m,117.54,117.54,117.54,117.54,744,1786701434368-0,md:candles:1m,1786701443578
1786701479999,PNB,1m,117.54,117.54,117.54,117.54,584,1786701490664-0,md:candles:1m,1786701496799
1786701539999,PNB,1m,117.54,118.00,117.54,118.00,10985782,1786702806728-0,md:candles:1m,1786702808525
1786702859999,PNB,1m,118.00,118.00,118.00,118.00,774,1786702871504-0,md:candles:1m,1786702874006
1786702919999,PNB,1m,118.00,118.00,118.00,118.00,228,1786703012552-0,md:candles:1m,1786703021767
1786703039999,PNB,1m,118.00,118.00,118.00,118.00,502,1786703188973-0,md:candles:1m,1786703195974
1786703219999,PNB,1m,118.00,118.00,118.00,118.00,10005,1786703276350-0,md:candles:1m,1786703282156
1786703279999,PNB,1m,118.00,118.00,118.00,118.00,1500,1786703367667-0,md:candles:1m,1786703368956
1786699799999,PNB,30m,118.11,118.15,117.87,117.87,639092,1786699869265-0,md:candles:30m,1786699872287
1786701599999,PNB,30m,117.90,118.00,117.40,118.00,12111525,1786702871510-0,md:candles:30m,1786702871507
1786699199999,PNB,5m,118.11,118.12,118.05,118.09,71009,1786699265758-0,md:candles:5m,1786699276624
1786699499999,PNB,5m,118.10,118.15,118.00,118.07,229880,1786699568136-0,md:candles:5m,1786699570970
1786699799999,PNB,5m,118.07,118.12,117.87,117.87,338203,1786699869262-0,md:candles:5m,1786699880291
1786700099999,PNB,5m,117.90,117.95,117.88,117.90,201863,1786700166485-0,md:candles:5m,1786700170829
1786700399999,PNB,5m,117.89,117.89,117.55,117.62,425769,1786700466309-0,md:candles:5m,1786700471362
1786700699999,PNB,5m,117.59,117.82,117.40,117.42,280095,1786701007189-0,md:candles:5m,1786701013188
1786700999999,PNB,5m,117.54,117.54,117.54,117.54,102,1786701069644-0,md:candles:5m,1786701080800
1786701299999,PNB,5m,117.54,117.54,117.54,117.54,216494,1786701368560-0,md:candles:5m,1786701379364
1786701599999,PNB,5m,117.54,118.00,117.54,118.00,10987202,1786702871507-0,md:candles:5m,1786702874028
1786703099999,PNB,5m,118.00,118.00,118.00,118.00,1504,1786703276352-0,md:candles:5m,1786703284161
