ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,PNBHOUSING,10m,1150.70,1150.70,1148.70,1150.20,2751,1786699266859-0,md:candles:10m,1786699276624
1786699799999,PNBHOUSING,10m,1150.20,1150.80,1148.70,1149.00,9418,1786699870747-0,md:candles:10m,1786699876284
1786700399999,PNBHOUSING,10m,1149.30,1150.50,1149.00,1149.50,17885,1786700465434-0,md:candles:10m,1786700471301
1786700999999,PNBHOUSING,10m,1150.00,1150.50,1148.10,1150.50,10777,1786701083704-0,md:candles:10m,1786701092722
1786698959999,PNBHOUSING,1m,1150.70,1150.70,1149.90,1149.90,164,1786698967016-0,md:candles:1m,1786698974630
1786699019999,PNBHOUSING,1m,1150.50,1150.50,1149.50,1149.50,370,1786699028648-0,md:candles:1m,1786699041361
1786699079999,PNBHOUSING,1m,1149.70,1149.70,1148.70,1148.70,942,1786699087115-0,md:candles:1m,1786699094422
1786699139999,PNBHOUSING,1m,1149.30,1149.50,1148.90,1148.90,151,1786699147113-0,md:candles:1m,1786699158101
1786699199999,PNBHOUSING,1m,1149.30,1150.20,1149.30,1150.20,1124,1786699207880-0,md:candles:1m,1786699208603
1786699259999,PNBHOUSING,1m,1150.20,1150.80,1150.20,1150.20,423,1786699266855-0,md:candles:1m,1786699273120
1786699319999,PNBHOUSING,1m,1150.20,1150.60,1149.60,1149.80,1987,1786699326471-0,md:candles:1m,1786699326703
1786699379999,PNBHOUSING,1m,1150.00,1150.50,1149.30,1149.30,499,1786699385855-0,md:candles:1m,1786699391745
1786699439999,PNBHOUSING,1m,1149.90,1150.50,1149.30,1150.00,1121,1786699445810-0,md:candles:1m,1786699457822
1786699499999,PNBHOUSING,1m,1150.50,1150.50,1149.80,1149.80,1969,1786699506588-0,md:candles:1m,1786699511111
1786699559999,PNBHOUSING,1m,1150.40,1150.40,1149.50,1150.00,309,1786699569968-0,md:candles:1m,1786699576085
1786699619999,PNBHOUSING,1m,1150.00,1150.40,1149.50,1149.50,338,1786699625981-0,md:candles:1m,1786699627296
1786699679999,PNBHOUSING,1m,1149.30,1150.00,1149.10,1149.30,1111,1786699689004-0,md:candles:1m,1786699689702
1786699739999,PNBHOUSING,1m,1149.20,1149.80,1148.70,1149.20,610,1786699749901-0,md:candles:1m,1786699754023
1786699799999,PNBHOUSING,1m,1149.30,1149.50,1148.80,1149.00,1051,1786699807847-0,md:candles:1m,1786699807941
1786699859999,PNBHOUSING,1m,1149.30,1150.00,1149.30,1149.90,604,1786699870743-0,md:candles:1m,1786699871843
1786699919999,PNBHOUSING,1m,1150.00,1150.00,1149.70,1149.70,4332,1786699927347-0,md:candles:1m,1786699936026
1786699979999,PNBHOUSING,1m,1149.80,1149.80,1149.20,1149.60,1740,1786699988417-0,md:candles:1m,1786699989617
1786700039999,PNBHOUSING,1m,1149.60,1150.40,1149.60,1150.00,2509,1786700049137-0,md:candles:1m,1786700051805
1786700099999,PNBHOUSING,1m,1150.00,1150.50,1149.90,1149.90,568,1786700109157-0,md:candles:1m,1786700118244
1786700159999,PNBHOUSING,1m,1150.30,1150.40,1149.90,1150.30,1322,1786700167526-0,md:candles:1m,1786700171522
1786700219999,PNBHOUSING,1m,1150.20,1150.20,1149.30,1149.70,2469,1786700227246-0,md:candles:1m,1786700233604
1786700279999,PNBHOUSING,1m,1150.20,1150.20,1149.50,1150.00,847,1786700285180-0,md:candles:1m,1786700286220
1786700339999,PNBHOUSING,1m,1149.70,1150.00,1149.40,1150.00,730,1786700345628-0,md:candles:1m,1786700351053
1786700399999,PNBHOUSING,1m,1150.00,1150.00,1149.00,1149.50,2764,1786700405638-0,md:candles:1m,1786700412580
1786700459999,PNBHOUSING,1m,1150.00,1150.50,1149.80,1150.30,1575,1786700465412-0,md:candles:1m,1786700476026
1786700519999,PNBHOUSING,1m,1150.50,1150.50,1149.00,1149.70,3475,1786700525364-0,md:candles:1m,1786700529452
1786700579999,PNBHOUSING,1m,1149.80,1150.30,1149.10,1149.80,2217,1786700585390-0,md:candles:1m,1786700591306
1786700639999,PNBHOUSING,1m,1149.70,1150.10,1149.20,1150.10,1139,1786700646680-0,md:candles:1m,1786700653590
1786700699999,PNBHOUSING,1m,1150.10,1150.50,1148.10,1150.50,2371,1786701008793-0,md:candles:1m,1786701010481
1786701059999,PNBHOUSING,1m,1150.50,1150.50,1150.50,1150.50,545,1786701083700-0,md:candles:1m,1786701094723
1786701119999,PNBHOUSING,1m,1150.50,1150.50,1150.50,1150.50,154,1786701158109-0,md:candles:1m,1786701161014
1786701179999,PNBHOUSING,1m,1150.50,1150.50,1150.50,1150.50,1,1786701236070-0,md:candles:1m,1786701238070
1786701239999,PNBHOUSING,1m,1150.50,1150.50,1150.50,1150.50,100,1786701254599-0,md:candles:1m,1786701260413
1786701299999,PNBHOUSING,1m,1150.50,1150.50,1150.50,1150.50,18,1786701369948-0,md:candles:1m,1786701379364
