ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,POLICYBZR,10m,1747.60,1748.90,1747.40,1748.00,5715,1786699267099-0,md:candles:10m,1786699276624
1786699799999,POLICYBZR,10m,1748.00,1753.20,1747.20,1747.90,68089,1786699871128-0,md:candles:10m,1786699876284
1786700399999,POLICYBZR,10m,1748.90,1748.90,1740.90,1741.50,91197,1786700467457-0,md:candles:10m,1786700471301
1786700999999,POLICYBZR,10m,1741.80,1746.00,1741.00,1741.00,35840,1786701071186-0,md:candles:10m,1786701080910
1786701599999,POLICYBZR,10m,1741.00,1741.00,1741.00,1741.00,750054,1786703027582-0,md:candles:10m,1786703027576
1786702802000,POLICYBZR,1d,1747.60,1753.20,1740.90,1741.00,950895,1786702808130-0,md:candles:1d,1786702818543
1786698959999,POLICYBZR,1m,1747.60,1748.20,1747.60,1747.60,713,1786698967110-0,md:candles:1m,1786698974630
1786699019999,POLICYBZR,1m,1747.80,1748.90,1747.40,1747.40,1658,1786699030882-0,md:candles:1m,1786699041361
1786699079999,POLICYBZR,1m,1747.40,1748.70,1747.40,1748.00,1466,1786699089715-0,md:candles:1m,1786699094422
1786699139999,POLICYBZR,1m,1748.00,1748.20,1748.00,1748.20,1014,1786699147392-0,md:candles:1m,1786699158101
1786699199999,POLICYBZR,1m,1748.00,1748.10,1748.00,1748.00,864,1786699208074-0,md:candles:1m,1786699208603
1786699259999,POLICYBZR,1m,1748.00,1748.10,1747.30,1747.30,1334,1786699267095-0,md:candles:1m,1786699273120
1786699319999,POLICYBZR,1m,1747.50,1748.90,1747.30,1748.90,5965,1786699326702-0,md:candles:1m,1786699326703
1786699379999,POLICYBZR,1m,1749.30,1749.30,1747.60,1748.50,4834,1786699385868-0,md:candles:1m,1786699391745
1786699439999,POLICYBZR,1m,1748.10,1749.20,1747.90,1748.20,2461,1786699445668-0,md:candles:1m,1786699457822
1786699499999,POLICYBZR,1m,1748.20,1748.80,1748.10,1748.10,2588,1786699506768-0,md:candles:1m,1786699511111
1786699559999,POLICYBZR,1m,1748.10,1748.40,1748.10,1748.10,1357,1786699570282-0,md:candles:1m,1786699576085
1786699619999,POLICYBZR,1m,1748.10,1748.60,1747.90,1748.10,1186,1786699625992-0,md:candles:1m,1786699627296
1786699679999,POLICYBZR,1m,1747.20,1753.20,1747.20,1749.20,40352,1786699686081-0,md:candles:1m,1786699689702
1786699739999,POLICYBZR,1m,1749.20,1749.50,1747.60,1748.20,5544,1786699746187-0,md:candles:1m,1786699754023
1786699799999,POLICYBZR,1m,1748.20,1748.60,1747.90,1747.90,2468,1786699806035-0,md:candles:1m,1786699807941
1786699859999,POLICYBZR,1m,1748.90,1748.90,1747.00,1747.00,7084,1786699871123-0,md:candles:1m,1786699871843
1786699919999,POLICYBZR,1m,1747.00,1747.50,1747.00,1747.00,9077,1786699928104-0,md:candles:1m,1786699936026
1786699979999,POLICYBZR,1m,1747.10,1747.10,1740.90,1740.90,16109,1786699988625-0,md:candles:1m,1786699989617
1786700039999,POLICYBZR,1m,1740.90,1746.50,1740.90,1745.00,7254,1786700045193-0,md:candles:1m,1786700051805
1786700099999,POLICYBZR,1m,1745.30,1745.30,1744.20,1744.30,2640,1786700106090-0,md:candles:1m,1786700118244
1786700159999,POLICYBZR,1m,1744.30,1744.90,1744.20,1744.20,5591,1786700168019-0,md:candles:1m,1786700171522
1786700219999,POLICYBZR,1m,1744.20,1744.20,1743.20,1743.40,7598,1786700227256-0,md:candles:1m,1786700233604
1786700279999,POLICYBZR,1m,1743.00,1743.50,1743.00,1743.10,22884,1786700285352-0,md:candles:1m,1786700286220
1786700339999,POLICYBZR,1m,1743.20,1743.40,1741.20,1741.40,7675,1786700345739-0,md:candles:1m,1786700351053
1786700399999,POLICYBZR,1m,1741.40,1741.60,1741.40,1741.50,5285,1786700405936-0,md:candles:1m,1786700412580
1786700459999,POLICYBZR,1m,1741.80,1743.10,1741.00,1741.30,12997,1786700467445-0,md:candles:1m,1786700476026
1786700519999,POLICYBZR,1m,1742.00,1742.60,1741.50,1742.10,3906,1786700525440-0,md:candles:1m,1786700529452
1786700579999,POLICYBZR,1m,1742.50,1743.80,1742.50,1743.80,10116,1786700586570-0,md:candles:1m,1786700591306
