ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,POLYCAB,10m,9266.00,9271.00,9261.50,9265.00,942,1786699266815-0,md:candles:10m,1786699276624
1786699799999,POLYCAB,10m,9264.50,9272.50,9249.50,9249.50,9052,1786699865444-0,md:candles:10m,1786699876284
1786700399999,POLYCAB,10m,9253.00,9259.00,9243.00,9247.50,6343,1786700467392-0,md:candles:10m,1786700471301
1786700999999,POLYCAB,10m,9247.50,9250.00,9225.00,9230.00,5683,1786701070784-0,md:candles:10m,1786701080910
1786701599999,POLYCAB,10m,9230.00,9240.00,9230.00,9240.00,127535,1786702866602-0,md:candles:10m,1786702875014
1786702808000,POLYCAB,1d,9266.00,9272.50,9225.00,9240.00,149555,1786702813839-0,md:candles:1d,1786702818543
1786698959999,POLYCAB,1m,9266.00,9271.00,9266.00,9267.50,125,1786698966876-0,md:candles:1m,1786698974630
1786699019999,POLYCAB,1m,9267.50,9270.00,9267.00,9267.00,142,1786699028628-0,md:candles:1m,1786699041361
1786699079999,POLYCAB,1m,9263.50,9263.50,9261.50,9263.50,343,1786699087105-0,md:candles:1m,1786699094422
1786699139999,POLYCAB,1m,9265.00,9268.00,9262.50,9263.50,104,1786699146911-0,md:candles:1m,1786699146984
1786699199999,POLYCAB,1m,9266.00,9270.00,9263.50,9265.00,228,1786699207683-0,md:candles:1m,1786699208603
1786699259999,POLYCAB,1m,9264.50,9266.00,9262.50,9266.00,234,1786699266778-0,md:candles:1m,1786699273120
1786699319999,POLYCAB,1m,9266.00,9268.00,9263.50,9267.00,201,1786699326284-0,md:candles:1m,1786699326703
1786699379999,POLYCAB,1m,9266.50,9266.50,9261.50,9261.50,182,1786699389214-0,md:candles:1m,1786699391745
1786699439999,POLYCAB,1m,9265.00,9272.50,9261.50,9265.50,4430,1786699447923-0,md:candles:1m,1786699457822
1786699499999,POLYCAB,1m,9267.50,9267.50,9261.50,9261.50,160,1786699505486-0,md:candles:1m,1786699511111
1786699559999,POLYCAB,1m,9263.00,9264.00,9261.50,9263.00,192,1786699568888-0,md:candles:1m,1786699576085
1786699619999,POLYCAB,1m,9262.00,9263.50,9261.50,9262.00,197,1786699625971-0,md:candles:1m,1786699627296
1786699679999,POLYCAB,1m,9261.50,9263.00,9257.50,9262.50,833,1786699688997-0,md:candles:1m,1786699689702
1786699739999,POLYCAB,1m,9261.50,9261.50,9253.00,9254.50,1788,1786699749032-0,md:candles:1m,1786699754023
