ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,POWERGRID,10m,266.80,266.85,266.70,266.70,60546,1786699265437-0,md:candles:10m,1786699265610
1786699799999,POWERGRID,10m,266.75,267.05,266.65,266.80,621119,1786699869154-0,md:candles:10m,1786699876284
1786700399999,POWERGRID,10m,266.85,267.00,266.75,266.80,318080,1786700465820-0,md:candles:10m,1786700471301
1786700999999,POWERGRID,10m,266.90,267.35,266.65,266.65,391330,1786701069393-0,md:candles:10m,1786701070102
1786701599999,POWERGRID,10m,266.65,266.65,266.05,266.05,6725784,1786702977131-0,md:candles:10m,1786702981332
1786702801000,POWERGRID,1d,266.80,267.35,266.05,266.05,8116859,1786702806542-0,md:candles:1d,1786702807233
1786698959999,POWERGRID,1m,266.80,266.85,266.80,266.85,2059,1786698965628-0,md:candles:1m,1786698974630
1786699019999,POWERGRID,1m,266.85,266.85,266.80,266.80,12020,1786699028949-0,md:candles:1m,1786699041361
1786699079999,POWERGRID,1m,266.85,266.85,266.75,266.85,12502,1786699088027-0,md:candles:1m,1786699094422
1786699139999,POWERGRID,1m,266.75,266.85,266.75,266.75,21938,1786699145310-0,md:candles:1m,1786699146984
1786699199999,POWERGRID,1m,266.85,266.85,266.70,266.70,12027,1786699206374-0,md:candles:1m,1786699208603
1786699259999,POWERGRID,1m,266.75,266.75,266.70,266.75,4073,1786699265420-0,md:candles:1m,1786699273120
1786699319999,POWERGRID,1m,266.75,266.85,266.70,266.75,9021,1786699326787-0,md:candles:1m,1786699339124
1786699379999,POWERGRID,1m,266.70,266.75,266.65,266.65,3550,1786699387940-0,md:candles:1m,1786699391745
1786699439999,POWERGRID,1m,266.65,266.80,266.65,266.75,4693,1786699446622-0,md:candles:1m,1786699457822
1786699499999,POWERGRID,1m,266.80,267.05,266.70,266.85,415287,1786699512132-0,md:candles:1m,1786699523104
1786699559999,POWERGRID,1m,266.85,267.00,266.75,266.80,75730,1786699565366-0,md:candles:1m,1786699565357
1786699619999,POWERGRID,1m,266.85,266.85,266.80,266.85,63067,1786699628053-0,md:candles:1m,1786699639246
1786699679999,POWERGRID,1m,266.85,266.85,266.75,266.75,11552,1786699687975-0,md:candles:1m,1786699689702
1786699739999,POWERGRID,1m,266.80,266.85,266.75,266.85,6165,1786699748299-0,md:candles:1m,1786699754023
1786699799999,POWERGRID,1m,266.85,266.85,266.80,266.80,27981,1786699806183-0,md:candles:1m,1786699807941
1786699859999,POWERGRID,1m,266.85,266.85,266.75,266.80,19545,1786699869152-0,md:candles:1m,1786699871843
1786699919999,POWERGRID,1m,266.85,266.85,266.80,266.80,13997,1786699928318-0,md:candles:1m,1786699936026
1786699979999,POWERGRID,1m,266.85,266.85,266.80,266.85,11743,1786699986815-0,md:candles:1m,1786699989617
1786700039999,POWERGRID,1m,266.80,266.85,266.80,266.85,31955,1786700047246-0,md:candles:1m,1786700051805
1786700099999,POWERGRID,1m,266.85,266.85,266.80,266.85,14725,1786700106229-0,md:candles:1m,1786700118244
1786700159999,POWERGRID,1m,267.00,267.00,266.80,266.85,124403,1786700165920-0,md:candles:1m,1786700171522
1786700219999,POWERGRID,1m,266.85,266.85,266.80,266.80,21878,1786700228660-0,md:candles:1m,1786700233604
1786700279999,POWERGRID,1m,266.85,266.85,266.80,266.80,37726,1786700290482-0,md:candles:1m,1786700298079
1786700339999,POWERGRID,1m,266.85,266.85,266.75,266.80,26129,1786700350671-0,md:candles:1m,1786700351053
1786700399999,POWERGRID,1m,266.80,266.80,266.75,266.80,15979,1786700409400-0,md:candles:1m,1786700412580
1786700459999,POWERGRID,1m,266.90,266.90,266.75,266.80,235290,1786700465814-0,md:candles:1m,1786700476026
1786700519999,POWERGRID,1m,266.85,266.85,266.80,266.80,32297,1786700527321-0,md:candles:1m,1786700529452
1786700579999,POWERGRID,1m,266.85,266.85,266.80,266.85,53126,1786700591816-0,md:candles:1m,1786700602905
1786700639999,POWERGRID,1m,266.85,266.85,266.80,266.80,23763,1786700645163-0,md:candles:1m,1786700653590
1786700699999,POWERGRID,1m,266.85,267.35,266.65,266.65,46223,1786700707850-0,md:candles:1m,1786700715149
1786700759999,POWERGRID,1m,266.65,266.65,266.65,266.65,631,1786701006888-0,md:candles:1m,1786701010481
1786701059999,POWERGRID,1m,266.65,266.65,266.65,266.65,160130,1786701069390-0,md:candles:1m,1786701071890
1786701119999,POWERGRID,1m,266.65,266.65,266.65,266.65,2,1786701138284-0,md:candles:1m,1786701149293
1786701179999,POWERGRID,1m,266.65,266.65,266.65,266.65,3341,1786701204231-0,md:candles:1m,1786701215027
1786701239999,POWERGRID,1m,266.65,266.65,266.65,266.65,1319,1786701266432-0,md:candles:1m,1786701271537
1786701299999,POWERGRID,1m,266.65,266.65,266.65,266.65,1599,1786701308570-0,md:candles:1m,1786701313567
1786701359999,POWERGRID,1m,266.65,266.65,266.65,266.65,10178,1786701394215-0,md:candles:1m,1786701400511
1786701419999,POWERGRID,1m,266.65,266.65,266.65,266.65,11,1786701434093-0,md:candles:1m,1786701443578
1786701479999,POWERGRID,1m,266.65,266.65,266.65,266.65,692,1786701513688-0,md:candles:1m,1786701517806
1786701539999,POWERGRID,1m,266.65,266.65,266.05,266.05,6548512,1786702806538-0,md:candles:1m,1786702808525
1786702859999,POWERGRID,1m,266.05,266.05,266.05,266.05,0,1786702977126-0,md:candles:1m,1786702979538
1786702979999,POWERGRID,1m,266.05,266.05,266.05,266.05,91,1786703081448-0,md:candles:1m,1786703087656
1786699799999,POWERGRID,30m,266.80,267.05,266.65,266.80,681665,1786699869157-0,md:candles:30m,1786699872287
1786701599999,POWERGRID,30m,266.85,267.35,266.05,266.05,7435194,1786702977133-0,md:candles:30m,1786702981332
1786699199999,POWERGRID,5m,266.80,266.85,266.70,266.70,60546,1786699265436-0,md:candles:5m,1786699265610
1786699499999,POWERGRID,5m,266.75,267.05,266.65,266.85,436624,1786699565368-0,md:candles:5m,1786699570970
1786699799999,POWERGRID,5m,266.85,267.00,266.75,266.80,184495,1786699869153-0,md:candles:5m,1786699880291
1786700099999,POWERGRID,5m,266.85,266.85,266.75,266.85,91965,1786700165924-0,md:candles:5m,1786700170829
1786700399999,POWERGRID,5m,267.00,267.00,266.75,266.80,226115,1786700465818-0,md:candles:5m,1786700471362
1786700699999,POWERGRID,5m,266.90,267.35,266.65,266.65,390699,1786701006893-0,md:candles:5m,1786701013188
1786700999999,POWERGRID,5m,266.65,266.65,266.65,266.65,631,1786701069392-0,md:candles:5m,1786701080800
1786701299999,POWERGRID,5m,266.65,266.65,266.65,266.65,166391,1786701394216-0,md:candles:5m,1786701400511
1786701599999,POWERGRID,5m,266.65,266.65,266.05,266.05,6559393,1786702977128-0,md:candles:5m,1786702981328
