ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,POWERINDIA,10m,35800.00,35800.00,35755.00,35765.00,787,1786699266443-0,md:candles:10m,1786699276624
1786699799999,POWERINDIA,10m,35775.00,35795.00,35730.00,35745.00,2788,1786699870190-0,md:candles:10m,1786699876284
1786700399999,POWERINDIA,10m,35740.00,35755.00,35635.00,35700.00,5273,1786700466482-0,md:candles:10m,1786700471301
1786700999999,POWERINDIA,10m,35700.00,35720.00,35635.00,35650.00,2403,1786701070458-0,md:candles:10m,1786701080910
1786701599999,POWERINDIA,10m,35650.00,35700.00,35650.00,35700.00,113369,1786703001554-0,md:candles:10m,1786703004540
1786702802000,POWERINDIA,1d,35800.00,35800.00,35635.00,35700.00,124620,1786702807432-0,md:candles:1d,1786702818543
1786698959999,POWERINDIA,1m,35800.00,35800.00,35775.00,35790.00,90,1786698966429-0,md:candles:1m,1786698974630
1786699019999,POWERINDIA,1m,35775.00,35790.00,35770.00,35775.00,112,1786699032593-0,md:candles:1m,1786699041361
1786699079999,POWERINDIA,1m,35780.00,35790.00,35775.00,35780.00,71,1786699088910-0,md:candles:1m,1786699094422
1786699139999,POWERINDIA,1m,35780.00,35790.00,35780.00,35785.00,171,1786699146491-0,md:candles:1m,1786699146984
1786699199999,POWERINDIA,1m,35780.00,35780.00,35755.00,35765.00,343,1786699208651-0,md:candles:1m,1786699221468
1786699259999,POWERINDIA,1m,35775.00,35780.00,35760.00,35760.00,91,1786699266420-0,md:candles:1m,1786699273120
1786699319999,POWERINDIA,1m,35760.00,35770.00,35760.00,35760.00,145,1786699331761-0,md:candles:1m,1786699339124
1786699379999,POWERINDIA,1m,35770.00,35770.00,35760.00,35760.00,84,1786699385812-0,md:candles:1m,1786699391745
1786699439999,POWERINDIA,1m,35765.00,35790.00,35765.00,35785.00,320,1786699447612-0,md:candles:1m,1786699457822
1786699499999,POWERINDIA,1m,35780.00,35790.00,35780.00,35790.00,107,1786699506183-0,md:candles:1m,1786699511111
1786699559999,POWERINDIA,1m,35785.00,35795.00,35780.00,35780.00,323,1786699568871-0,md:candles:1m,1786699576085
1786699619999,POWERINDIA,1m,35785.00,35795.00,35780.00,35780.00,244,1786699625213-0,md:candles:1m,1786699627296
1786699679999,POWERINDIA,1m,35780.00,35790.00,35730.00,35730.00,850,1786699688981-0,md:candles:1m,1786699689702
1786699739999,POWERINDIA,1m,35760.00,35760.00,35735.00,35760.00,230,1786699749015-0,md:candles:1m,1786699754023
1786699799999,POWERINDIA,1m,35745.00,35755.00,35730.00,35745.00,394,1786699807345-0,md:candles:1m,1786699807941
1786699859999,POWERINDIA,1m,35740.00,35755.00,35740.00,35745.00,268,1786699870176-0,md:candles:1m,1786699871843
1786699919999,POWERINDIA,1m,35710.00,35745.00,35690.00,35705.00,951,1786699927321-0,md:candles:1m,1786699936026
1786699979999,POWERINDIA,1m,35715.00,35725.00,35705.00,35705.00,436,1786699988031-0,md:candles:1m,1786699989617
1786700039999,POWERINDIA,1m,35710.00,35715.00,35705.00,35710.00,270,1786700046165-0,md:candles:1m,1786700051805
1786700099999,POWERINDIA,1m,35715.00,35725.00,35695.00,35695.00,614,1786700108253-0,md:candles:1m,1786700118244
1786700159999,POWERINDIA,1m,35685.00,35705.00,35650.00,35655.00,622,1786700167124-0,md:candles:1m,1786700171522
1786700219999,POWERINDIA,1m,35645.00,35655.00,35640.00,35640.00,539,1786700229710-0,md:candles:1m,1786700233604
1786700279999,POWERINDIA,1m,35650.00,35665.00,35635.00,35650.00,378,1786700291668-0,md:candles:1m,1786700298079
1786700339999,POWERINDIA,1m,35650.00,35680.00,35650.00,35680.00,200,1786700352228-0,md:candles:1m,1786700362283
1786700399999,POWERINDIA,1m,35680.00,35705.00,35680.00,35700.00,995,1786700412605-0,md:candles:1m,1786700424116
1786700459999,POWERINDIA,1m,35700.00,35700.00,35675.00,35690.00,337,1786700466456-0,md:candles:1m,1786700476026
1786700519999,POWERINDIA,1m,35695.00,35720.00,35680.00,35720.00,526,1786700528303-0,md:candles:1m,1786700529452
1786700579999,POWERINDIA,1m,35720.00,35720.00,35635.00,35665.00,945,1786700585812-0,md:candles:1m,1786700591306
1786700639999,POWERINDIA,1m,35665.00,35700.00,35665.00,35670.00,311,1786700646177-0,md:candles:1m,1786700653590
1786700699999,POWERINDIA,1m,35670.00,35700.00,35650.00,35700.00,276,1786700708944-0,md:candles:1m,1786700715149
1786700759999,POWERINDIA,1m,35650.00,35650.00,35650.00,35650.00,8,1786701008195-0,md:candles:1m,1786701010481
1786701059999,POWERINDIA,1m,35650.00,35650.00,35650.00,35650.00,122,1786701070449-0,md:candles:1m,1786701071890
1786701119999,POWERINDIA,1m,35650.00,35650.00,35650.00,35650.00,33,1786701127069-0,md:candles:1m,1786701137210
1786701179999,POWERINDIA,1m,35650.00,35650.00,35650.00,35650.00,3,1786701267518-0,md:candles:1m,1786701271537
1786701299999,POWERINDIA,1m,35650.00,35650.00,35650.00,35650.00,11,1786701309686-0,md:candles:1m,1786701313567
1786701359999,POWERINDIA,1m,35650.00,35650.00,35650.00,35650.00,5,1786701369450-0,md:candles:1m,1786701379364
