ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,PPLPHARMA,10m,204.93,204.93,203.65,203.70,309984,1786699266416-0,md:candles:10m,1786699276624
1786699799999,PPLPHARMA,10m,203.81,203.99,203.55,203.95,101816,1786699870125-0,md:candles:10m,1786699876284
1786700399999,PPLPHARMA,10m,203.95,208.90,203.42,207.42,824332,1786700465431-0,md:candles:10m,1786700471301
1786700999999,PPLPHARMA,10m,207.41,207.70,206.00,207.48,281164,1786701068572-0,md:candles:10m,1786701070102
1786701599999,PPLPHARMA,10m,207.48,208.80,207.48,208.25,306198,1786701674721-0,md:candles:10m,1786701676917
1786702199999,PPLPHARMA,10m,208.25,208.25,206.64,206.64,1496,1786702872512-0,md:candles:10m,1786702875014
1786701601000,PPLPHARMA,1d,204.93,208.90,203.42,208.25,1823494,1786701606138-0,md:candles:1d,1786701615808
1786698959999,PPLPHARMA,1m,204.93,204.93,204.68,204.83,4555,1786698965218-0,md:candles:1m,1786698974630
1786699019999,PPLPHARMA,1m,204.83,204.83,204.57,204.57,79125,1786699028577-0,md:candles:1m,1786699041361
1786699079999,PPLPHARMA,1m,204.25,204.34,204.10,204.20,167559,1786699085204-0,md:candles:1m,1786699094422
1786699139999,PPLPHARMA,1m,204.24,204.29,203.86,203.92,31107,1786699146394-0,md:candles:1m,1786699146984
1786699199999,PPLPHARMA,1m,203.70,203.86,203.65,203.70,27638,1786699205672-0,md:candles:1m,1786699208603
1786699259999,PPLPHARMA,1m,203.81,203.81,203.55,203.63,16618,1786699266397-0,md:candles:1m,1786699273120
1786699319999,PPLPHARMA,1m,203.63,203.73,203.60,203.65,23319,1786699325903-0,md:candles:1m,1786699326703
1786699379999,PPLPHARMA,1m,203.72,203.72,203.69,203.71,5997,1786699388804-0,md:candles:1m,1786699391745
1786699439999,PPLPHARMA,1m,203.71,203.77,203.67,203.74,3677,1786699447470-0,md:candles:1m,1786699457822
1786699499999,PPLPHARMA,1m,203.70,203.75,203.65,203.75,6822,1786699506121-0,md:candles:1m,1786699511111
1786699559999,PPLPHARMA,1m,203.75,203.89,203.65,203.89,11713,1786699568860-0,md:candles:1m,1786699576085
1786699619999,PPLPHARMA,1m,203.88,203.99,203.79,203.90,9380,1786699625953-0,md:candles:1m,1786699627296
1786699679999,PPLPHARMA,1m,203.88,203.95,203.70,203.90,12280,1786699688978-0,md:candles:1m,1786699689702
1786699739999,PPLPHARMA,1m,203.94,203.94,203.86,203.86,5645,1786699749004-0,md:candles:1m,1786699754023
1786699799999,PPLPHARMA,1m,203.91,203.95,203.91,203.95,6365,1786699807252-0,md:candles:1m,1786699807941
1786699859999,PPLPHARMA,1m,203.95,203.95,203.65,203.85,52875,1786699870122-0,md:candles:1m,1786699871843
1786699919999,PPLPHARMA,1m,203.85,203.92,203.42,203.43,24769,1786699929316-0,md:candles:1m,1786699936026
1786699979999,PPLPHARMA,1m,203.43,205.43,203.42,205.43,202196,1786699988002-0,md:candles:1m,1786699989617
1786700039999,PPLPHARMA,1m,205.62,207.46,205.24,207.07,156921,1786700045791-0,md:candles:1m,1786700051805
1786700099999,PPLPHARMA,1m,207.24,208.90,207.14,207.21,109545,1786700105301-0,md:candles:1m,1786700105816
1786700159999,PPLPHARMA,1m,207.34,207.35,206.61,207.32,149490,1786700165144-0,md:candles:1m,1786700171522
1786700219999,PPLPHARMA,1m,207.35,207.37,206.69,207.10,34905,1786700226168-0,md:candles:1m,1786700233604
1786700279999,PPLPHARMA,1m,207.11,207.15,206.50,206.84,27052,1786700286268-0,md:candles:1m,1786700298079
