ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,PRESTIGE,10m,1587.70,1588.30,1583.00,1586.10,26101,1786699266299-0,md:candles:10m,1786699276624
1786699799999,PRESTIGE,10m,1586.10,1590.60,1585.20,1589.40,18382,1786699867254-0,md:candles:10m,1786699876284
1786700399999,PRESTIGE,10m,1589.40,1590.30,1586.50,1587.20,17386,1786700468395-0,md:candles:10m,1786700471301
1786700999999,PRESTIGE,10m,1586.50,1592.00,1583.00,1583.00,14727,1786701078796-0,md:candles:10m,1786701080910
1786701599999,PRESTIGE,10m,1583.00,1592.50,1583.00,1592.50,271835,1786703399514-0,md:candles:10m,1786703409529
1786702804000,PRESTIGE,1d,1587.70,1592.50,1583.00,1592.50,348431,1786702809334-0,md:candles:1d,1786702818543
1786698959999,PRESTIGE,1m,1587.70,1588.30,1587.30,1588.30,318,1786698968047-0,md:candles:1m,1786698974630
1786699019999,PRESTIGE,1m,1587.70,1588.00,1585.40,1585.90,4345,1786699025614-0,md:candles:1m,1786699028548
1786699079999,PRESTIGE,1m,1585.60,1586.20,1585.00,1585.20,3564,1786699085650-0,md:candles:1m,1786699094422
1786699139999,PRESTIGE,1m,1585.10,1586.70,1584.60,1584.70,6244,1786699148892-0,md:candles:1m,1786699158101
1786699199999,PRESTIGE,1m,1584.90,1586.90,1583.00,1586.10,11630,1786699205158-0,md:candles:1m,1786699208603
1786699259999,PRESTIGE,1m,1586.10,1587.00,1585.20,1586.60,2047,1786699266287-0,md:candles:1m,1786699273120
1786699319999,PRESTIGE,1m,1586.60,1589.40,1585.30,1588.00,8959,1786699325763-0,md:candles:1m,1786699326703
1786699379999,PRESTIGE,1m,1588.70,1589.80,1588.10,1589.80,818,1786699385757-0,md:candles:1m,1786699391745
1786699439999,PRESTIGE,1m,1589.90,1590.60,1589.20,1590.60,987,1786699449394-0,md:candles:1m,1786699457822
1786699499999,PRESTIGE,1m,1590.20,1590.60,1590.00,1590.40,570,1786699508281-0,md:candles:1m,1786699511111
1786699559999,PRESTIGE,1m,1590.40,1590.50,1589.40,1590.30,520,1786699571567-0,md:candles:1m,1786699576085
1786699619999,PRESTIGE,1m,1590.30,1590.60,1589.70,1590.60,643,1786699631059-0,md:candles:1m,1786699639246
1786699679999,PRESTIGE,1m,1590.40,1590.60,1589.50,1590.60,1130,1786699685184-0,md:candles:1m,1786699689702
1786699739999,PRESTIGE,1m,1590.60,1590.60,1588.80,1589.70,1850,1786699751218-0,md:candles:1m,1786699754023
1786699799999,PRESTIGE,1m,1589.80,1589.80,1589.10,1589.40,858,1786699809858-0,md:candles:1m,1786699821286
1786699859999,PRESTIGE,1m,1589.40,1589.50,1588.50,1589.50,1128,1786699867250-0,md:candles:1m,1786699871843
1786699919999,PRESTIGE,1m,1589.40,1589.50,1587.60,1588.00,1331,1786699929103-0,md:candles:1m,1786699936026
1786699979999,PRESTIGE,1m,1588.30,1588.30,1587.50,1588.20,2238,1786699989822-0,md:candles:1m,1786700001238
1786700039999,PRESTIGE,1m,1588.90,1590.30,1588.90,1590.10,1800,1786700048148-0,md:candles:1m,1786700051805
1786700099999,PRESTIGE,1m,1589.60,1590.00,1589.40,1590.00,511,1786700106303-0,md:candles:1m,1786700118244
1786700159999,PRESTIGE,1m,1589.70,1589.70,1588.00,1589.00,3450,1786700165197-0,md:candles:1m,1786700171522
1786700219999,PRESTIGE,1m,1588.70,1588.70,1587.30,1588.60,2453,1786700229205-0,md:candles:1m,1786700233604
1786700279999,PRESTIGE,1m,1587.80,1588.70,1586.80,1587.50,1397,1786700286667-0,md:candles:1m,1786700298079
1786700339999,PRESTIGE,1m,1587.70,1588.40,1586.90,1587.70,1603,1786700346840-0,md:candles:1m,1786700351053
1786700399999,PRESTIGE,1m,1587.70,1587.70,1586.50,1587.20,1475,1786700407270-0,md:candles:1m,1786700412580
1786700459999,PRESTIGE,1m,1586.50,1587.50,1586.50,1587.40,1728,1786700468383-0,md:candles:1m,1786700476026
1786700519999,PRESTIGE,1m,1587.50,1588.00,1587.40,1588.00,2945,1786700527477-0,md:candles:1m,1786700529452
1786700579999,PRESTIGE,1m,1588.90,1588.90,1586.70,1587.60,3353,1786700585463-0,md:candles:1m,1786700591306
1786700639999,PRESTIGE,1m,1588.00,1589.40,1586.70,1587.30,3591,1786700648176-0,md:candles:1m,1786700653590
1786700699999,PRESTIGE,1m,1587.00,1592.00,1583.00,1583.00,3110,1786701010784-0,md:candles:1m,1786701021651
1786701059999,PRESTIGE,1m,1583.00,1583.00,1583.00,1583.00,925,1786701078792-0,md:candles:1m,1786701082805
