ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,RBLBANK,10m,385.75,385.75,385.30,385.60,9036,1786699266440-0,md:candles:10m,1786699276624
1786699799999,RBLBANK,10m,385.65,385.75,385.50,385.70,17977,1786699870184-0,md:candles:10m,1786699876284
1786700399999,RBLBANK,10m,385.60,386.10,385.50,386.10,203087,1786700466479-0,md:candles:10m,1786700471301
1786700999999,RBLBANK,10m,386.05,386.90,385.25,385.25,183383,1786701070454-0,md:candles:10m,1786701080910
1786702808000,RBLBANK,1d,385.75,386.90,385.00,385.00,1882732,1786702813636-0,md:candles:1d,1786702818543
1786698959999,RBLBANK,1m,385.75,385.75,385.70,385.75,52,1786698966425-0,md:candles:1m,1786698974630
1786699019999,RBLBANK,1m,385.70,385.70,385.45,385.45,2715,1786699030050-0,md:candles:1m,1786699041361
1786699079999,RBLBANK,1m,385.40,385.65,385.30,385.45,3655,1786699087085-0,md:candles:1m,1786699094422
1786699139999,RBLBANK,1m,385.55,385.70,385.45,385.70,1471,1786699146488-0,md:candles:1m,1786699146984
1786699199999,RBLBANK,1m,385.65,385.70,385.55,385.60,1143,1786699207371-0,md:candles:1m,1786699208603
1786699259999,RBLBANK,1m,385.65,385.65,385.50,385.60,1197,1786699266419-0,md:candles:1m,1786699273120
1786699319999,RBLBANK,1m,385.60,385.75,385.55,385.60,949,1786699325998-0,md:candles:1m,1786699326703
1786699379999,RBLBANK,1m,385.65,385.65,385.55,385.65,974,1786699388935-0,md:candles:1m,1786699391745
1786699439999,RBLBANK,1m,385.60,385.75,385.50,385.65,1685,1786699447610-0,md:candles:1m,1786699457822
1786699499999,RBLBANK,1m,385.60,385.70,385.55,385.70,1079,1786699506173-0,md:candles:1m,1786699511111
1786699559999,RBLBANK,1m,385.70,385.70,385.50,385.70,3385,1786699568869-0,md:candles:1m,1786699576085
1786699619999,RBLBANK,1m,385.65,385.65,385.50,385.65,902,1786699628990-0,md:candles:1m,1786699639246
1786699679999,RBLBANK,1m,385.65,385.65,385.50,385.65,1298,1786699690006-0,md:candles:1m,1786699701410
1786699739999,RBLBANK,1m,385.65,385.65,385.50,385.65,4112,1786699749013-0,md:candles:1m,1786699754023
1786699799999,RBLBANK,1m,385.60,385.70,385.55,385.70,2396,1786699807342-0,md:candles:1m,1786699807941
1786699859999,RBLBANK,1m,385.60,385.70,385.60,385.65,5071,1786699870171-0,md:candles:1m,1786699871843
1786699919999,RBLBANK,1m,385.50,385.65,385.50,385.65,14464,1786699929454-0,md:candles:1m,1786699936026
1786699979999,RBLBANK,1m,385.65,385.65,385.60,385.65,1684,1786699988026-0,md:candles:1m,1786699989617
1786700039999,RBLBANK,1m,385.65,385.65,385.60,385.60,14123,1786700046163-0,md:candles:1m,1786700051805
1786700099999,RBLBANK,1m,385.70,385.80,385.70,385.80,14561,1786700111116-0,md:candles:1m,1786700118244
1786700159999,RBLBANK,1m,385.75,385.80,385.65,385.65,9755,1786700167121-0,md:candles:1m,1786700171522
1786700219999,RBLBANK,1m,385.70,385.95,385.70,385.95,75392,1786700229708-0,md:candles:1m,1786700233604
1786700279999,RBLBANK,1m,385.90,385.90,385.50,385.85,41068,1786700285274-0,md:candles:1m,1786700286220
1786700339999,RBLBANK,1m,385.80,386.00,385.80,386.00,1795,1786700352226-0,md:candles:1m,1786700362283
1786700399999,RBLBANK,1m,385.95,386.10,385.95,386.10,25174,1786700411529-0,md:candles:1m,1786700412580
1786700459999,RBLBANK,1m,386.05,386.10,385.95,385.95,24246,1786700466454-0,md:candles:1m,1786700476026
1786700519999,RBLBANK,1m,386.05,386.20,386.00,386.05,12740,1786700528301-0,md:candles:1m,1786700529452
1786700579999,RBLBANK,1m,386.10,386.90,385.75,386.90,109708,1786700585810-0,md:candles:1m,1786700591306
1786700639999,RBLBANK,1m,386.50,386.80,385.55,385.60,30316,1786700646173-0,md:candles:1m,1786700653590
1786700699999,RBLBANK,1m,385.55,386.00,385.25,385.25,6333,1786700708859-0,md:candles:1m,1786700715149
1786700759999,RBLBANK,1m,385.25,385.25,385.25,385.25,40,1786701008193-0,md:candles:1m,1786701010481
1786701059999,RBLBANK,1m,385.25,385.25,385.25,385.25,1624,1786701070447-0,md:candles:1m,1786701071890
1786701119999,RBLBANK,1m,385.25,385.25,385.25,385.25,3067,1786701139405-0,md:candles:1m,1786701149293
1786701179999,RBLBANK,1m,385.25,385.25,385.25,385.25,55,1786701193418-0,md:candles:1m,1786701203615
1786701239999,RBLBANK,1m,385.25,385.25,385.25,385.25,16,1786701260904-0,md:candles:1m,1786701271537
1786701299999,RBLBANK,1m,385.25,385.25,385.25,385.25,190,1786701309683-0,md:candles:1m,1786701313567
1786701359999,RBLBANK,1m,385.25,385.25,385.25,385.25,27,1786701375863-0,md:candles:1m,1786701379364
1786701419999,RBLBANK,1m,385.25,385.25,385.25,385.25,61,1786701441784-0,md:candles:1m,1786701443578
1786701479999,RBLBANK,1m,385.25,385.25,385.25,385.25,15,1786701491679-0,md:candles:1m,1786701496799
1786701539999,RBLBANK,1m,385.25,385.25,385.00,385.00,1464194,1786702813634-0,md:candles:1m,1786702820532
1786699799999,RBLBANK,30m,385.75,385.75,385.30,385.70,27013,1786699870185-0,md:candles:30m,1786699872287
1786699199999,RBLBANK,5m,385.75,385.75,385.30,385.60,9036,1786699266438-0,md:candles:5m,1786699276624
1786699499999,RBLBANK,5m,385.65,385.75,385.50,385.70,5884,1786699568879-0,md:candles:5m,1786699570970
1786699799999,RBLBANK,5m,385.70,385.70,385.50,385.70,12093,1786699870182-0,md:candles:5m,1786699880291
1786700099999,RBLBANK,5m,385.60,385.80,385.50,385.80,49903,1786700167129-0,md:candles:5m,1786700170829
1786700399999,RBLBANK,5m,385.75,386.10,385.50,386.10,153184,1786700466477-0,md:candles:5m,1786700471362
1786700699999,RBLBANK,5m,386.05,386.90,385.25,385.25,183343,1786701008200-0,md:candles:5m,1786701013188
1786700999999,RBLBANK,5m,385.25,385.25,385.25,385.25,40,1786701070452-0,md:candles:5m,1786701080800
1786701299999,RBLBANK,5m,385.25,385.25,385.25,385.25,4952,1786701375864-0,md:candles:5m,1786701379364
