ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,RECLTD,10m,335.60,335.70,335.35,335.50,58749,1786699265772-0,md:candles:10m,1786699276624
1786699799999,RECLTD,10m,335.60,336.35,335.35,336.20,460418,1786699869373-0,md:candles:10m,1786699876284
1786700399999,RECLTD,10m,336.30,337.00,335.05,335.10,489409,1786700466324-0,md:candles:10m,1786700471301
1786700999999,RECLTD,10m,335.15,335.95,335.00,335.90,289337,1786701082420-0,md:candles:10m,1786701092722
1786701599999,RECLTD,10m,335.90,335.90,335.00,335.00,7275848,1786702880623-0,md:candles:10m,1786702885431
1786702801000,RECLTD,1d,335.60,337.00,335.00,335.00,8573761,1786702806762-0,md:candles:1d,1786702807233
1786698959999,RECLTD,1m,335.60,335.65,335.45,335.60,6318,1786698965850-0,md:candles:1m,1786698974630
1786699019999,RECLTD,1m,335.70,335.70,335.35,335.55,26495,1786699027910-0,md:candles:1m,1786699028548
1786699079999,RECLTD,1m,335.40,335.60,335.40,335.45,9865,1786699085691-0,md:candles:1m,1786699094422
1786699139999,RECLTD,1m,335.50,335.60,335.45,335.55,7609,1786699145693-0,md:candles:1m,1786699146984
1786699199999,RECLTD,1m,335.55,335.60,335.45,335.50,8462,1786699206788-0,md:candles:1m,1786699208603
1786699259999,RECLTD,1m,335.60,335.70,335.55,335.65,4591,1786699265744-0,md:candles:1m,1786699273120
1786699319999,RECLTD,1m,335.65,335.65,335.45,335.50,14890,1786699325306-0,md:candles:1m,1786699326703
1786699379999,RECLTD,1m,335.60,335.60,335.40,335.45,11801,1786699388215-0,md:candles:1m,1786699391745
1786699439999,RECLTD,1m,335.50,335.60,335.35,335.35,29857,1786699446900-0,md:candles:1m,1786699457822
1786699499999,RECLTD,1m,335.70,336.05,335.65,335.95,284432,1786699506068-0,md:candles:1m,1786699511111
1786699559999,RECLTD,1m,336.10,336.20,335.90,336.10,37278,1786699565454-0,md:candles:1m,1786699576085
1786699619999,RECLTD,1m,336.05,336.20,336.00,336.20,22610,1786699626149-0,md:candles:1m,1786699627296
1786699679999,RECLTD,1m,336.35,336.35,336.05,336.15,21269,1786699687988-0,md:candles:1m,1786699689702
1786699739999,RECLTD,1m,336.25,336.25,336.10,336.10,6131,1786699748081-0,md:candles:1m,1786699754023
1786699799999,RECLTD,1m,336.00,336.30,336.00,336.20,27559,1786699806596-0,md:candles:1m,1786699807941
1786699859999,RECLTD,1m,336.30,336.90,336.05,336.85,115334,1786699869353-0,md:candles:1m,1786699871843
1786699919999,RECLTD,1m,336.85,337.00,336.65,336.70,41266,1786699925939-0,md:candles:1m,1786699936026
1786699979999,RECLTD,1m,336.65,336.75,336.55,336.55,50092,1786699987217-0,md:candles:1m,1786699989617
1786700039999,RECLTD,1m,336.60,336.60,336.35,336.45,39076,1786700047605-0,md:candles:1m,1786700051805
1786700099999,RECLTD,1m,336.30,336.30,336.10,336.15,47374,1786700107404-0,md:candles:1m,1786700118244
1786700159999,RECLTD,1m,336.05,336.15,335.60,335.60,69170,1786700166514-0,md:candles:1m,1786700171522
1786700219999,RECLTD,1m,335.75,335.80,335.25,335.30,33923,1786700225304-0,md:candles:1m,1786700233604
1786700279999,RECLTD,1m,335.45,335.60,335.40,335.55,18399,1786700290896-0,md:candles:1m,1786700298079
1786700339999,RECLTD,1m,335.55,335.55,335.15,335.30,28207,1786700350991-0,md:candles:1m,1786700351053
