ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,RELIANCE,10m,1309.60,1309.70,1309.10,1309.20,103031,1786699266404-0,md:candles:10m,1786699276624
1786699799999,RELIANCE,10m,1309.30,1310.10,1309.20,1309.50,291451,1786699870004-0,md:candles:10m,1786699876284
1786700399999,RELIANCE,10m,1309.50,1309.90,1308.50,1309.80,616571,1786700466712-0,md:candles:10m,1786700471301
1786700999999,RELIANCE,10m,1309.70,1309.80,1306.30,1308.70,464452,1786701070205-0,md:candles:10m,1786701080910
1786701599999,RELIANCE,10m,1308.70,1310.00,1308.70,1310.00,10186964,1786702882736-0,md:candles:10m,1786702885431
1786702802000,RELIANCE,1d,1309.60,1310.10,1306.30,1310.00,11662469,1786702807250-0,md:candles:1d,1786702818543
1786698959999,RELIANCE,1m,1309.60,1309.60,1309.50,1309.50,22506,1786698966304-0,md:candles:1m,1786698974630
1786699019999,RELIANCE,1m,1309.50,1309.70,1309.20,1309.20,24129,1786699028569-0,md:candles:1m,1786699041361
1786699079999,RELIANCE,1m,1309.10,1309.40,1309.10,1309.20,19697,1786699088823-0,md:candles:1m,1786699094422
1786699139999,RELIANCE,1m,1309.30,1309.30,1309.10,1309.10,14275,1786699146335-0,md:candles:1m,1786699146984
1786699199999,RELIANCE,1m,1309.10,1309.30,1309.10,1309.20,22424,1786699205684-0,md:candles:1m,1786699208603
1786699259999,RELIANCE,1m,1309.30,1309.70,1309.20,1309.50,30311,1786699266386-0,md:candles:1m,1786699273120
1786699319999,RELIANCE,1m,1309.70,1309.70,1309.50,1309.60,18750,1786699325883-0,md:candles:1m,1786699326703
1786699379999,RELIANCE,1m,1309.60,1309.70,1309.50,1309.70,15139,1786699388711-0,md:candles:1m,1786699391745
1786699439999,RELIANCE,1m,1309.70,1309.90,1309.50,1309.50,18447,1786699447391-0,md:candles:1m,1786699457822
1786699499999,RELIANCE,1m,1309.50,1310.00,1309.50,1310.00,42704,1786699506049-0,md:candles:1m,1786699511111
1786699559999,RELIANCE,1m,1310.10,1310.10,1309.50,1309.70,90960,1786699565903-0,md:candles:1m,1786699576085
1786699619999,RELIANCE,1m,1309.50,1310.00,1309.50,1309.70,32039,1786699625604-0,md:candles:1m,1786699627296
1786699679999,RELIANCE,1m,1309.60,1309.70,1309.50,1309.60,8568,1786699685694-0,md:candles:1m,1786699689702
1786699739999,RELIANCE,1m,1309.50,1309.70,1309.50,1309.50,14646,1786699748999-0,md:candles:1m,1786699754023
1786699799999,RELIANCE,1m,1309.60,1309.60,1309.50,1309.50,19887,1786699807167-0,md:candles:1m,1786699807941
