ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,RVNL,10m,227.69,227.73,227.53,227.57,24933,1786699268680-0,md:candles:10m,1786699276624
1786699799999,RVNL,10m,227.57,227.80,227.57,227.63,83282,1786699870681-0,md:candles:10m,1786699876284
1786700399999,RVNL,10m,227.50,227.54,226.99,227.24,211789,1786700467439-0,md:candles:10m,1786700471301
1786700999999,RVNL,10m,227.23,227.50,227.06,227.14,87602,1786701070891-0,md:candles:10m,1786701080910
1786701599999,RVNL,10m,227.14,227.35,227.14,227.35,2585963,1786702876940-0,md:candles:10m,1786702885431
1786702802000,RVNL,1d,227.69,227.80,226.99,227.35,2993569,1786702807827-0,md:candles:1d,1786702818543
1786698959999,RVNL,1m,227.69,227.73,227.69,227.69,1499,1786698966964-0,md:candles:1m,1786698974630
1786699019999,RVNL,1m,227.69,227.70,227.53,227.59,12174,1786699028634-0,md:candles:1m,1786699041361
1786699079999,RVNL,1m,227.57,227.59,227.57,227.58,4668,1786699089396-0,md:candles:1m,1786699094422
1786699139999,RVNL,1m,227.57,227.59,227.57,227.57,4185,1786699146987-0,md:candles:1m,1786699146984
1786699199999,RVNL,1m,227.57,227.63,227.57,227.57,2407,1786699207846-0,md:candles:1m,1786699208603
1786699259999,RVNL,1m,227.57,227.80,227.57,227.70,20063,1786699268677-0,md:candles:1m,1786699273120
1786699319999,RVNL,1m,227.72,227.80,227.71,227.80,11540,1786699326379-0,md:candles:1m,1786699326703
1786699379999,RVNL,1m,227.80,227.80,227.72,227.80,4141,1786699389313-0,md:candles:1m,1786699391745
1786699439999,RVNL,1m,227.73,227.80,227.72,227.80,1960,1786699447978-0,md:candles:1m,1786699457822
1786699499999,RVNL,1m,227.75,227.80,227.73,227.73,1426,1786699506481-0,md:candles:1m,1786699511111
1786699559999,RVNL,1m,227.73,227.80,227.72,227.75,3927,1786699568889-0,md:candles:1m,1786699576085
1786699619999,RVNL,1m,227.72,227.77,227.71,227.77,5184,1786699625978-0,md:candles:1m,1786699627296
1786699679999,RVNL,1m,227.75,227.79,227.70,227.72,16557,1786699689000-0,md:candles:1m,1786699689702
1786699739999,RVNL,1m,227.71,227.77,227.70,227.70,15165,1786699749787-0,md:candles:1m,1786699754023
1786699799999,RVNL,1m,227.70,227.70,227.63,227.63,3319,1786699807842-0,md:candles:1m,1786699807941
1786699859999,RVNL,1m,227.50,227.54,227.31,227.31,57401,1786699870672-0,md:candles:1m,1786699871843
1786699919999,RVNL,1m,227.30,227.30,227.10,227.10,11783,1786699927344-0,md:candles:1m,1786699936026
1786699979999,RVNL,1m,227.11,227.27,227.09,227.24,9334,1786699985538-0,md:candles:1m,1786699989617
1786700039999,RVNL,1m,227.21,227.30,227.16,227.17,43306,1786700046189-0,md:candles:1m,1786700051805
1786700099999,RVNL,1m,227.23,227.29,227.13,227.23,10490,1786700105778-0,md:candles:1m,1786700105816
1786700159999,RVNL,1m,227.16,227.28,227.16,227.28,16187,1786700167517-0,md:candles:1m,1786700171522
1786700219999,RVNL,1m,227.22,227.27,227.01,227.08,9917,1786700227243-0,md:candles:1m,1786700233604
1786700279999,RVNL,1m,227.09,227.09,227.01,227.02,5891,1786700286399-0,md:candles:1m,1786700298079
1786700339999,RVNL,1m,227.04,227.10,227.01,227.10,21045,1786700345619-0,md:candles:1m,1786700351053
1786700399999,RVNL,1m,227.04,227.24,226.99,227.24,26435,1786700405630-0,md:candles:1m,1786700412580
1786700459999,RVNL,1m,227.23,227.23,227.06,227.10,26059,1786700467431-0,md:candles:1m,1786700476026
1786700519999,RVNL,1m,227.22,227.30,227.22,227.25,14762,1786700525429-0,md:candles:1m,1786700529452
1786700579999,RVNL,1m,227.24,227.36,227.09,227.21,32117,1786700586289-0,md:candles:1m,1786700591306
1786700639999,RVNL,1m,227.21,227.25,227.13,227.21,2891,1786700646673-0,md:candles:1m,1786700653590
1786700699999,RVNL,1m,227.14,227.50,227.14,227.14,11773,1786700709351-0,md:candles:1m,1786700715149
1786700759999,RVNL,1m,227.14,227.14,227.14,227.14,0,1786701008784-0,md:candles:1m,1786701010481
1786701059999,RVNL,1m,227.14,227.14,227.14,227.14,1868,1786701070887-0,md:candles:1m,1786701071890
1786701119999,RVNL,1m,227.14,227.14,227.14,227.14,2207,1786701133677-0,md:candles:1m,1786701137210
1786701179999,RVNL,1m,227.14,227.14,227.14,227.14,1675,1786701187797-0,md:candles:1m,1786701191510
1786701239999,RVNL,1m,227.14,227.14,227.14,227.14,2565,1786701247884-0,md:candles:1m,1786701248276
1786701299999,RVNL,1m,227.14,227.14,227.14,227.14,1705,1786701316976-0,md:candles:1m,1786701324284
1786701359999,RVNL,1m,227.14,227.14,227.14,227.14,257,1786701369941-0,md:candles:1m,1786701379364
1786701419999,RVNL,1m,227.14,227.14,227.14,227.14,986,1786701429062-0,md:candles:1m,1786701432770
1786701479999,RVNL,1m,227.14,227.14,227.14,227.14,3123,1786701492229-0,md:candles:1m,1786701496799
1786701539999,RVNL,1m,227.14,227.35,227.14,227.35,2571577,1786702807825-0,md:candles:1m,1786702808525
1786702859999,RVNL,1m,227.35,227.35,227.35,227.35,390,1786702876929-0,md:candles:1m,1786702884923
1786702919999,RVNL,1m,227.35,227.35,227.35,227.35,104,1786702933192-0,md:candles:1m,1786702937190
1786702979999,RVNL,1m,227.35,227.35,227.35,227.35,599,1786703011155-0,md:candles:1m,1786703011147
1786703039999,RVNL,1m,227.35,227.35,227.35,227.35,8,1786703134310-0,md:candles:1m,1786703141428
1786703159999,RVNL,1m,227.35,227.35,227.35,227.35,6,1786703181261-0,md:candles:1m,1786703185263
1786703219999,RVNL,1m,227.35,227.35,227.35,227.35,2,1786703232303-0,md:candles:1m,1786703239900
1786699799999,RVNL,30m,227.69,227.80,227.53,227.63,108215,1786699870683-0,md:candles:30m,1786699872287
1786701599999,RVNL,30m,227.50,227.54,226.99,227.35,2885354,1786702876942-0,md:candles:30m,1786702882739
1786699199999,RVNL,5m,227.69,227.73,227.53,227.57,24933,1786699268678-0,md:candles:5m,1786699276624
1786699499999,RVNL,5m,227.57,227.80,227.57,227.73,39130,1786699568902-0,md:candles:5m,1786699570970
1786699799999,RVNL,5m,227.73,227.80,227.63,227.63,44152,1786699870680-0,md:candles:5m,1786699880291
1786700099999,RVNL,5m,227.50,227.54,227.09,227.23,132314,1786700167520-0,md:candles:5m,1786700170829
1786700399999,RVNL,5m,227.16,227.28,226.99,227.24,79475,1786700467438-0,md:candles:5m,1786700471362
1786700699999,RVNL,5m,227.23,227.50,227.06,227.14,87602,1786701008786-0,md:candles:5m,1786701013188
1786700999999,RVNL,5m,227.14,227.14,227.14,227.14,0,1786701070889-0,md:candles:5m,1786701080800
1786701299999,RVNL,5m,227.14,227.14,227.14,227.14,10020,1786701369943-0,md:candles:5m,1786701379364
1786701599999,RVNL,5m,227.14,227.35,227.14,227.35,2575943,1786702876939-0,md:candles:5m,1786702884923
