ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,SAIL,10m,169.55,169.62,169.11,169.45,308740,1786699265473-0,md:candles:10m,1786699265610
1786699799999,SAIL,10m,169.39,171.43,169.39,170.84,1061580,1786699865624-0,md:candles:10m,1786699876284
1786700399999,SAIL,10m,170.81,170.95,169.52,169.86,981545,1786700465699-0,md:candles:10m,1786700471301
1786700999999,SAIL,10m,169.86,169.86,168.85,169.51,398992,1786701071287-0,md:candles:10m,1786701080910
1786701599999,SAIL,10m,169.51,169.51,169.51,169.51,27996744,1786702878114-0,md:candles:10m,1786702885431
1786702803000,SAIL,1d,169.55,171.43,168.85,169.51,30747601,1786702808240-0,md:candles:1d,1786702818543
1786698959999,SAIL,1m,169.55,169.55,169.54,169.55,8148,1786698965832-0,md:candles:1m,1786698974630
1786699019999,SAIL,1m,169.54,169.55,169.24,169.29,91923,1786699025489-0,md:candles:1m,1786699028548
1786699079999,SAIL,1m,169.21,169.34,169.11,169.16,73279,1786699085199-0,md:candles:1m,1786699094422
1786699139999,SAIL,1m,169.29,169.54,169.23,169.51,64812,1786699145573-0,md:candles:1m,1786699146984
1786699199999,SAIL,1m,169.41,169.62,169.17,169.45,70578,1786699205356-0,md:candles:1m,1786699208603
1786699259999,SAIL,1m,169.39,169.53,169.39,169.45,12348,1786699265470-0,md:candles:1m,1786699273120
1786699319999,SAIL,1m,169.51,169.78,169.44,169.74,38919,1786699325744-0,md:candles:1m,1786699326703
1786699379999,SAIL,1m,169.76,169.82,169.62,169.66,22013,1786699385731-0,md:candles:1m,1786699391745
1786699439999,SAIL,1m,169.75,169.79,169.66,169.70,27742,1786699445834-0,md:candles:1m,1786699457822
1786699499999,SAIL,1m,169.70,169.76,169.66,169.75,7749,1786699505289-0,md:candles:1m,1786699511111
1786699559999,SAIL,1m,169.76,169.77,169.65,169.66,35789,1786699565273-0,md:candles:1m,1786699565357
1786699619999,SAIL,1m,169.66,169.81,169.66,169.78,41985,1786699625868-0,md:candles:1m,1786699627296
1786699679999,SAIL,1m,169.80,171.43,169.71,170.93,390722,1786699685314-0,md:candles:1m,1786699689702
1786699739999,SAIL,1m,171.00,171.28,170.35,170.69,383857,1786699745936-0,md:candles:1m,1786699754023
1786699799999,SAIL,1m,170.74,170.93,170.58,170.84,100456,1786699805231-0,md:candles:1m,1786699807941
1786699859999,SAIL,1m,170.81,170.95,170.70,170.70,96358,1786699865620-0,md:candles:1m,1786699871843
1786699919999,SAIL,1m,170.70,170.70,170.45,170.57,78470,1786699925707-0,md:candles:1m,1786699936026
1786699979999,SAIL,1m,170.60,170.65,170.21,170.21,40072,1786699985710-0,md:candles:1m,1786699989617
1786700039999,SAIL,1m,170.23,170.31,170.20,170.24,37234,1786700045377-0,md:candles:1m,1786700051805
1786700099999,SAIL,1m,170.26,170.33,170.10,170.20,82578,1786700105889-0,md:candles:1m,1786700118244
1786700159999,SAIL,1m,170.20,170.33,169.52,169.52,235542,1786700166105-0,md:candles:1m,1786700171522
1786700219999,SAIL,1m,169.60,170.00,169.60,169.95,218584,1786700225743-0,md:candles:1m,1786700233604
1786700279999,SAIL,1m,169.95,169.95,169.76,169.78,33144,1786700285193-0,md:candles:1m,1786700286220
1786700339999,SAIL,1m,169.82,169.84,169.78,169.84,19409,1786700345608-0,md:candles:1m,1786700351053
1786700399999,SAIL,1m,169.84,170.00,169.80,169.86,140154,1786700405625-0,md:candles:1m,1786700412580
1786700459999,SAIL,1m,169.86,169.86,169.52,169.58,60844,1786700465695-0,md:candles:1m,1786700476026
1786700519999,SAIL,1m,169.58,169.75,169.51,169.65,37490,1786700526105-0,md:candles:1m,1786700529452
1786700579999,SAIL,1m,169.60,169.71,168.85,169.43,252958,1786700585487-0,md:candles:1m,1786700591306
1786700639999,SAIL,1m,169.43,169.55,169.28,169.46,21147,1786700645446-0,md:candles:1m,1786700653590
1786700699999,SAIL,1m,169.49,169.63,169.37,169.52,24553,1786700705463-0,md:candles:1m,1786700715149
1786700759999,SAIL,1m,169.51,169.51,169.51,169.51,2000,1786701009304-0,md:candles:1m,1786701010481
1786701059999,SAIL,1m,169.51,169.51,169.51,169.51,36044,1786701071284-0,md:candles:1m,1786701071890
1786701119999,SAIL,1m,169.51,169.51,169.51,169.51,2694,1786701127963-0,md:candles:1m,1786701137210
1786701179999,SAIL,1m,169.51,169.51,169.51,169.51,4543,1786701188193-0,md:candles:1m,1786701191510
1786701239999,SAIL,1m,169.51,169.51,169.51,169.51,4260,1786701248433-0,md:candles:1m,1786701260413
1786701299999,SAIL,1m,169.51,169.51,169.51,169.51,1842,1786701317476-0,md:candles:1m,1786701324284
1786701359999,SAIL,1m,169.51,169.51,169.51,169.51,4005,1786701370347-0,md:candles:1m,1786701379364
1786701419999,SAIL,1m,169.51,169.51,169.51,169.51,3190,1786701429470-0,md:candles:1m,1786701432770
1786701479999,SAIL,1m,169.51,169.51,169.51,169.51,588,1786701492770-0,md:candles:1m,1786701496799
1786701539999,SAIL,1m,169.51,169.51,169.51,169.51,27939578,1786702808238-0,md:candles:1m,1786702808525
1786702859999,SAIL,1m,169.51,169.51,169.51,169.51,1051,1786702878111-0,md:candles:1m,1786702884923
1786702919999,SAIL,1m,169.51,169.51,169.51,169.51,14653,1786703048709-0,md:candles:1m,1786703055708
1786703099999,SAIL,1m,169.51,169.51,169.51,169.51,2000,1786703343934-0,md:candles:1m,1786703348029
1786699799999,SAIL,30m,169.55,171.43,169.11,170.84,1370320,1786699865625-0,md:candles:30m,1786699872287
