ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,SAMMAANCAP,10m,153.75,153.85,153.70,153.70,63629,1786699266622-0,md:candles:10m,1786699276624
1786699799999,SAMMAANCAP,10m,153.75,153.95,152.25,152.80,717108,1786699870454-0,md:candles:10m,1786699876284
1786700399999,SAMMAANCAP,10m,152.85,152.86,152.40,152.50,723017,1786700466489-0,md:candles:10m,1786700471301
1786700999999,SAMMAANCAP,10m,152.54,152.80,152.00,152.65,860087,1786701070688-0,md:candles:10m,1786701080910
1786701599999,SAMMAANCAP,10m,152.65,152.65,152.00,152.30,695416,1786701674923-0,md:candles:10m,1786701676917
1786702199999,SAMMAANCAP,10m,152.25,152.39,152.25,152.39,50,1786702871110-0,md:candles:10m,1786702875014
1786701600000,SAMMAANCAP,1d,153.75,153.95,152.00,152.30,3059257,1786701605799-0,md:candles:1d,1786701615808
1786698959999,SAMMAANCAP,1m,153.75,153.75,153.70,153.70,3572,1786698966845-0,md:candles:1m,1786698974630
1786699019999,SAMMAANCAP,1m,153.74,153.75,153.70,153.74,15210,1786699030356-0,md:candles:1m,1786699041361
1786699079999,SAMMAANCAP,1m,153.74,153.85,153.70,153.84,10672,1786699087097-0,md:candles:1m,1786699094422
1786699139999,SAMMAANCAP,1m,153.80,153.84,153.70,153.79,6505,1786699146842-0,md:candles:1m,1786699146984
1786699199999,SAMMAANCAP,1m,153.80,153.80,153.70,153.70,27670,1786699207601-0,md:candles:1m,1786699208603
1786699259999,SAMMAANCAP,1m,153.75,153.75,153.70,153.75,10546,1786699266616-0,md:candles:1m,1786699273120
1786699319999,SAMMAANCAP,1m,153.75,153.95,153.75,153.88,43947,1786699326177-0,md:candles:1m,1786699326703
1786699379999,SAMMAANCAP,1m,153.88,153.88,153.60,153.67,22221,1786699389114-0,md:candles:1m,1786699391745
1786699439999,SAMMAANCAP,1m,153.67,153.67,153.08,153.08,106135,1786699445806-0,md:candles:1m,1786699457822
1786699499999,SAMMAANCAP,1m,152.92,152.95,152.55,152.69,155024,1786699506063-0,md:candles:1m,1786699511111
1786699559999,SAMMAANCAP,1m,152.61,152.80,152.25,152.80,220350,1786699565284-0,md:candles:1m,1786699565357
1786699619999,SAMMAANCAP,1m,152.80,152.94,152.69,152.69,57922,1786699625495-0,md:candles:1m,1786699627296
1786699679999,SAMMAANCAP,1m,152.68,152.68,152.43,152.61,30399,1786699685939-0,md:candles:1m,1786699689702
1786699739999,SAMMAANCAP,1m,152.63,152.98,152.62,152.86,34262,1786699745436-0,md:candles:1m,1786699754023
1786699799999,SAMMAANCAP,1m,152.97,152.97,152.80,152.80,36302,1786699806065-0,md:candles:1m,1786699807941
1786699859999,SAMMAANCAP,1m,152.85,152.85,152.60,152.60,85629,1786699870450-0,md:candles:1m,1786699871843
1786699919999,SAMMAANCAP,1m,152.60,152.68,152.55,152.62,36009,1786699927330-0,md:candles:1m,1786699936026
1786699979999,SAMMAANCAP,1m,152.63,152.80,152.63,152.75,20746,1786699988160-0,md:candles:1m,1786699989617
1786700039999,SAMMAANCAP,1m,152.75,152.79,152.67,152.73,28377,1786700046173-0,md:candles:1m,1786700051805
1786700099999,SAMMAANCAP,1m,152.74,152.86,152.60,152.66,45765,1786700111310-0,md:candles:1m,1786700118244
1786700159999,SAMMAANCAP,1m,152.75,152.75,152.51,152.55,108979,1786700167314-0,md:candles:1m,1786700171522
1786700219999,SAMMAANCAP,1m,152.55,152.65,152.45,152.50,203639,1786700227236-0,md:candles:1m,1786700233604
1786700279999,SAMMAANCAP,1m,152.40,152.60,152.40,152.49,127131,1786700285210-0,md:candles:1m,1786700286220
1786700339999,SAMMAANCAP,1m,152.60,152.68,152.49,152.60,42372,1786700345734-0,md:candles:1m,1786700351053
1786700399999,SAMMAANCAP,1m,152.60,152.60,152.50,152.50,24370,1786700405438-0,md:candles:1m,1786700412580
1786700459999,SAMMAANCAP,1m,152.54,152.59,152.41,152.59,84280,1786700466465-0,md:candles:1m,1786700476026
1786700519999,SAMMAANCAP,1m,152.56,152.56,152.37,152.56,139722,1786700528585-0,md:candles:1m,1786700529452
1786700579999,SAMMAANCAP,1m,152.56,152.56,152.01,152.05,243157,1786700585147-0,md:candles:1m,1786700591306
1786700639999,SAMMAANCAP,1m,152.10,152.20,152.00,152.08,112881,1786700646419-0,md:candles:1m,1786700653590
1786700699999,SAMMAANCAP,1m,152.01,152.38,152.01,152.35,55930,1786700705934-0,md:candles:1m,1786700715149
1786700759999,SAMMAANCAP,1m,152.36,152.70,152.27,152.69,72891,1786700765463-0,md:candles:1m,1786700766491
1786700819999,SAMMAANCAP,1m,152.70,152.80,152.61,152.65,35580,1786700825898-0,md:candles:1m,1786700827804
1786700879999,SAMMAANCAP,1m,152.65,152.78,152.51,152.65,16155,1786700885488-0,md:candles:1m,1786700888893
1786700939999,SAMMAANCAP,1m,152.69,152.78,152.40,152.64,57371,1786700946532-0,md:candles:1m,1786700950112
1786700999999,SAMMAANCAP,1m,152.55,152.65,152.49,152.65,42120,1786701005979-0,md:candles:1m,1786701010481
1786701059999,SAMMAANCAP,1m,152.65,152.65,152.36,152.40,36510,1786701070684-0,md:candles:1m,1786701071890
1786701119999,SAMMAANCAP,1m,152.37,152.53,152.00,152.13,122494,1786701126267-0,md:candles:1m,1786701126761
1786701179999,SAMMAANCAP,1m,152.13,152.38,152.01,152.37,29036,1786701185609-0,md:candles:1m,1786701191510
1786701239999,SAMMAANCAP,1m,152.37,152.38,152.24,152.26,65716,1786701245629-0,md:candles:1m,1786701248276
1786701299999,SAMMAANCAP,1m,152.26,152.29,152.03,152.29,77977,1786701305671-0,md:candles:1m,1786701313567
1786701359999,SAMMAANCAP,1m,152.28,152.30,152.16,152.25,70737,1786701369746-0,md:candles:1m,1786701379364
1786701419999,SAMMAANCAP,1m,152.25,152.30,152.14,152.30,52479,1786701425866-0,md:candles:1m,1786701432770
1786701479999,SAMMAANCAP,1m,152.30,152.36,152.14,152.14,59784,1786701485250-0,md:candles:1m,1786701486644
1786701539999,SAMMAANCAP,1m,152.14,152.34,152.14,152.30,74655,1786701545803-0,md:candles:1m,1786701551354
1786701599999,SAMMAANCAP,1m,152.34,152.35,152.05,152.30,106028,1786701605796-0,md:candles:1m,1786701613806
1786701659999,SAMMAANCAP,1m,152.25,152.25,152.25,152.25,50,1786701674921-0,md:candles:1m,1786701685132
1786701719999,SAMMAANCAP,1m,152.39,152.39,152.39,152.39,0,1786702807634-0,md:candles:1m,1786702808525
1786702859999,SAMMAANCAP,1m,152.39,152.39,152.39,152.39,1752,1786702871107-0,md:candles:1m,1786702874006
1786702919999,SAMMAANCAP,1m,152.39,152.39,152.39,152.39,12250,1786702925187-0,md:candles:1m,1786702927073
1786702979999,SAMMAANCAP,1m,152.39,152.39,152.39,152.39,2140,1786703058016-0,md:candles:1m,1786703065931
1786703099999,SAMMAANCAP,1m,152.39,152.39,152.39,152.39,395,1786703109081-0,md:candles:1m,1786703118294
1786703159999,SAMMAANCAP,1m,152.39,152.39,152.39,152.39,75,1786703166047-0,md:candles:1m,1786703173539
1786703219999,SAMMAANCAP,1m,152.39,152.39,152.39,152.39,210,1786703261430-0,md:candles:1m,1786703271541
1786703279999,SAMMAANCAP,1m,152.39,152.39,152.39,152.39,195,1786703291569-0,md:candles:1m,1786703292463
1786699799999,SAMMAANCAP,30m,153.75,153.95,152.25,152.80,780737,1786699870456-0,md:candles:30m,1786699872287
1786701599999,SAMMAANCAP,30m,152.85,152.86,152.00,152.30,2278520,1786701674924-0,md:candles:30m,1786701676917
1786699199999,SAMMAANCAP,5m,153.75,153.85,153.70,153.70,63629,1786699266620-0,md:candles:5m,1786699276624
1786699499999,SAMMAANCAP,5m,153.75,153.95,152.55,152.69,337873,1786699565288-0,md:candles:5m,1786699570970
1786699799999,SAMMAANCAP,5m,152.61,152.98,152.25,152.80,379235,1786699870452-0,md:candles:5m,1786699880291
1786700099999,SAMMAANCAP,5m,152.85,152.86,152.55,152.66,216526,1786700167320-0,md:candles:5m,1786700170829
1786700399999,SAMMAANCAP,5m,152.75,152.75,152.40,152.50,506491,1786700466488-0,md:candles:5m,1786700471362
1786700699999,SAMMAANCAP,5m,152.54,152.59,152.00,152.35,635970,1786700765464-0,md:candles:5m,1786700773441
1786700999999,SAMMAANCAP,5m,152.36,152.80,152.27,152.65,224117,1786701070685-0,md:candles:5m,1786701080800
1786701299999,SAMMAANCAP,5m,152.65,152.65,152.00,152.29,331733,1786701369749-0,md:candles:5m,1786701379364
1786701599999,SAMMAANCAP,5m,152.28,152.36,152.05,152.30,363683,1786701674922-0,md:candles:5m,1786701684926
1786701899999,SAMMAANCAP,5m,152.25,152.39,152.25,152.39,50,1786702871109-0,md:candles:5m,1786702874028
