ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,SBICARD,10m,634.15,634.45,633.20,633.20,5965,1786699266907-0,md:candles:10m,1786699276624
1786699799999,SBICARD,10m,633.20,634.10,632.65,632.75,34218,1786699870854-0,md:candles:10m,1786699876284
1786700399999,SBICARD,10m,632.70,633.45,630.00,630.00,143624,1786700465901-0,md:candles:10m,1786700471301
1786700999999,SBICARD,10m,630.00,631.85,629.10,631.00,207692,1786701070995-0,md:candles:10m,1786701080910
1786701599999,SBICARD,10m,631.00,633.00,631.00,633.00,1566586,1786703230208-0,md:candles:10m,1786703239202
1786702802000,SBICARD,1d,634.15,634.45,629.10,633.00,1958085,1786702807938-0,md:candles:1d,1786702818543
1786698959999,SBICARD,1m,634.15,634.45,634.15,634.45,168,1786698967056-0,md:candles:1m,1786698974630
1786699019999,SBICARD,1m,634.45,634.45,634.05,634.10,405,1786699030872-0,md:candles:1m,1786699041361
1786699079999,SBICARD,1m,634.05,634.20,634.00,634.00,1135,1786699087118-0,md:candles:1m,1786699094422
1786699139999,SBICARD,1m,634.10,634.20,633.90,633.90,791,1786699152638-0,md:candles:1m,1786699158101
1786699199999,SBICARD,1m,633.70,633.80,633.20,633.20,3466,1786699207971-0,md:candles:1m,1786699208603
1786699259999,SBICARD,1m,633.20,633.80,633.20,633.80,2049,1786699266898-0,md:candles:1m,1786699273120
1786699319999,SBICARD,1m,633.80,634.10,633.80,633.90,1134,1786699326608-0,md:candles:1m,1786699326703
1786699379999,SBICARD,1m,633.90,634.00,633.65,634.00,3011,1786699389509-0,md:candles:1m,1786699391745
1786699439999,SBICARD,1m,633.85,633.85,633.65,633.65,676,1786699448174-0,md:candles:1m,1786699457822
1786699499999,SBICARD,1m,633.60,633.60,632.85,632.85,3631,1786699506666-0,md:candles:1m,1786699511111
1786699559999,SBICARD,1m,632.85,633.10,632.85,632.90,240,1786699570167-0,md:candles:1m,1786699576085
1786699619999,SBICARD,1m,632.90,632.90,632.65,632.70,6076,1786699625991-0,md:candles:1m,1786699627296
1786699679999,SBICARD,1m,632.80,633.25,632.70,633.05,13439,1786699689016-0,md:candles:1m,1786699689702
1786699739999,SBICARD,1m,633.25,633.25,632.90,632.90,1330,1786699749954-0,md:candles:1m,1786699754023
1786699799999,SBICARD,1m,632.85,633.00,632.75,632.75,2632,1786699808165-0,md:candles:1m,1786699821286
1786699859999,SBICARD,1m,632.70,632.85,632.70,632.80,2043,1786699870846-0,md:candles:1m,1786699871843
1786699919999,SBICARD,1m,632.85,632.85,632.80,632.85,1993,1786699927352-0,md:candles:1m,1786699936026
1786699979999,SBICARD,1m,632.90,632.95,632.80,632.85,7106,1786699988452-0,md:candles:1m,1786699989617
1786700039999,SBICARD,1m,632.85,633.45,632.85,633.30,3863,1786700046192-0,md:candles:1m,1786700051805
1786700099999,SBICARD,1m,633.40,633.45,633.10,633.35,6964,1786700112170-0,md:candles:1m,1786700118244
1786700159999,SBICARD,1m,633.35,633.35,632.60,632.95,16662,1786700167613-0,md:candles:1m,1786700171522
1786700219999,SBICARD,1m,632.60,632.95,631.50,631.80,39883,1786700227254-0,md:candles:1m,1786700233604
1786700279999,SBICARD,1m,631.60,632.00,630.25,631.35,21900,1786700285303-0,md:candles:1m,1786700286220
1786700339999,SBICARD,1m,630.90,631.00,630.10,630.90,22586,1786700345665-0,md:candles:1m,1786700351053
1786700399999,SBICARD,1m,630.70,631.00,630.00,630.00,20624,1786700405790-0,md:candles:1m,1786700412580
1786700459999,SBICARD,1m,630.00,630.00,629.20,629.50,61530,1786700465897-0,md:candles:1m,1786700476026
1786700519999,SBICARD,1m,629.50,630.50,629.10,629.95,79933,1786700525433-0,md:candles:1m,1786700529452
1786700579999,SBICARD,1m,630.45,631.70,629.70,630.50,26820,1786700585285-0,md:candles:1m,1786700591306
1786700639999,SBICARD,1m,630.45,630.75,629.50,630.45,33401,1786700646766-0,md:candles:1m,1786700653590
1786700699999,SBICARD,1m,630.00,631.85,629.60,630.20,6000,1786700705443-0,md:candles:1m,1786700715149
1786700759999,SBICARD,1m,631.00,631.00,631.00,631.00,8,1786701008990-0,md:candles:1m,1786701010481
1786701059999,SBICARD,1m,631.00,631.00,631.00,631.00,1882,1786701070989-0,md:candles:1m,1786701071890
1786701119999,SBICARD,1m,631.00,631.00,631.00,631.00,349,1786701127669-0,md:candles:1m,1786701137210
1786701179999,SBICARD,1m,631.00,631.00,631.00,631.00,264,1786701187898-0,md:candles:1m,1786701191510
1786701239999,SBICARD,1m,631.00,631.00,631.00,631.00,138,1786701248087-0,md:candles:1m,1786701248276
1786701299999,SBICARD,1m,631.00,631.00,631.00,631.00,964,1786701310269-0,md:candles:1m,1786701313567
1786701359999,SBICARD,1m,631.00,631.00,631.00,631.00,4804,1786701370049-0,md:candles:1m,1786701379364
1786701419999,SBICARD,1m,631.00,631.00,631.00,631.00,2329,1786701429276-0,md:candles:1m,1786701432770
1786701479999,SBICARD,1m,631.00,631.00,631.00,631.00,4670,1786701492371-0,md:candles:1m,1786701496799
1786701539999,SBICARD,1m,631.00,633.00,631.00,633.00,1551186,1786702807937-0,md:candles:1m,1786702808525
1786702859999,SBICARD,1m,633.00,633.00,633.00,633.00,21,1786703230205-0,md:candles:1m,1786703239900
1786703279999,SBICARD,1m,633.00,633.00,633.00,633.00,1,1786703404714-0,md:candles:1m,1786703412816
1786699799999,SBICARD,30m,634.15,634.45,632.65,632.75,40183,1786699870856-0,md:candles:30m,1786699872287
1786701599999,SBICARD,30m,632.70,633.45,629.10,633.00,1917902,1786703230209-0,md:candles:30m,1786703237212
1786699199999,SBICARD,5m,634.15,634.45,633.20,633.20,5965,1786699266906-0,md:candles:5m,1786699276624
1786699499999,SBICARD,5m,633.20,634.10,632.85,632.85,10501,1786699570169-0,md:candles:5m,1786699570970
1786699799999,SBICARD,5m,632.85,633.25,632.65,632.75,23717,1786699870853-0,md:candles:5m,1786699880291
1786700099999,SBICARD,5m,632.70,633.45,632.70,633.35,21969,1786700167618-0,md:candles:5m,1786700170829
1786700399999,SBICARD,5m,633.35,633.35,630.00,630.00,121655,1786700465899-0,md:candles:5m,1786700471362
1786700699999,SBICARD,5m,630.00,631.85,629.10,630.20,207684,1786701008992-0,md:candles:5m,1786701013188
1786700999999,SBICARD,5m,631.00,631.00,631.00,631.00,8,1786701070994-0,md:candles:5m,1786701080800
1786701299999,SBICARD,5m,631.00,631.00,631.00,631.00,3597,1786701370051-0,md:candles:5m,1786701379364
1786701599999,SBICARD,5m,631.00,633.00,631.00,633.00,1562989,1786703230207-0,md:candles:5m,1786703240202
1786703099999,SBICARD,5m,633.00,633.00,633.00,633.00,21,1786703404716-0,md:candles:5m,1786703406778
