ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,SBILIFE,10m,1792.90,1792.90,1791.50,1792.20,9694,1786699267391-0,md:candles:10m,1786699276624
1786699799999,SBILIFE,10m,1792.10,1792.90,1790.80,1791.00,24443,1786699866168-0,md:candles:10m,1786699876284
1786700399999,SBILIFE,10m,1791.00,1793.00,1789.50,1790.60,40949,1786700468211-0,md:candles:10m,1786700471301
1786700999999,SBILIFE,10m,1790.80,1794.00,1790.10,1794.00,29457,1786701071688-0,md:candles:10m,1786701080910
1786701599999,SBILIFE,10m,1794.00,1795.00,1794.00,1795.00,554547,1786703228408-0,md:candles:10m,1786703228399
1786702803000,SBILIFE,1d,1792.90,1795.00,1789.50,1795.00,659090,1786702808529-0,md:candles:1d,1786702818543
1786698959999,SBILIFE,1m,1792.90,1792.90,1792.60,1792.80,569,1786698967523-0,md:candles:1m,1786698974630
1786699019999,SBILIFE,1m,1792.60,1792.80,1791.80,1791.80,3981,1786699029587-0,md:candles:1m,1786699041361
1786699079999,SBILIFE,1m,1791.90,1792.80,1791.50,1792.30,2945,1786699090075-0,md:candles:1m,1786699094422
1786699139999,SBILIFE,1m,1792.20,1792.30,1792.00,1792.20,968,1786699147999-0,md:candles:1m,1786699158101
1786699199999,SBILIFE,1m,1792.00,1792.20,1792.00,1792.20,1231,1786699208465-0,md:candles:1m,1786699208603
1786699259999,SBILIFE,1m,1792.10,1792.10,1791.80,1791.80,1723,1786699267387-0,md:candles:1m,1786699273120
1786699319999,SBILIFE,1m,1791.50,1792.90,1791.20,1792.40,4134,1786699327112-0,md:candles:1m,1786699339124
1786699379999,SBILIFE,1m,1792.30,1792.70,1791.80,1792.30,1631,1786699390542-0,md:candles:1m,1786699391745
1786699439999,SBILIFE,1m,1792.30,1792.30,1792.00,1792.30,933,1786699445797-0,md:candles:1m,1786699457822
1786699499999,SBILIFE,1m,1792.20,1792.30,1792.00,1792.00,1118,1786699507393-0,md:candles:1m,1786699511111
1786699559999,SBILIFE,1m,1792.10,1792.10,1792.00,1792.10,1209,1786699570786-0,md:candles:1m,1786699576085
1786699619999,SBILIFE,1m,1792.10,1792.20,1791.80,1791.80,2737,1786699626918-0,md:candles:1m,1786699627296
1786699679999,SBILIFE,1m,1792.20,1792.20,1791.60,1791.90,1517,1786699691200-0,md:candles:1m,1786699701410
1786699739999,SBILIFE,1m,1791.90,1792.20,1790.80,1791.90,7849,1786699750581-0,md:candles:1m,1786699754023
1786699799999,SBILIFE,1m,1791.90,1792.10,1791.00,1791.00,1592,1786699808853-0,md:candles:1m,1786699821286
1786699859999,SBILIFE,1m,1791.00,1793.00,1790.20,1792.60,7860,1786699866118-0,md:candles:1m,1786699871843
1786699919999,SBILIFE,1m,1792.80,1792.80,1792.10,1792.10,1567,1786699928119-0,md:candles:1m,1786699936026
1786699979999,SBILIFE,1m,1792.20,1792.70,1792.20,1792.70,5354,1786699989044-0,md:candles:1m,1786699989617
1786700039999,SBILIFE,1m,1792.70,1792.90,1792.60,1792.80,1684,1786700047179-0,md:candles:1m,1786700051805
1786700099999,SBILIFE,1m,1792.70,1792.80,1792.10,1792.40,1818,1786700105542-0,md:candles:1m,1786700105816
1786700159999,SBILIFE,1m,1792.10,1792.10,1790.10,1791.10,5245,1786700168240-0,md:candles:1m,1786700171522
1786700219999,SBILIFE,1m,1791.00,1791.00,1790.10,1790.10,4744,1786700228481-0,md:candles:1m,1786700233604
1786700279999,SBILIFE,1m,1790.00,1790.00,1789.50,1789.80,3656,1786700285878-0,md:candles:1m,1786700286220
1786700339999,SBILIFE,1m,1790.90,1791.00,1790.80,1790.90,4586,1786700346468-0,md:candles:1m,1786700351053
1786700399999,SBILIFE,1m,1790.90,1790.90,1790.00,1790.60,4435,1786700406578-0,md:candles:1m,1786700412580
1786700459999,SBILIFE,1m,1790.80,1792.10,1790.70,1791.40,5959,1786700468207-0,md:candles:1m,1786700476026
1786700519999,SBILIFE,1m,1791.30,1791.30,1790.40,1790.80,4356,1786700526408-0,md:candles:1m,1786700529452
1786700579999,SBILIFE,1m,1790.20,1792.30,1790.10,1791.90,9944,1786700587068-0,md:candles:1m,1786700591306
1786700639999,SBILIFE,1m,1791.80,1791.80,1790.40,1790.90,3721,1786700647508-0,md:candles:1m,1786700653590
1786700699999,SBILIFE,1m,1790.50,1794.00,1790.10,1794.00,5467,1786700710043-0,md:candles:1m,1786700715149
1786700759999,SBILIFE,1m,1794.00,1794.00,1794.00,1794.00,10,1786701009787-0,md:candles:1m,1786701010481
1786701059999,SBILIFE,1m,1794.00,1794.00,1794.00,1794.00,6358,1786701071685-0,md:candles:1m,1786701071890
1786701119999,SBILIFE,1m,1794.00,1794.00,1794.00,1794.00,36,1786701128263-0,md:candles:1m,1786701137210
1786701179999,SBILIFE,1m,1794.00,1794.00,1794.00,1794.00,248,1786701200512-0,md:candles:1m,1786701203615
1786701239999,SBILIFE,1m,1794.00,1794.00,1794.00,1794.00,99,1786701268711-0,md:candles:1m,1786701271537
1786701299999,SBILIFE,1m,1794.00,1794.00,1794.00,1794.00,0,1786701317874-0,md:candles:1m,1786701324284
1786701359999,SBILIFE,1m,1794.00,1794.00,1794.00,1794.00,1,1786701390101-0,md:candles:1m,1786701390103
1786701419999,SBILIFE,1m,1794.00,1794.00,1794.00,1794.00,69,1786701429877-0,md:candles:1m,1786701432770
1786701479999,SBILIFE,1m,1794.00,1794.00,1794.00,1794.00,934,1786701493207-0,md:candles:1m,1786701496799
1786701539999,SBILIFE,1m,1794.00,1795.00,1794.00,1795.00,546802,1786702808527-0,md:candles:1m,1786702808525
1786702859999,SBILIFE,1m,1795.00,1795.00,1795.00,1795.00,0,1786703228406-0,md:candles:1m,1786703228996
1786703279999,SBILIFE,1m,1795.00,1795.00,1795.00,1795.00,5,1786703389390-0,md:candles:1m,1786703390903
1786699799999,SBILIFE,30m,1792.90,1792.90,1790.80,1791.00,34137,1786699866169-0,md:candles:30m,1786699872287
1786701599999,SBILIFE,30m,1791.00,1795.00,1789.50,1795.00,624953,1786703228410-0,md:candles:30m,1786703237212
1786699199999,SBILIFE,5m,1792.90,1792.90,1791.50,1792.20,9694,1786699267389-0,md:candles:5m,1786699276624
1786699499999,SBILIFE,5m,1792.10,1792.90,1791.20,1792.00,9539,1786699570790-0,md:candles:5m,1786699570970
1786699799999,SBILIFE,5m,1792.10,1792.20,1790.80,1791.00,14904,1786699866167-0,md:candles:5m,1786699868444
1786700099999,SBILIFE,5m,1791.00,1793.00,1790.20,1792.40,18283,1786700168243-0,md:candles:5m,1786700170829
1786700399999,SBILIFE,5m,1792.10,1792.10,1789.50,1790.60,22666,1786700468209-0,md:candles:5m,1786700471362
1786700699999,SBILIFE,5m,1790.80,1794.00,1790.10,1794.00,29447,1786701009789-0,md:candles:5m,1786701013188
1786700999999,SBILIFE,5m,1794.00,1794.00,1794.00,1794.00,10,1786701071686-0,md:candles:5m,1786701080800
1786701299999,SBILIFE,5m,1794.00,1794.00,1794.00,1794.00,6741,1786701390103-0,md:candles:5m,1786701390103
1786701599999,SBILIFE,5m,1794.00,1795.00,1794.00,1795.00,547806,1786703228407-0,md:candles:5m,1786703229106
1786703099999,SBILIFE,5m,1795.00,1795.00,1795.00,1795.00,0,1786703389392-0,md:candles:5m,1786703394978
