ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,SBIN,10m,1067.70,1067.80,1066.10,1066.80,61283,1786699265763-0,md:candles:10m,1786699276624
1786699799999,SBIN,10m,1066.60,1068.10,1066.30,1067.00,126415,1786699869340-0,md:candles:10m,1786699876284
1786700399999,SBIN,10m,1067.00,1067.00,1065.60,1066.10,263179,1786700466318-0,md:candles:10m,1786700471301
1786700999999,SBIN,10m,1065.60,1066.60,1065.30,1065.50,181531,1786701069648-0,md:candles:10m,1786701070102
1786701599999,SBIN,10m,1065.50,1067.70,1065.50,1067.70,6212051,1786702875214-0,md:candles:10m,1786702885431
1786702801000,SBIN,1d,1067.70,1068.10,1065.30,1067.70,6844459,1786702806744-0,md:candles:1d,1786702807233
1786698959999,SBIN,1m,1067.70,1067.80,1067.50,1067.50,1607,1786698965716-0,md:candles:1m,1786698974630
1786699019999,SBIN,1m,1067.80,1067.80,1066.10,1066.20,38671,1786699027903-0,md:candles:1m,1786699028548
1786699079999,SBIN,1m,1066.70,1066.90,1066.20,1066.80,8466,1786699085307-0,md:candles:1m,1786699094422
1786699139999,SBIN,1m,1066.80,1066.90,1066.50,1066.50,6723,1786699145640-0,md:candles:1m,1786699146984
1786699199999,SBIN,1m,1066.90,1066.90,1066.50,1066.80,5816,1786699206721-0,md:candles:1m,1786699208603
1786699259999,SBIN,1m,1066.60,1066.80,1066.30,1066.80,19033,1786699265729-0,md:candles:1m,1786699273120
1786699319999,SBIN,1m,1066.70,1067.60,1066.50,1067.40,20344,1786699325295-0,md:candles:1m,1786699326703
1786699379999,SBIN,1m,1067.00,1068.00,1067.00,1068.00,9354,1786699385399-0,md:candles:1m,1786699391745
1786699439999,SBIN,1m,1068.00,1068.10,1067.30,1067.30,12066,1786699446887-0,md:candles:1m,1786699457822
1786699499999,SBIN,1m,1067.00,1067.90,1066.80,1067.90,12814,1786699506085-0,md:candles:1m,1786699511111
1786699559999,SBIN,1m,1067.80,1067.90,1067.00,1067.60,12604,1786699565557-0,md:candles:1m,1786699576085
1786699619999,SBIN,1m,1067.60,1067.70,1067.20,1067.40,9393,1786699625206-0,md:candles:1m,1786699627296
1786699679999,SBIN,1m,1067.40,1067.40,1067.10,1067.40,5093,1786699686092-0,md:candles:1m,1786699689702
1786699739999,SBIN,1m,1067.40,1067.40,1067.00,1067.30,2978,1786699748075-0,md:candles:1m,1786699754023
1786699799999,SBIN,1m,1067.40,1067.40,1067.00,1067.00,22736,1786699806489-0,md:candles:1m,1786699807941
1786699859999,SBIN,1m,1067.00,1067.00,1066.40,1066.80,23386,1786699869336-0,md:candles:1m,1786699871843
1786699919999,SBIN,1m,1066.90,1066.90,1066.50,1066.70,16798,1786699926115-0,md:candles:1m,1786699936026
1786699979999,SBIN,1m,1066.90,1066.90,1066.20,1066.50,15909,1786699987202-0,md:candles:1m,1786699989617
1786700039999,SBIN,1m,1066.40,1066.70,1066.10,1066.50,19646,1786700047510-0,md:candles:1m,1786700051805
1786700099999,SBIN,1m,1066.20,1066.80,1066.10,1066.40,17262,1786700105757-0,md:candles:1m,1786700105816
1786700159999,SBIN,1m,1066.20,1066.50,1066.00,1066.20,35762,1786700165910-0,md:candles:1m,1786700171522
1786700219999,SBIN,1m,1066.20,1066.20,1065.60,1065.80,58175,1786700225296-0,md:candles:1m,1786700233604
1786700279999,SBIN,1m,1066.00,1066.30,1066.00,1066.10,28178,1786700290781-0,md:candles:1m,1786700298079
1786700339999,SBIN,1m,1066.20,1066.30,1066.00,1066.00,18736,1786700350978-0,md:candles:1m,1786700351053
1786700399999,SBIN,1m,1066.00,1066.30,1065.90,1066.10,29327,1786700410354-0,md:candles:1m,1786700412580
1786700459999,SBIN,1m,1065.60,1066.00,1065.30,1066.00,29663,1786700466311-0,md:candles:1m,1786700476026
1786700519999,SBIN,1m,1066.00,1066.00,1065.70,1065.90,22887,1786700527512-0,md:candles:1m,1786700529452
1786700579999,SBIN,1m,1066.00,1066.40,1065.50,1066.20,86352,1786700592024-0,md:candles:1m,1786700602905
1786700639999,SBIN,1m,1066.00,1066.60,1066.00,1066.20,23641,1786700645621-0,md:candles:1m,1786700653590
1786700699999,SBIN,1m,1066.20,1066.50,1065.90,1066.40,18507,1786700708147-0,md:candles:1m,1786700715149
1786700759999,SBIN,1m,1065.50,1065.50,1065.50,1065.50,481,1786701007282-0,md:candles:1m,1786701010481
1786701059999,SBIN,1m,1065.50,1065.50,1065.50,1065.50,72331,1786701069637-0,md:candles:1m,1786701071890
1786701119999,SBIN,1m,1065.50,1065.50,1065.50,1065.50,1687,1786701126275-0,md:candles:1m,1786701126761
1786701179999,SBIN,1m,1065.50,1065.50,1065.50,1065.50,1530,1786701186721-0,md:candles:1m,1786701191510
1786701239999,SBIN,1m,1065.50,1065.50,1065.50,1065.50,1435,1786701246722-0,md:candles:1m,1786701248276
1786701299999,SBIN,1m,1065.50,1065.50,1065.50,1065.50,2341,1786701308868-0,md:candles:1m,1786701313567
1786701359999,SBIN,1m,1065.50,1065.50,1065.50,1065.50,553,1786701368657-0,md:candles:1m,1786701379364
1786701419999,SBIN,1m,1065.50,1065.50,1065.50,1065.50,297,1786701427672-0,md:candles:1m,1786701432770
1786701479999,SBIN,1m,1065.50,1065.50,1065.50,1065.50,2708,1786701490669-0,md:candles:1m,1786701496799
1786701539999,SBIN,1m,1065.50,1067.70,1065.50,1067.70,6129169,1786702806742-0,md:candles:1m,1786702808525
1786702859999,SBIN,1m,1067.70,1067.70,1067.70,1067.70,2005,1786702875210-0,md:candles:1m,1786702884923
1786702919999,SBIN,1m,1067.70,1067.70,1067.70,1067.70,1870,1786702946500-0,md:candles:1m,1786702947398
1786702979999,SBIN,1m,1067.70,1067.70,1067.70,1067.70,285,1786702990440-0,md:candles:1m,1786702990427
1786703039999,SBIN,1m,1067.70,1067.70,1067.70,1067.70,1819,1786703045512-0,md:candles:1m,1786703055708
1786703099999,SBIN,1m,1067.70,1067.70,1067.70,1067.70,529,1786703128303-0,md:candles:1m,1786703130010
1786703159999,SBIN,1m,1067.70,1067.70,1067.70,1067.70,1,1786703176558-0,md:candles:1m,1786703185263
1786703219999,SBIN,1m,1067.70,1067.70,1067.70,1067.70,200,1786703262130-0,md:candles:1m,1786703271541
1786703279999,SBIN,1m,1067.70,1067.70,1067.70,1067.70,12,1786703312498-0,md:candles:1m,1786703314394
1786703339999,SBIN,1m,1067.70,1067.70,1067.70,1067.70,1,1786703393098-0,md:candles:1m,1786703401611
1786699799999,SBIN,30m,1067.70,1068.10,1066.10,1067.00,187698,1786699869341-0,md:candles:30m,1786699872287
1786701599999,SBIN,30m,1067.00,1067.70,1065.30,1067.70,6656761,1786702875215-0,md:candles:30m,1786702882739
1786699199999,SBIN,5m,1067.70,1067.80,1066.10,1066.80,61283,1786699265761-0,md:candles:5m,1786699276624
1786699499999,SBIN,5m,1066.60,1068.10,1066.30,1067.90,73611,1786699565559-0,md:candles:5m,1786699570970
1786699799999,SBIN,5m,1067.80,1067.90,1067.00,1067.00,52804,1786699869338-0,md:candles:5m,1786699880291
1786700099999,SBIN,5m,1067.00,1067.00,1066.10,1066.40,93001,1786700165914-0,md:candles:5m,1786700170829
1786700399999,SBIN,5m,1066.20,1066.50,1065.60,1066.10,170178,1786700466317-0,md:candles:5m,1786700471362
1786700699999,SBIN,5m,1065.60,1066.60,1065.30,1066.40,181050,1786701007284-0,md:candles:5m,1786701013188
1786700999999,SBIN,5m,1065.50,1065.50,1065.50,1065.50,481,1786701069647-0,md:candles:5m,1786701080800
1786701299999,SBIN,5m,1065.50,1065.50,1065.50,1065.50,79324,1786701368659-0,md:candles:5m,1786701379364
1786701599999,SBIN,5m,1065.50,1067.70,1065.50,1067.70,6132727,1786702875212-0,md:candles:5m,1786702884923
1786703099999,SBIN,5m,1067.70,1067.70,1067.70,1067.70,6508,1786703176560-0,md:candles:5m,1786703185279
