ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,SHREECEM,10m,24700.00,24715.00,24685.00,24685.00,610,1786699268386-0,md:candles:10m,1786699276624
1786699799999,SHREECEM,10m,24690.00,24760.00,24680.00,24750.00,2922,1786699865232-0,md:candles:10m,1786699876284
1786700399999,SHREECEM,10m,24740.00,24740.00,24690.00,24715.00,3644,1786700469378-0,md:candles:10m,1786700471301
1786700999999,SHREECEM,10m,24725.00,24750.00,24700.00,24700.00,2281,1786701085504-0,md:candles:10m,1786701092722
1786702804000,SHREECEM,1d,24700.00,24795.00,24680.00,24795.00,60456,1786702809830-0,md:candles:1d,1786702818543
1786698959999,SHREECEM,1m,24700.00,24715.00,24700.00,24715.00,30,1786698968318-0,md:candles:1m,1786698974630
1786699019999,SHREECEM,1m,24715.00,24715.00,24695.00,24695.00,51,1786699025921-0,md:candles:1m,1786699028548
1786699079999,SHREECEM,1m,24695.00,24710.00,24695.00,24700.00,207,1786699090902-0,md:candles:1m,1786699094422
1786699139999,SHREECEM,1m,24705.00,24705.00,24685.00,24685.00,236,1786699149330-0,md:candles:1m,1786699158101
1786699199999,SHREECEM,1m,24690.00,24695.00,24685.00,24685.00,86,1786699205687-0,md:candles:1m,1786699208603
1786699259999,SHREECEM,1m,24690.00,24700.00,24685.00,24685.00,265,1786699268382-0,md:candles:1m,1786699273120
1786699319999,SHREECEM,1m,24695.00,24700.00,24680.00,24680.00,162,1786699328111-0,md:candles:1m,1786699339124
1786699379999,SHREECEM,1m,24685.00,24705.00,24685.00,24690.00,379,1786699390756-0,md:candles:1m,1786699391745
1786699439999,SHREECEM,1m,24685.00,24705.00,24680.00,24690.00,177,1786699449667-0,md:candles:1m,1786699457822
1786699499999,SHREECEM,1m,24690.00,24690.00,24685.00,24685.00,100,1786699508777-0,md:candles:1m,1786699511111
1786699559999,SHREECEM,1m,24685.00,24685.00,24685.00,24685.00,78,1786699565919-0,md:candles:1m,1786699576085
1786699619999,SHREECEM,1m,24690.00,24700.00,24685.00,24685.00,196,1786699631537-0,md:candles:1m,1786699639246
1786699679999,SHREECEM,1m,24690.00,24705.00,24685.00,24705.00,143,1786699685604-0,md:candles:1m,1786699689702
1786699739999,SHREECEM,1m,24680.00,24730.00,24680.00,24710.00,459,1786699745186-0,md:candles:1m,1786699754023
