ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,SHRIRAMFIN,10m,1127.80,1128.70,1126.90,1128.00,47396,1786699266394-0,md:candles:10m,1786699276624
1786699799999,SHRIRAMFIN,10m,1127.80,1128.90,1127.50,1127.80,164615,1786699869998-0,md:candles:10m,1786699876284
1786700399999,SHRIRAMFIN,10m,1127.90,1128.90,1125.10,1126.00,162878,1786700466450-0,md:candles:10m,1786700471301
1786700999999,SHRIRAMFIN,10m,1125.90,1127.30,1122.00,1124.90,85117,1786701070196-0,md:candles:10m,1786701080910
1786701599999,SHRIRAMFIN,10m,1124.90,1124.90,1122.00,1122.00,2441624,1786702882828-0,md:candles:10m,1786702885431
1786702802000,SHRIRAMFIN,1d,1127.80,1128.90,1122.00,1122.00,2901630,1786702807243-0,md:candles:1d,1786702818543
1786698959999,SHRIRAMFIN,1m,1127.80,1128.70,1127.70,1128.70,6291,1786698965480-0,md:candles:1m,1786698974630
1786699019999,SHRIRAMFIN,1m,1128.30,1128.40,1127.00,1127.50,12854,1786699025420-0,md:candles:1m,1786699028548
1786699079999,SHRIRAMFIN,1m,1127.40,1127.60,1126.90,1127.40,7062,1786699085715-0,md:candles:1m,1786699094422
1786699139999,SHRIRAMFIN,1m,1127.30,1128.00,1127.30,1127.90,10175,1786699146185-0,md:candles:1m,1786699146984
1786699199999,SHRIRAMFIN,1m,1128.00,1128.00,1127.40,1128.00,11014,1786699207169-0,md:candles:1m,1786699208603
1786699259999,SHRIRAMFIN,1m,1127.80,1128.00,1127.50,1128.00,12253,1786699266381-0,md:candles:1m,1786699273120
1786699319999,SHRIRAMFIN,1m,1128.00,1128.50,1127.60,1127.60,26443,1786699325881-0,md:candles:1m,1786699326703
1786699379999,SHRIRAMFIN,1m,1127.90,1128.00,1127.60,1128.00,14033,1786699388709-0,md:candles:1m,1786699391745
1786699439999,SHRIRAMFIN,1m,1128.00,1128.00,1127.50,1128.00,14412,1786699447389-0,md:candles:1m,1786699457822
1786699499999,SHRIRAMFIN,1m,1127.60,1128.00,1127.60,1128.00,15485,1786699506047-0,md:candles:1m,1786699511111
1786699559999,SHRIRAMFIN,1m,1128.00,1128.60,1128.00,1128.60,14746,1786699568858-0,md:candles:1m,1786699576085
1786699619999,SHRIRAMFIN,1m,1128.30,1128.90,1128.30,1128.70,14814,1786699628624-0,md:candles:1m,1786699639246
1786699679999,SHRIRAMFIN,1m,1128.60,1128.60,1127.90,1128.00,19663,1786699688968-0,md:candles:1m,1786699689702
1786699739999,SHRIRAMFIN,1m,1128.40,1128.40,1127.80,1128.20,17119,1786699748994-0,md:candles:1m,1786699754023
1786699799999,SHRIRAMFIN,1m,1128.40,1128.70,1127.60,1127.80,15647,1786699807046-0,md:candles:1m,1786699807941
1786699859999,SHRIRAMFIN,1m,1127.90,1128.00,1127.00,1127.90,16798,1786699869991-0,md:candles:1m,1786699871843
