ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,SIEMENS,10m,3962.60,3966.40,3960.10,3965.00,1839,1786699267195-0,md:candles:10m,1786699276624
1786699799999,SIEMENS,10m,3965.00,3969.40,3952.30,3952.30,17531,1786699866028-0,md:candles:10m,1786699876284
1786700399999,SIEMENS,10m,3953.00,3953.10,3933.10,3936.80,16199,1786700465389-0,md:candles:10m,1786700471301
1786700999999,SIEMENS,10m,3938.00,3938.00,3928.20,3936.00,10422,1786701071398-0,md:candles:10m,1786701080910
1786701599999,SIEMENS,10m,3936.00,3940.00,3936.00,3940.00,301480,1786702914675-0,md:candles:10m,1786702916373
1786702803000,SIEMENS,1d,3962.60,3969.40,3928.20,3940.00,347471,1786702808243-0,md:candles:1d,1786702818543
1786698959999,SIEMENS,1m,3962.60,3963.50,3960.10,3961.30,359,1786698966407-0,md:candles:1m,1786698974630
1786699019999,SIEMENS,1m,3961.30,3963.60,3960.20,3962.00,217,1786699025751-0,md:candles:1m,1786699028548
1786699079999,SIEMENS,1m,3962.00,3965.90,3960.30,3965.90,666,1786699085812-0,md:candles:1m,1786699094422
1786699139999,SIEMENS,1m,3965.00,3966.00,3965.00,3965.00,382,1786699147481-0,md:candles:1m,1786699158101
1786699199999,SIEMENS,1m,3965.00,3966.40,3965.00,3965.00,215,1786699208836-0,md:candles:1m,1786699221468
1786699259999,SIEMENS,1m,3965.00,3966.70,3965.00,3965.70,109,1786699267191-0,md:candles:1m,1786699273120
1786699319999,SIEMENS,1m,3965.00,3965.10,3965.00,3965.00,154,1786699326829-0,md:candles:1m,1786699339124
1786699379999,SIEMENS,1m,3965.00,3965.90,3965.00,3965.90,244,1786699385873-0,md:candles:1m,1786699391745
1786699439999,SIEMENS,1m,3966.00,3969.40,3965.00,3967.80,13253,1786699445823-0,md:candles:1m,1786699457822
1786699499999,SIEMENS,1m,3967.60,3967.60,3965.00,3965.30,215,1786699505656-0,md:candles:1m,1786699511111
1786699559999,SIEMENS,1m,3965.90,3967.40,3965.00,3965.00,360,1786699565277-0,md:candles:1m,1786699565357
1786699619999,SIEMENS,1m,3965.00,3965.80,3965.00,3965.00,266,1786699626113-0,md:candles:1m,1786699627296
1786699679999,SIEMENS,1m,3965.00,3966.40,3959.00,3959.00,2272,1786699689955-0,md:candles:1m,1786699701410
1786699739999,SIEMENS,1m,3956.90,3957.20,3954.20,3955.40,476,1786699749171-0,md:candles:1m,1786699754023
1786699799999,SIEMENS,1m,3955.40,3955.40,3952.30,3952.30,182,1786699808442-0,md:candles:1m,1786699821286
1786699859999,SIEMENS,1m,3953.00,3953.10,3951.10,3952.80,1105,1786699866021-0,md:candles:1m,1786699871843
1786699919999,SIEMENS,1m,3953.00,3953.00,3944.50,3944.80,1243,1786699925609-0,md:candles:1m,1786699936026
1786699979999,SIEMENS,1m,3944.90,3945.00,3942.30,3943.30,1360,1786699985934-0,md:candles:1m,1786699989617
1786700039999,SIEMENS,1m,3944.70,3949.40,3943.00,3946.10,728,1786700045590-0,md:candles:1m,1786700051805
1786700099999,SIEMENS,1m,3948.30,3948.60,3944.60,3945.90,1107,1786700105289-0,md:candles:1m,1786700105816
1786700159999,SIEMENS,1m,3947.50,3947.50,3940.00,3940.10,1976,1786700165614-0,md:candles:1m,1786700171522
1786700219999,SIEMENS,1m,3942.10,3942.10,3935.00,3937.50,2799,1786700226257-0,md:candles:1m,1786700233604
1786700279999,SIEMENS,1m,3937.50,3938.00,3933.10,3936.60,2323,1786700285236-0,md:candles:1m,1786700286220
1786700339999,SIEMENS,1m,3937.00,3937.00,3936.00,3936.80,836,1786700346381-0,md:candles:1m,1786700351053
1786700399999,SIEMENS,1m,3936.90,3937.00,3934.10,3936.80,2722,1786700406139-0,md:candles:1m,1786700412580
1786700459999,SIEMENS,1m,3938.00,3938.00,3932.00,3937.90,2081,1786700465378-0,md:candles:1m,1786700476026
1786700519999,SIEMENS,1m,3935.30,3936.90,3933.80,3936.40,867,1786700525395-0,md:candles:1m,1786700529452
1786700579999,SIEMENS,1m,3936.90,3936.90,3928.20,3935.50,5512,1786700586804-0,md:candles:1m,1786700591306
1786700639999,SIEMENS,1m,3933.10,3936.80,3933.10,3936.60,954,1786700645254-0,md:candles:1m,1786700653590
1786700699999,SIEMENS,1m,3936.60,3936.60,3930.00,3936.00,1008,1786700705731-0,md:candles:1m,1786700715149
1786700759999,SIEMENS,1m,3936.00,3936.00,3936.00,3936.00,0,1786701009309-0,md:candles:1m,1786701010481
1786701059999,SIEMENS,1m,3936.00,3936.00,3936.00,3936.00,809,1786701071394-0,md:candles:1m,1786701071890
1786701119999,SIEMENS,1m,3936.00,3936.00,3936.00,3936.00,58,1786701140193-0,md:candles:1m,1786701149293
1786701179999,SIEMENS,1m,3936.00,3936.00,3936.00,3936.00,15,1786701206133-0,md:candles:1m,1786701215027
1786701239999,SIEMENS,1m,3936.00,3936.00,3936.00,3936.00,14,1786701248438-0,md:candles:1m,1786701260413
1786701299999,SIEMENS,1m,3936.00,3936.00,3936.00,3936.00,1779,1786701310565-0,md:candles:1m,1786701313567
1786701359999,SIEMENS,1m,3936.00,3936.00,3936.00,3936.00,1,1786701370352-0,md:candles:1m,1786701379364
1786701419999,SIEMENS,1m,3936.00,3936.00,3936.00,3936.00,1,1786701436291-0,md:candles:1m,1786701443578
1786701479999,SIEMENS,1m,3936.00,3936.00,3936.00,3936.00,1412,1786701492775-0,md:candles:1m,1786701496799
1786701539999,SIEMENS,1m,3936.00,3940.00,3936.00,3940.00,297391,1786702808241-0,md:candles:1m,1786702808525
1786702859999,SIEMENS,1m,3940.00,3940.00,3940.00,3940.00,33,1786702914670-0,md:candles:1m,1786702916365
1786702919999,SIEMENS,1m,3940.00,3940.00,3940.00,3940.00,1,1786703111783-0,md:candles:1m,1786703118294
1786703159999,SIEMENS,1m,3940.00,3940.00,3940.00,3940.00,26,1786703373693-0,md:candles:1m,1786703380077
1786699799999,SIEMENS,30m,3962.60,3969.40,3952.30,3952.30,19370,1786699866030-0,md:candles:30m,1786699872287
1786701599999,SIEMENS,30m,3953.00,3953.10,3928.20,3940.00,328101,1786702914676-0,md:candles:30m,1786702916376
1786699199999,SIEMENS,5m,3962.60,3966.40,3960.10,3965.00,1839,1786699267193-0,md:candles:5m,1786699276624
1786699499999,SIEMENS,5m,3965.00,3969.40,3965.00,3965.30,13975,1786699565279-0,md:candles:5m,1786699570970
1786699799999,SIEMENS,5m,3965.90,3967.40,3952.30,3952.30,3556,1786699866026-0,md:candles:5m,1786699868444
1786700099999,SIEMENS,5m,3953.00,3953.10,3942.30,3945.90,5543,1786700165621-0,md:candles:5m,1786700170829
1786700399999,SIEMENS,5m,3947.50,3947.50,3933.10,3936.80,10656,1786700465387-0,md:candles:5m,1786700471362
1786700699999,SIEMENS,5m,3938.00,3938.00,3928.20,3936.00,10422,1786701009313-0,md:candles:5m,1786701013188
1786700999999,SIEMENS,5m,3936.00,3936.00,3936.00,3936.00,0,1786701071396-0,md:candles:5m,1786701080800
1786701299999,SIEMENS,5m,3936.00,3936.00,3936.00,3936.00,2675,1786701370354-0,md:candles:5m,1786701379364
1786701599999,SIEMENS,5m,3936.00,3940.00,3936.00,3940.00,298805,1786702914672-0,md:candles:5m,1786702916365
1786703099999,SIEMENS,5m,3940.00,3940.00,3940.00,3940.00,34,1786703373698-0,md:candles:5m,1786703383790
