ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,SOLARINDS,10m,20037.00,20053.00,20028.00,20030.00,1818,1786699267621-0,md:candles:10m,1786699276624
1786699799999,SOLARINDS,10m,20030.00,20054.00,20000.00,20010.00,5492,1786699866177-0,md:candles:10m,1786699876284
1786700399999,SOLARINDS,10m,20005.00,20033.00,19909.00,19959.00,21435,1786700465211-0,md:candles:10m,1786700471301
1786700999999,SOLARINDS,10m,19959.00,19998.00,19942.00,19970.00,7208,1786701065415-0,md:candles:10m,1786701070102
1786701599999,SOLARINDS,10m,19970.00,19970.00,19969.00,19969.00,486874,1786702902356-0,md:candles:10m,1786702906259
1786702803000,SOLARINDS,1d,20037.00,20054.00,19909.00,19969.00,522827,1786702808728-0,md:candles:1d,1786702818543
1786698959999,SOLARINDS,1m,20037.00,20041.00,20036.00,20036.00,96,1786698967607-0,md:candles:1m,1786698974630
1786699019999,SOLARINDS,1m,20039.00,20045.00,20031.00,20039.00,397,1786699031427-0,md:candles:1m,1786699041361
1786699079999,SOLARINDS,1m,20046.00,20053.00,20042.00,20044.00,697,1786699087618-0,md:candles:1m,1786699094422
1786699139999,SOLARINDS,1m,20039.00,20051.00,20039.00,20040.00,203,1786699146614-0,md:candles:1m,1786699146984
1786699199999,SOLARINDS,1m,20035.00,20035.00,20028.00,20030.00,425,1786699208609-0,md:candles:1m,1786699221468
1786699259999,SOLARINDS,1m,20030.00,20054.00,20030.00,20049.00,582,1786699267610-0,md:candles:1m,1786699273120
1786699319999,SOLARINDS,1m,20048.00,20050.00,20030.00,20050.00,641,1786699326879-0,md:candles:1m,1786699339124
1786699379999,SOLARINDS,1m,20050.00,20051.00,20036.00,20040.00,451,1786699386394-0,md:candles:1m,1786699391745
1786699439999,SOLARINDS,1m,20040.00,20040.00,20020.00,20030.00,730,1786699447794-0,md:candles:1m,1786699457822
1786699499999,SOLARINDS,1m,20028.00,20028.00,20007.00,20016.00,813,1786699506160-0,md:candles:1m,1786699511111
1786699559999,SOLARINDS,1m,20016.00,20030.00,20010.00,20030.00,674,1786699569913-0,md:candles:1m,1786699576085
1786699619999,SOLARINDS,1m,20022.00,20023.00,20010.00,20011.00,212,1786699626701-0,md:candles:1m,1786699627296
1786699679999,SOLARINDS,1m,20011.00,20015.00,20005.00,20015.00,527,1786699689966-0,md:candles:1m,1786699701410
1786699739999,SOLARINDS,1m,20016.00,20016.00,20001.00,20002.00,255,1786699749979-0,md:candles:1m,1786699754023
1786699799999,SOLARINDS,1m,20000.00,20010.00,20000.00,20010.00,607,1786699808977-0,md:candles:1m,1786699821286
1786699859999,SOLARINDS,1m,20005.00,20005.00,19964.00,19964.00,2670,1786699866128-0,md:candles:1m,1786699871843
1786699919999,SOLARINDS,1m,19970.00,19985.00,19948.00,19976.00,2050,1786699925940-0,md:candles:1m,1786699936026
1786699979999,SOLARINDS,1m,19983.00,19988.00,19955.00,19988.00,1844,1786699985905-0,md:candles:1m,1786699989617
1786700039999,SOLARINDS,1m,19989.00,20031.00,19981.00,20012.00,1723,1786700045499-0,md:candles:1m,1786700051805
1786700099999,SOLARINDS,1m,20020.00,20033.00,20004.00,20009.00,1735,1786700106011-0,md:candles:1m,1786700118244
1786700159999,SOLARINDS,1m,20018.00,20026.00,19999.00,20007.00,1557,1786700165154-0,md:candles:1m,1786700171522
1786700219999,SOLARINDS,1m,20000.00,20008.00,19929.00,19937.00,4764,1786700225205-0,md:candles:1m,1786700233604
1786700279999,SOLARINDS,1m,19930.00,19953.00,19909.00,19945.00,1532,1786700285205-0,md:candles:1m,1786700286220
1786700339999,SOLARINDS,1m,19959.00,19964.00,19940.00,19947.00,1190,1786700345483-0,md:candles:1m,1786700351053
1786700399999,SOLARINDS,1m,19960.00,19973.00,19944.00,19959.00,2370,1786700405237-0,md:candles:1m,1786700412580
