ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,SONACOMS,10m,797.95,798.00,797.00,797.00,66183,1786699267204-0,md:candles:10m,1786699276624
1786699799999,SONACOMS,10m,797.00,797.45,794.85,795.40,41743,1786699866150-0,md:candles:10m,1786699876284
1786700399999,SONACOMS,10m,795.40,795.40,793.10,794.50,59676,1786700467470-0,md:candles:10m,1786700471301
1786700999999,SONACOMS,10m,794.55,794.80,793.90,794.60,29872,1786701071403-0,md:candles:10m,1786701080910
1786701599999,SONACOMS,10m,794.60,794.60,792.00,792.00,907851,1786703005251-0,md:candles:10m,1786703016057
1786702803000,SONACOMS,1d,797.95,798.00,792.00,792.00,1105325,1786702808245-0,md:candles:1d,1786702818543
1786698959999,SONACOMS,1m,797.95,798.00,797.55,797.85,3067,1786698967218-0,md:candles:1m,1786698974630
1786699019999,SONACOMS,1m,797.90,797.90,797.00,797.50,4361,1786699031033-0,md:candles:1m,1786699041361
1786699079999,SONACOMS,1m,797.50,797.80,797.00,797.15,14267,1786699089743-0,md:candles:1m,1786699094422
1786699139999,SONACOMS,1m,797.00,797.05,797.00,797.00,32613,1786699147483-0,md:candles:1m,1786699158101
1786699199999,SONACOMS,1m,797.00,797.15,797.00,797.00,11875,1786699208176-0,md:candles:1m,1786699208603
1786699259999,SONACOMS,1m,797.00,797.25,797.00,797.15,2253,1786699267199-0,md:candles:1m,1786699273120
1786699319999,SONACOMS,1m,797.00,797.30,797.00,797.05,2169,1786699326830-0,md:candles:1m,1786699339124
1786699379999,SONACOMS,1m,797.35,797.45,797.00,797.10,1208,1786699385875-0,md:candles:1m,1786699391745
1786699439999,SONACOMS,1m,797.05,797.20,796.15,796.20,12531,1786699448381-0,md:candles:1m,1786699457822
1786699499999,SONACOMS,1m,796.00,796.25,795.70,795.80,818,1786699507017-0,md:candles:1m,1786699511111
1786699559999,SONACOMS,1m,796.20,796.20,795.90,795.95,2194,1786699569895-0,md:candles:1m,1786699576085
1786699619999,SONACOMS,1m,795.65,795.95,795.65,795.85,969,1786699629828-0,md:candles:1m,1786699639246
1786699679999,SONACOMS,1m,795.85,795.85,795.50,795.85,1575,1786699689957-0,md:candles:1m,1786699701410
1786699739999,SONACOMS,1m,795.60,795.85,794.95,795.20,8523,1786699749963-0,md:candles:1m,1786699754023
1786699799999,SONACOMS,1m,794.85,795.45,794.85,795.40,9503,1786699808446-0,md:candles:1m,1786699821286
1786699859999,SONACOMS,1m,795.40,795.40,794.90,794.90,15432,1786699866108-0,md:candles:1m,1786699871843
1786699919999,SONACOMS,1m,795.00,795.00,793.45,793.45,8395,1786699928110-0,md:candles:1m,1786699936026
1786699979999,SONACOMS,1m,793.75,794.70,793.75,794.70,8683,1786699988821-0,md:candles:1m,1786699989617
1786700039999,SONACOMS,1m,794.45,794.95,794.45,794.80,741,1786700049609-0,md:candles:1m,1786700051805
1786700099999,SONACOMS,1m,794.70,794.90,794.65,794.90,1032,1786700105205-0,md:candles:1m,1786700105816
1786700159999,SONACOMS,1m,794.90,794.90,793.65,794.35,4777,1786700168089-0,md:candles:1m,1786700171522
1786700219999,SONACOMS,1m,794.30,794.35,793.55,793.55,3405,1786700227264-0,md:candles:1m,1786700233604
1786700279999,SONACOMS,1m,793.30,794.00,793.10,793.80,5405,1786700285736-0,md:candles:1m,1786700286220
1786700339999,SONACOMS,1m,793.65,794.80,793.65,794.75,5397,1786700346389-0,md:candles:1m,1786700351053
1786700399999,SONACOMS,1m,795.00,795.00,794.50,794.50,6409,1786700406141-0,md:candles:1m,1786700412580
1786700459999,SONACOMS,1m,794.55,794.55,794.00,794.55,7725,1786700467451-0,md:candles:1m,1786700476026
1786700519999,SONACOMS,1m,794.50,794.80,794.10,794.55,7814,1786700525443-0,md:candles:1m,1786700529452
1786700579999,SONACOMS,1m,794.50,794.55,794.00,794.20,7416,1786700586810-0,md:candles:1m,1786700591306
1786700639999,SONACOMS,1m,794.15,794.70,793.90,794.50,4064,1786700647075-0,md:candles:1m,1786700653590
1786700699999,SONACOMS,1m,794.20,794.60,794.15,794.60,2853,1786700709745-0,md:candles:1m,1786700715149
1786700759999,SONACOMS,1m,794.60,794.60,794.60,794.60,0,1786701009418-0,md:candles:1m,1786701010481
1786701059999,SONACOMS,1m,794.60,794.60,794.60,794.60,6914,1786701071399-0,md:candles:1m,1786701071890
1786701119999,SONACOMS,1m,794.60,794.60,794.60,794.60,184,1786701140199-0,md:candles:1m,1786701149293
1786701179999,SONACOMS,1m,794.60,794.60,794.60,794.60,233,1786701188197-0,md:candles:1m,1786701191510
1786701239999,SONACOMS,1m,794.60,794.60,794.60,794.60,10,1786701280532-0,md:candles:1m,1786701281929
1786701299999,SONACOMS,1m,794.60,794.60,794.60,794.60,149,1786701332701-0,md:candles:1m,1786701336296
1786701359999,SONACOMS,1m,794.60,794.60,794.60,794.60,1,1786701422665-0,md:candles:1m,1786701422662
1786701419999,SONACOMS,1m,794.60,794.60,794.60,794.60,192,1786701500779-0,md:candles:1m,1786701507390
1786701539999,SONACOMS,1m,794.60,794.60,792.00,792.00,900168,1786702808244-0,md:candles:1m,1786702808525
1786702859999,SONACOMS,1m,792.00,792.00,792.00,792.00,183,1786703005248-0,md:candles:1m,1786703011147
