ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,SRF,10m,2597.00,2597.70,2595.40,2597.00,3949,1786699266311-0,md:candles:10m,1786699276624
1786699799999,SRF,10m,2597.00,2616.00,2596.10,2608.60,14274,1786699865222-0,md:candles:10m,1786699876284
1786700399999,SRF,10m,2609.90,2615.80,2606.00,2609.30,19345,1786700466529-0,md:candles:10m,1786700471301
1786700999999,SRF,10m,2609.20,2609.20,2603.00,2603.00,4687,1786701070009-0,md:candles:10m,1786701070102
1786702816000,SRF,1d,2597.00,2616.00,2595.40,2606.00,209886,1786702821565-0,md:candles:1d,1786702829578
1786698959999,SRF,1m,2597.00,2597.00,2596.70,2597.00,497,1786698966110-0,md:candles:1m,1786698974630
1786699019999,SRF,1m,2597.00,2597.00,2595.40,2596.90,1375,1786699027953-0,md:candles:1m,1786699028548
1786699079999,SRF,1m,2597.00,2597.00,2596.00,2597.00,845,1786699085709-0,md:candles:1m,1786699094422
1786699139999,SRF,1m,2596.20,2597.70,2596.10,2596.30,457,1786699145484-0,md:candles:1m,1786699146984
1786699199999,SRF,1m,2597.00,2597.00,2596.30,2597.00,775,1786699207093-0,md:candles:1m,1786699208603
1786699259999,SRF,1m,2597.00,2597.60,2596.40,2596.50,453,1786699266300-0,md:candles:1m,1786699273120
1786699319999,SRF,1m,2596.50,2597.00,2596.40,2596.40,556,1786699325603-0,md:candles:1m,1786699326703
1786699379999,SRF,1m,2596.40,2597.00,2596.40,2597.00,607,1786699388515-0,md:candles:1m,1786699391745
1786699439999,SRF,1m,2597.00,2597.00,2596.40,2597.00,361,1786699447190-0,md:candles:1m,1786699457822
1786699499999,SRF,1m,2597.00,2597.00,2596.10,2597.00,871,1786699505583-0,md:candles:1m,1786699511111
1786699559999,SRF,1m,2596.20,2597.00,2596.10,2597.00,643,1786699565157-0,md:candles:1m,1786699565357
1786699619999,SRF,1m,2596.20,2597.00,2596.20,2597.00,592,1786699628419-0,md:candles:1m,1786699639246
1786699679999,SRF,1m,2597.00,2601.40,2597.00,2601.30,1102,1786699685601-0,md:candles:1m,1786699689702
1786699739999,SRF,1m,2600.00,2616.00,2599.70,2614.90,6694,1786699745998-0,md:candles:1m,1786699754023
1786699799999,SRF,1m,2614.90,2614.90,2608.60,2608.60,2395,1786699805253-0,md:candles:1m,1786699807941
1786699859999,SRF,1m,2609.90,2610.00,2606.90,2607.20,503,1786699865218-0,md:candles:1m,1786699871843
1786699919999,SRF,1m,2607.20,2607.70,2606.10,2607.70,428,1786699926145-0,md:candles:1m,1786699936026
1786699979999,SRF,1m,2607.00,2608.30,2606.40,2608.30,725,1786699987447-0,md:candles:1m,1786699989617
1786700039999,SRF,1m,2607.30,2608.30,2606.20,2606.20,448,1786700048050-0,md:candles:1m,1786700051805
1786700099999,SRF,1m,2606.50,2615.80,2606.00,2612.40,6580,1786700107430-0,md:candles:1m,1786700118244
1786700159999,SRF,1m,2611.90,2613.50,2610.70,2612.30,3456,1786700166157-0,md:candles:1m,1786700171522
1786700219999,SRF,1m,2612.20,2614.30,2611.20,2612.20,2866,1786700229228-0,md:candles:1m,1786700233604
1786700279999,SRF,1m,2611.80,2614.60,2611.70,2614.60,1930,1786700286273-0,md:candles:1m,1786700298079
1786700339999,SRF,1m,2612.80,2615.10,2608.70,2608.70,1898,1786700346463-0,md:candles:1m,1786700351053
1786700399999,SRF,1m,2608.70,2609.90,2608.10,2609.30,511,1786700410394-0,md:candles:1m,1786700412580
1786700459999,SRF,1m,2609.20,2609.20,2607.50,2607.50,657,1786700466524-0,md:candles:1m,1786700476026
1786700519999,SRF,1m,2607.50,2608.60,2606.70,2607.60,1156,1786700527800-0,md:candles:1m,1786700529452
1786700579999,SRF,1m,2608.00,2608.00,2606.10,2606.70,1316,1786700585355-0,md:candles:1m,1786700591306
1786700639999,SRF,1m,2605.60,2607.00,2605.60,2606.40,627,1786700645784-0,md:candles:1m,1786700653590
1786700699999,SRF,1m,2605.70,2606.00,2605.00,2605.00,901,1786700708484-0,md:candles:1m,1786700715149
1786700759999,SRF,1m,2603.00,2603.00,2603.00,2603.00,30,1786701007689-0,md:candles:1m,1786701010481
1786701059999,SRF,1m,2603.00,2603.00,2603.00,2603.00,1073,1786701069998-0,md:candles:1m,1786701071890
1786701119999,SRF,1m,2603.00,2603.00,2603.00,2603.00,188,1786701144889-0,md:candles:1m,1786701149293
1786701179999,SRF,1m,2603.00,2603.00,2603.00,2603.00,60,1786701186996-0,md:candles:1m,1786701191510
1786701239999,SRF,1m,2603.00,2603.00,2603.00,2603.00,9,1786701253585-0,md:candles:1m,1786701260413
1786701299999,SRF,1m,2603.00,2603.00,2603.00,2603.00,35,1786701309184-0,md:candles:1m,1786701313567
1786701359999,SRF,1m,2603.00,2603.00,2603.00,2603.00,30,1786701375460-0,md:candles:1m,1786701379364
1786701419999,SRF,1m,2603.00,2603.00,2603.00,2603.00,201,1786701428075-0,md:candles:1m,1786701432770
1786701479999,SRF,1m,2603.00,2603.00,2603.00,2603.00,13,1786701520789-0,md:candles:1m,1786701529772
1786701539999,SRF,1m,2606.00,2606.00,2606.00,2606.00,166022,1786702821562-0,md:candles:1m,1786702831574
1786699799999,SRF,30m,2597.00,2616.00,2595.40,2608.60,18223,1786699865224-0,md:candles:30m,1786699872287
1786699199999,SRF,5m,2597.00,2597.70,2595.40,2597.00,3949,1786699266311-0,md:candles:5m,1786699276624
1786699499999,SRF,5m,2597.00,2597.60,2596.10,2597.00,2848,1786699565160-0,md:candles:5m,1786699570970
1786699799999,SRF,5m,2596.20,2616.00,2596.10,2608.60,11426,1786699865221-0,md:candles:5m,1786699868444
1786700099999,SRF,5m,2609.90,2615.80,2606.00,2612.40,8684,1786700166161-0,md:candles:5m,1786700170829
1786700399999,SRF,5m,2611.90,2615.10,2608.10,2609.30,10661,1786700466528-0,md:candles:5m,1786700471362
1786700699999,SRF,5m,2609.20,2609.20,2605.00,2605.00,4657,1786701007695-0,md:candles:5m,1786701013188
1786700999999,SRF,5m,2603.00,2603.00,2603.00,2603.00,30,1786701070008-0,md:candles:5m,1786701080800
1786701299999,SRF,5m,2603.00,2603.00,2603.00,2603.00,1365,1786701375462-0,md:candles:5m,1786701379364
