ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,SUNPHARMA,10m,1921.80,1922.00,1921.10,1921.50,8885,1786699266615-0,md:candles:10m,1786699276624
1786699799999,SUNPHARMA,10m,1921.90,1923.00,1920.70,1921.40,29100,1786699866058-0,md:candles:10m,1786699876284
1786700399999,SUNPHARMA,10m,1920.70,1921.80,1918.30,1921.50,62875,1786700466487-0,md:candles:10m,1786700471301
1786700999999,SUNPHARMA,10m,1921.50,1921.90,1915.00,1917.00,52237,1786701070595-0,md:candles:10m,1786701080910
1786701599999,SUNPHARMA,10m,1917.00,1930.00,1917.00,1930.00,870763,1786702915070-0,md:candles:10m,1786702916373
1786702802000,SUNPHARMA,1d,1921.80,1930.00,1915.00,1930.00,1023860,1786702807633-0,md:candles:1d,1786702818543
1786698959999,SUNPHARMA,1m,1921.80,1922.00,1921.60,1921.90,492,1786698966843-0,md:candles:1m,1786698974630
1786699019999,SUNPHARMA,1m,1922.00,1922.00,1921.40,1921.60,2749,1786699028627-0,md:candles:1m,1786699041361
1786699079999,SUNPHARMA,1m,1921.70,1922.00,1921.70,1922.00,1231,1786699089105-0,md:candles:1m,1786699094422
1786699139999,SUNPHARMA,1m,1922.00,1922.00,1921.50,1921.90,2659,1786699146766-0,md:candles:1m,1786699146984
1786699199999,SUNPHARMA,1m,1921.90,1921.90,1921.10,1921.50,1754,1786699207600-0,md:candles:1m,1786699208603
1786699259999,SUNPHARMA,1m,1921.90,1922.00,1921.30,1921.90,1467,1786699266612-0,md:candles:1m,1786699273120
1786699319999,SUNPHARMA,1m,1921.70,1922.00,1921.40,1922.00,1709,1786699326175-0,md:candles:1m,1786699326703
1786699379999,SUNPHARMA,1m,1922.00,1922.80,1921.30,1922.20,4824,1786699385413-0,md:candles:1m,1786699391745
1786699439999,SUNPHARMA,1m,1922.50,1922.80,1921.80,1922.80,2303,1786699445384-0,md:candles:1m,1786699445600
1786699499999,SUNPHARMA,1m,1922.50,1923.00,1922.10,1922.60,2226,1786699506103-0,md:candles:1m,1786699511111
1786699559999,SUNPHARMA,1m,1922.30,1922.50,1921.60,1922.10,1593,1786699569661-0,md:candles:1m,1786699576085
1786699619999,SUNPHARMA,1m,1922.10,1922.50,1921.70,1921.70,1501,1786699625968-0,md:candles:1m,1786699627296
1786699679999,SUNPHARMA,1m,1921.80,1922.60,1921.80,1922.50,2361,1786699690197-0,md:candles:1m,1786699701410
1786699739999,SUNPHARMA,1m,1922.50,1922.80,1921.50,1922.40,5909,1786699749027-0,md:candles:1m,1786699754023
1786699799999,SUNPHARMA,1m,1922.70,1922.70,1920.70,1921.40,5207,1786699805484-0,md:candles:1m,1786699807941
1786699859999,SUNPHARMA,1m,1920.70,1921.10,1919.80,1920.60,7295,1786699866037-0,md:candles:1m,1786699871843
1786699919999,SUNPHARMA,1m,1920.60,1921.00,1920.00,1920.70,5180,1786699926021-0,md:candles:1m,1786699936026
1786699979999,SUNPHARMA,1m,1920.20,1921.50,1918.60,1919.10,10423,1786699986082-0,md:candles:1m,1786699989617
1786700039999,SUNPHARMA,1m,1919.10,1920.50,1918.30,1919.90,12761,1786700045520-0,md:candles:1m,1786700051805
1786700099999,SUNPHARMA,1m,1920.10,1920.10,1919.30,1919.70,2966,1786700106148-0,md:candles:1m,1786700118244
