ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,SUPREMEIND,10m,3574.90,3577.40,3563.60,3569.00,6319,1786699267880-0,md:candles:10m,1786699276624
1786699799999,SUPREMEIND,10m,3569.80,3576.30,3565.70,3565.80,9219,1786699865639-0,md:candles:10m,1786699876284
1786700399999,SUPREMEIND,10m,3566.00,3575.70,3560.00,3563.20,13150,1786700465381-0,md:candles:10m,1786700471301
1786700999999,SUPREMEIND,10m,3561.90,3569.00,3558.00,3558.50,6286,1786701066391-0,md:candles:10m,1786701070102
1786701599999,SUPREMEIND,10m,3558.50,3558.90,3558.50,3558.90,239359,1786702925382-0,md:candles:10m,1786702927372
1786702804000,SUPREMEIND,1d,3574.90,3577.40,3558.00,3558.90,274333,1786702809731-0,md:candles:1d,1786702818543
1786698959999,SUPREMEIND,1m,3574.90,3577.40,3573.20,3577.20,762,1786698965310-0,md:candles:1m,1786698974630
1786699019999,SUPREMEIND,1m,3576.40,3577.30,3568.90,3569.30,1634,1786699025481-0,md:candles:1m,1786699028548
1786699079999,SUPREMEIND,1m,3567.50,3569.60,3563.60,3569.60,1059,1786699085205-0,md:candles:1m,1786699094422
1786699139999,SUPREMEIND,1m,3569.60,3570.00,3565.40,3567.40,2048,1786699149083-0,md:candles:1m,1786699158101
1786699199999,SUPREMEIND,1m,3567.40,3571.40,3566.10,3569.00,816,1786699205636-0,md:candles:1m,1786699208603
1786699259999,SUPREMEIND,1m,3569.80,3571.20,3568.00,3568.60,262,1786699267878-0,md:candles:1m,1786699273120
1786699319999,SUPREMEIND,1m,3568.60,3572.40,3568.60,3570.00,1060,1786699325471-0,md:candles:1m,1786699326703
1786699379999,SUPREMEIND,1m,3569.80,3572.90,3569.20,3569.40,1205,1786699385193-0,md:candles:1m,1786699391745
1786699439999,SUPREMEIND,1m,3569.70,3575.90,3569.70,3575.90,1261,1786699446272-0,md:candles:1m,1786699457822
1786699499999,SUPREMEIND,1m,3575.90,3576.30,3573.50,3573.50,932,1786699506280-0,md:candles:1m,1786699511111
1786699559999,SUPREMEIND,1m,3572.10,3572.90,3570.00,3571.00,1184,1786699567668-0,md:candles:1m,1786699576085
1786699619999,SUPREMEIND,1m,3571.30,3573.00,3571.30,3571.90,572,1786699626502-0,md:candles:1m,1786699627296
1786699679999,SUPREMEIND,1m,3571.10,3571.10,3567.90,3567.90,481,1786699685898-0,md:candles:1m,1786699689702
1786699739999,SUPREMEIND,1m,3567.80,3569.60,3565.70,3567.90,2043,1786699746178-0,md:candles:1m,1786699754023
1786699799999,SUPREMEIND,1m,3567.90,3569.00,3565.80,3565.80,219,1786699805243-0,md:candles:1m,1786699807941
1786699859999,SUPREMEIND,1m,3566.00,3569.20,3562.80,3562.80,2372,1786699865631-0,md:candles:1m,1786699871843
1786699919999,SUPREMEIND,1m,3564.20,3567.90,3562.90,3567.10,1234,1786699925818-0,md:candles:1m,1786699936026
1786699979999,SUPREMEIND,1m,3567.40,3575.00,3567.40,3572.90,2134,1786699985936-0,md:candles:1m,1786699989617
1786700039999,SUPREMEIND,1m,3572.90,3575.70,3572.90,3573.00,1473,1786700045391-0,md:candles:1m,1786700051805
1786700099999,SUPREMEIND,1m,3573.00,3573.60,3567.80,3569.40,1184,1786700105617-0,md:candles:1m,1786700105816
1786700159999,SUPREMEIND,1m,3569.40,3569.40,3562.00,3564.10,1213,1786700166111-0,md:candles:1m,1786700171522
1786700219999,SUPREMEIND,1m,3564.10,3564.10,3561.00,3561.00,1356,1786700226042-0,md:candles:1m,1786700233604
1786700279999,SUPREMEIND,1m,3561.40,3561.40,3560.00,3560.10,1023,1786700286361-0,md:candles:1m,1786700298079
1786700339999,SUPREMEIND,1m,3561.20,3561.40,3560.00,3561.40,548,1786700345725-0,md:candles:1m,1786700351053
1786700399999,SUPREMEIND,1m,3562.00,3564.50,3561.00,3563.20,613,1786700405370-0,md:candles:1m,1786700412580
1786700459999,SUPREMEIND,1m,3561.90,3563.20,3561.50,3561.60,1723,1786700465377-0,md:candles:1m,1786700476026
1786700519999,SUPREMEIND,1m,3561.90,3564.90,3560.00,3563.20,1052,1786700525176-0,md:candles:1m,1786700529452
1786700579999,SUPREMEIND,1m,3563.20,3569.00,3561.10,3563.40,1696,1786700585428-0,md:candles:1m,1786700591306
1786700639999,SUPREMEIND,1m,3564.00,3569.00,3561.00,3562.00,1151,1786700645550-0,md:candles:1m,1786700653590
