ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,SUZLON,10m,47.30,47.33,47.28,47.31,287418,1786699265770-0,md:candles:10m,1786699276624
1786699799999,SUZLON,10m,47.33,47.34,47.26,47.28,680150,1786699869366-0,md:candles:10m,1786699876284
1786700399999,SUZLON,10m,47.28,47.28,47.20,47.22,1304009,1786700465482-0,md:candles:10m,1786700471301
1786700999999,SUZLON,10m,47.20,47.22,47.13,47.20,1345923,1786701069693-0,md:candles:10m,1786701070102
1786701599999,SUZLON,10m,47.20,47.20,47.10,47.10,25863300,1786702869510-0,md:candles:10m,1786702875014
1786702801000,SUZLON,1d,47.30,47.34,47.10,47.10,29480800,1786702806755-0,md:candles:1d,1786702807233
1786698959999,SUZLON,1m,47.30,47.31,47.29,47.30,4754,1786698965845-0,md:candles:1m,1786698974630
1786699019999,SUZLON,1m,47.30,47.31,47.30,47.30,32720,1786699027907-0,md:candles:1m,1786699028548
1786699079999,SUZLON,1m,47.29,47.31,47.28,47.30,134842,1786699088326-0,md:candles:1m,1786699094422
1786699139999,SUZLON,1m,47.30,47.32,47.30,47.30,29352,1786699145686-0,md:candles:1m,1786699146984
1786699199999,SUZLON,1m,47.30,47.33,47.30,47.31,85750,1786699206780-0,md:candles:1m,1786699208603
1786699259999,SUZLON,1m,47.33,47.33,47.30,47.32,61877,1786699265742-0,md:candles:1m,1786699273120
1786699319999,SUZLON,1m,47.32,47.32,47.29,47.31,54920,1786699325304-0,md:candles:1m,1786699326703
1786699379999,SUZLON,1m,47.28,47.32,47.28,47.31,76368,1786699388213-0,md:candles:1m,1786699391745
1786699439999,SUZLON,1m,47.31,47.34,47.30,47.33,74378,1786699446897-0,md:candles:1m,1786699457822
1786699499999,SUZLON,1m,47.32,47.34,47.31,47.33,33497,1786699505181-0,md:candles:1m,1786699511111
1786699559999,SUZLON,1m,47.32,47.34,47.30,47.32,67683,1786699568691-0,md:candles:1m,1786699576085
1786699619999,SUZLON,1m,47.32,47.32,47.30,47.32,81456,1786699628147-0,md:candles:1m,1786699639246
1786699679999,SUZLON,1m,47.32,47.32,47.29,47.30,71422,1786699687987-0,md:candles:1m,1786699689702
1786699739999,SUZLON,1m,47.32,47.32,47.28,47.30,100799,1786699748078-0,md:candles:1m,1786699754023
1786699799999,SUZLON,1m,47.28,47.30,47.26,47.28,57750,1786699806590-0,md:candles:1m,1786699807941
1786699859999,SUZLON,1m,47.28,47.28,47.25,47.26,50184,1786699869351-0,md:candles:1m,1786699871843
1786699919999,SUZLON,1m,47.26,47.28,47.23,47.24,247888,1786699926125-0,md:candles:1m,1786699936026
1786699979999,SUZLON,1m,47.23,47.24,47.23,47.24,52243,1786699987215-0,md:candles:1m,1786699989617
1786700039999,SUZLON,1m,47.24,47.24,47.22,47.24,132568,1786700047603-0,md:candles:1m,1786700051805
1786700099999,SUZLON,1m,47.24,47.24,47.22,47.24,122983,1786700110313-0,md:candles:1m,1786700118244
1786700159999,SUZLON,1m,47.24,47.26,47.24,47.24,185711,1786700166499-0,md:candles:1m,1786700171522
1786700219999,SUZLON,1m,47.24,47.26,47.22,47.23,149207,1786700225299-0,md:candles:1m,1786700233604
1786700279999,SUZLON,1m,47.22,47.25,47.22,47.23,171339,1786700290891-0,md:candles:1m,1786700298079
1786700339999,SUZLON,1m,47.23,47.23,47.20,47.20,55080,1786700350985-0,md:candles:1m,1786700351053
1786700399999,SUZLON,1m,47.20,47.22,47.20,47.22,136806,1786700410357-0,md:candles:1m,1786700412580
1786700459999,SUZLON,1m,47.20,47.22,47.19,47.19,126469,1786700465445-0,md:candles:1m,1786700476026
1786700519999,SUZLON,1m,47.20,47.20,47.19,47.19,159121,1786700527524-0,md:candles:1m,1786700529452
1786700579999,SUZLON,1m,47.19,47.19,47.16,47.18,462458,1786700592084-0,md:candles:1m,1786700602905
1786700639999,SUZLON,1m,47.18,47.18,47.13,47.18,407351,1786700645563-0,md:candles:1m,1786700653590
1786700699999,SUZLON,1m,47.17,47.19,47.16,47.19,183005,1786700708157-0,md:candles:1m,1786700715149
1786700759999,SUZLON,1m,47.20,47.20,47.20,47.20,7519,1786701007295-0,md:candles:1m,1786701010481
1786701059999,SUZLON,1m,47.20,47.20,47.20,47.20,383473,1786701069689-0,md:candles:1m,1786701071890
