ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,SYNGENE,10m,401.80,401.80,401.45,401.60,3019,1786699278202-0,md:candles:10m,1786699288226
1786699799999,SYNGENE,10m,401.60,401.80,401.00,401.55,8104,1786699869852-0,md:candles:10m,1786699876284
1786700399999,SYNGENE,10m,401.75,402.20,401.25,401.80,26752,1786700466437-0,md:candles:10m,1786700471301
1786700999999,SYNGENE,10m,401.80,401.85,401.20,401.20,25047,1786701070100-0,md:candles:10m,1786701070102
1786701599999,SYNGENE,10m,401.20,402.00,401.00,401.00,19735,1786701701399-0,md:candles:10m,1786701708808
1786701600000,SYNGENE,1d,401.80,402.20,401.00,401.00,82657,1786701605945-0,md:candles:1d,1786701615808
1786698959999,SYNGENE,1m,401.80,401.80,401.80,401.80,25,1786698966214-0,md:candles:1m,1786698974630
1786699019999,SYNGENE,1m,401.55,401.80,401.55,401.80,56,1786699029733-0,md:candles:1m,1786699041361
1786699079999,SYNGENE,1m,401.80,401.80,401.55,401.65,580,1786699088727-0,md:candles:1m,1786699094422
1786699139999,SYNGENE,1m,401.65,401.75,401.65,401.75,54,1786699146104-0,md:candles:1m,1786699146984
1786699199999,SYNGENE,1m,401.75,401.75,401.45,401.60,2304,1786699213278-0,md:candles:1m,1786699221468
1786699259999,SYNGENE,1m,401.60,401.60,401.40,401.55,752,1786699278199-0,md:candles:1m,1786699286206
1786699319999,SYNGENE,1m,401.55,401.55,401.00,401.50,2998,1786699325737-0,md:candles:1m,1786699326703
1786699379999,SYNGENE,1m,401.50,401.50,401.30,401.50,327,1786699388633-0,md:candles:1m,1786699391745
1786699439999,SYNGENE,1m,401.50,401.50,401.20,401.50,141,1786699453487-0,md:candles:1m,1786699457822
1786699499999,SYNGENE,1m,401.50,401.50,401.05,401.45,1379,1786699505674-0,md:candles:1m,1786699511111
1786699559999,SYNGENE,1m,401.45,401.45,401.40,401.40,12,1786699576086-0,md:candles:1m,1786699576085
1786699619999,SYNGENE,1m,401.40,401.40,401.40,401.40,10,1786699628512-0,md:candles:1m,1786699639246
1786699679999,SYNGENE,1m,401.40,401.40,401.25,401.25,796,1786699688962-0,md:candles:1m,1786699689702
1786699739999,SYNGENE,1m,401.35,401.35,401.15,401.35,72,1786699754028-0,md:candles:1m,1786699765884
1786699799999,SYNGENE,1m,401.45,401.80,401.45,401.55,1617,1786699806958-0,md:candles:1m,1786699807941
1786699859999,SYNGENE,1m,401.75,401.90,401.65,401.85,4773,1786699869846-0,md:candles:1m,1786699871843
1786699919999,SYNGENE,1m,401.75,401.80,401.50,401.50,1696,1786699926152-0,md:candles:1m,1786699936026
1786699979999,SYNGENE,1m,401.40,401.50,401.30,401.50,998,1786699987534-0,md:candles:1m,1786699989617
1786700039999,SYNGENE,1m,401.55,401.60,401.40,401.40,555,1786700048166-0,md:candles:1m,1786700051805
1786700099999,SYNGENE,1m,401.50,401.50,401.25,401.25,843,1786700108195-0,md:candles:1m,1786700118244
1786700159999,SYNGENE,1m,401.50,401.60,401.25,401.60,1739,1786700166975-0,md:candles:1m,1786700171522
1786700219999,SYNGENE,1m,401.75,402.00,401.30,401.40,10810,1786700226236-0,md:candles:1m,1786700233604
1786700279999,SYNGENE,1m,401.50,402.20,401.50,401.95,3591,1786700291371-0,md:candles:1m,1786700298079
1786700339999,SYNGENE,1m,401.95,402.00,401.80,401.95,422,1786700352062-0,md:candles:1m,1786700362283
1786700399999,SYNGENE,1m,401.95,401.95,401.65,401.80,1325,1786700412057-0,md:candles:1m,1786700412580
1786700459999,SYNGENE,1m,401.80,401.85,401.80,401.80,1928,1786700466429-0,md:candles:1m,1786700476026
1786700519999,SYNGENE,1m,401.75,401.75,401.40,401.55,2347,1786700527877-0,md:candles:1m,1786700529452
1786700579999,SYNGENE,1m,401.55,401.55,401.20,401.40,2580,1786700585507-0,md:candles:1m,1786700591306
1786700639999,SYNGENE,1m,401.40,401.70,401.30,401.55,1416,1786700645878-0,md:candles:1m,1786700653590
1786700699999,SYNGENE,1m,401.50,401.50,401.40,401.45,256,1786700708640-0,md:candles:1m,1786700715149
1786700759999,SYNGENE,1m,401.45,401.55,401.45,401.50,10614,1786700765417-0,md:candles:1m,1786700766491
1786700819999,SYNGENE,1m,401.45,401.55,401.45,401.50,2972,1786700827204-0,md:candles:1m,1786700827804
1786700879999,SYNGENE,1m,401.50,401.50,401.40,401.50,624,1786700885887-0,md:candles:1m,1786700888893
1786700939999,SYNGENE,1m,401.50,401.50,401.30,401.30,972,1786700946782-0,md:candles:1m,1786700950112
1786700999999,SYNGENE,1m,401.30,401.45,401.20,401.20,1338,1786701007789-0,md:candles:1m,1786701010481
1786701059999,SYNGENE,1m,401.20,401.25,401.00,401.25,642,1786701070093-0,md:candles:1m,1786701071890
1786701119999,SYNGENE,1m,401.25,401.25,401.20,401.20,1004,1786701126766-0,md:candles:1m,1786701137210
1786701179999,SYNGENE,1m,401.20,401.20,401.00,401.20,2019,1786701187094-0,md:candles:1m,1786701191510
1786701239999,SYNGENE,1m,401.20,401.20,401.00,401.00,700,1786701247187-0,md:candles:1m,1786701248276
1786701299999,SYNGENE,1m,401.20,401.20,401.00,401.00,953,1786701309382-0,md:candles:1m,1786701313567
1786701359999,SYNGENE,1m,401.15,401.40,401.00,401.05,9593,1786701368689-0,md:candles:1m,1786701379364
