ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,TATACONSUM,10m,1084.10,1084.30,1083.60,1083.90,4820,1786699265730-0,md:candles:10m,1786699276624
1786699799999,TATACONSUM,10m,1083.60,1084.70,1082.40,1082.50,16403,1786699866184-0,md:candles:10m,1786699876284
1786700399999,TATACONSUM,10m,1082.80,1083.30,1081.90,1082.80,31544,1786700468386-0,md:candles:10m,1786700471301
1786700999999,TATACONSUM,10m,1082.80,1083.60,1082.10,1083.00,36538,1786701065678-0,md:candles:10m,1786701070102
1786701599999,TATACONSUM,10m,1083.00,1083.00,1079.50,1079.50,1026757,1786702992546-0,md:candles:10m,1786702992537
1786702809000,TATACONSUM,1d,1084.10,1084.70,1079.50,1079.50,1116062,1786702814642-0,md:candles:1d,1786702818543
1786698959999,TATACONSUM,1m,1084.10,1084.30,1084.10,1084.20,272,1786698967808-0,md:candles:1m,1786698974630
1786699019999,TATACONSUM,1m,1084.00,1084.10,1084.00,1084.10,320,1786699025331-0,md:candles:1m,1786699028548
1786699079999,TATACONSUM,1m,1084.10,1084.10,1083.80,1084.00,2983,1786699087625-0,md:candles:1m,1786699094422
1786699139999,TATACONSUM,1m,1083.60,1084.00,1083.60,1083.60,690,1786699148495-0,md:candles:1m,1786699158101
1786699199999,TATACONSUM,1m,1083.90,1083.90,1083.60,1083.90,555,1786699205685-0,md:candles:1m,1786699208603
1786699259999,TATACONSUM,1m,1083.60,1083.90,1083.50,1083.90,437,1786699265687-0,md:candles:1m,1786699273120
1786699319999,TATACONSUM,1m,1083.70,1084.70,1083.70,1084.70,2821,1786699327379-0,md:candles:1m,1786699339124
1786699379999,TATACONSUM,1m,1084.60,1084.60,1084.20,1084.50,155,1786699390595-0,md:candles:1m,1786699391745
1786699439999,TATACONSUM,1m,1084.50,1084.50,1082.90,1083.20,5907,1786699445831-0,md:candles:1m,1786699457822
1786699499999,TATACONSUM,1m,1082.90,1083.30,1082.80,1083.30,472,1786699507793-0,md:candles:1m,1786699511111
1786699559999,TATACONSUM,1m,1083.40,1083.50,1083.30,1083.30,953,1786699569922-0,md:candles:1m,1786699576085
1786699619999,TATACONSUM,1m,1083.10,1083.40,1082.80,1083.20,1872,1786699626930-0,md:candles:1m,1786699627296
1786699679999,TATACONSUM,1m,1083.00,1083.20,1082.70,1083.00,1248,1786699689978-0,md:candles:1m,1786699701410
1786699739999,TATACONSUM,1m,1082.60,1082.90,1082.50,1082.90,1285,1786699749987-0,md:candles:1m,1786699754023
1786699799999,TATACONSUM,1m,1082.40,1082.80,1082.40,1082.50,1253,1786699809252-0,md:candles:1m,1786699821286
1786699859999,TATACONSUM,1m,1082.80,1082.80,1082.30,1082.50,2257,1786699866135-0,md:candles:1m,1786699871843
1786699919999,TATACONSUM,1m,1082.40,1083.10,1081.90,1083.10,10890,1786699931229-0,md:candles:1m,1786699936026
1786699979999,TATACONSUM,1m,1083.10,1083.30,1082.90,1083.00,760,1786699989420-0,md:candles:1m,1786699989617
1786700039999,TATACONSUM,1m,1083.00,1083.00,1082.70,1083.00,876,1786700047188-0,md:candles:1m,1786700051805
1786700099999,TATACONSUM,1m,1082.80,1083.10,1082.80,1083.10,2333,1786700105830-0,md:candles:1m,1786700118244
1786700159999,TATACONSUM,1m,1083.10,1083.10,1082.50,1082.60,4561,1786700165195-0,md:candles:1m,1786700171522
1786700219999,TATACONSUM,1m,1082.50,1082.70,1082.50,1082.70,2991,1786700231352-0,md:candles:1m,1786700233604
1786700279999,TATACONSUM,1m,1082.70,1082.80,1082.70,1082.80,3519,1786700286320-0,md:candles:1m,1786700298079
1786700339999,TATACONSUM,1m,1082.80,1083.00,1082.80,1083.00,1474,1786700346631-0,md:candles:1m,1786700351053
1786700399999,TATACONSUM,1m,1083.00,1083.00,1082.70,1082.80,1883,1786700407016-0,md:candles:1m,1786700412580
1786700459999,TATACONSUM,1m,1082.80,1082.80,1082.60,1082.60,2523,1786700468372-0,md:candles:1m,1786700476026
1786700519999,TATACONSUM,1m,1082.70,1083.00,1082.60,1083.00,6518,1786700530096-0,md:candles:1m,1786700541067
1786700579999,TATACONSUM,1m,1083.10,1083.50,1083.00,1083.00,13412,1786700585460-0,md:candles:1m,1786700591306
1786700639999,TATACONSUM,1m,1082.60,1083.60,1082.60,1083.20,5035,1786700647813-0,md:candles:1m,1786700653590
1786700699999,TATACONSUM,1m,1083.00,1083.10,1082.10,1083.10,8950,1786700706429-0,md:candles:1m,1786700715149
1786700759999,TATACONSUM,1m,1083.00,1083.00,1083.00,1083.00,100,1786701010183-0,md:candles:1m,1786701010481
1786701059999,TATACONSUM,1m,1083.00,1083.00,1083.00,1083.00,11209,1786701065675-0,md:candles:1m,1786701071890
1786701119999,TATACONSUM,1m,1083.00,1083.00,1083.00,1083.00,346,1786701134779-0,md:candles:1m,1786701137210
1786701179999,TATACONSUM,1m,1083.00,1083.00,1083.00,1083.00,414,1786701194905-0,md:candles:1m,1786701203615
1786701239999,TATACONSUM,1m,1083.00,1083.00,1083.00,1083.00,186,1786701255700-0,md:candles:1m,1786701260413
1786701299999,TATACONSUM,1m,1083.00,1083.00,1083.00,1083.00,115,1786701311383-0,md:candles:1m,1786701313567
1786701359999,TATACONSUM,1m,1083.00,1083.00,1083.00,1083.00,37,1786701450093-0,md:candles:1m,1786701454406
1786701479999,TATACONSUM,1m,1083.00,1083.00,1083.00,1083.00,104,1786701516688-0,md:candles:1m,1786701517806
1786701539999,TATACONSUM,1m,1083.00,1083.00,1079.50,1079.50,1014346,1786702814640-0,md:candles:1m,1786702820532
1786702859999,TATACONSUM,1m,1079.50,1079.50,1079.50,1079.50,83,1786702992544-0,md:candles:1m,1786703000545
1786703039999,TATACONSUM,1m,1079.50,1079.50,1079.50,1079.50,89,1786703338832-0,md:candles:1m,1786703348029
