ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,TATAELXSI,10m,3774.00,3774.00,3770.30,3773.00,2638,1786699265193-0,md:candles:10m,1786699265610
1786699799999,TATAELXSI,10m,3771.60,3775.00,3771.30,3773.30,2048,1786699866164-0,md:candles:10m,1786699876284
1786700399999,TATAELXSI,10m,3767.80,3772.50,3762.90,3765.40,6066,1786700467487-0,md:candles:10m,1786700471301
1786700999999,TATAELXSI,10m,3764.60,3770.00,3761.00,3770.00,4298,1786701071593-0,md:candles:10m,1786701080910
1786701599999,TATAELXSI,10m,3770.00,3772.70,3770.00,3772.70,93253,1786702888034-0,md:candles:10m,1786702895644
1786702803000,TATAELXSI,1d,3774.00,3775.00,3761.00,3772.70,108303,1786702808428-0,md:candles:1d,1786702818543
1786698959999,TATAELXSI,1m,3774.00,3774.00,3773.30,3774.00,47,1786698968039-0,md:candles:1m,1786698974630
1786699019999,TATAELXSI,1m,3774.00,3774.00,3771.90,3772.80,126,1786699032116-0,md:candles:1m,1786699041361
1786699079999,TATAELXSI,1m,3770.30,3772.80,3770.30,3771.00,29,1786699085512-0,md:candles:1m,1786699094422
1786699139999,TATAELXSI,1m,3771.00,3773.00,3770.60,3773.00,1164,1786699152655-0,md:candles:1m,1786699158101
1786699199999,TATAELXSI,1m,3772.30,3773.80,3771.60,3773.00,1272,1786699208362-0,md:candles:1m,1786699208603
1786699259999,TATAELXSI,1m,3771.60,3773.00,3771.60,3772.20,70,1786699265181-0,md:candles:1m,1786699273120
1786699319999,TATAELXSI,1m,3772.20,3772.90,3771.60,3772.00,92,1786699327033-0,md:candles:1m,1786699339124
1786699379999,TATAELXSI,1m,3772.00,3772.90,3771.30,3771.30,33,1786699393950-0,md:candles:1m,1786699404016
1786699439999,TATAELXSI,1m,3772.80,3774.90,3772.80,3774.10,504,1786699460879-0,md:candles:1m,1786699470714
1786699499999,TATAELXSI,1m,3774.10,3775.00,3773.20,3774.60,371,1786699507201-0,md:candles:1m,1786699511111
1786699559999,TATAELXSI,1m,3773.90,3774.50,3772.60,3774.40,112,1786699569909-0,md:candles:1m,1786699576085
1786699619999,TATAELXSI,1m,3772.90,3774.50,3772.50,3773.20,514,1786699626912-0,md:candles:1m,1786699627296
1786699679999,TATAELXSI,1m,3772.00,3773.90,3772.00,3773.90,159,1786699688507-0,md:candles:1m,1786699689702
1786699739999,TATAELXSI,1m,3773.90,3774.00,3773.00,3773.00,147,1786699746006-0,md:candles:1m,1786699754023
1786699799999,TATAELXSI,1m,3773.00,3773.90,3773.00,3773.30,46,1786699808704-0,md:candles:1m,1786699821286
1786699859999,TATAELXSI,1m,3767.80,3768.90,3766.10,3766.10,1432,1786699866117-0,md:candles:1m,1786699871843
1786699919999,TATAELXSI,1m,3768.00,3769.00,3768.00,3768.50,435,1786699925217-0,md:candles:1m,1786699925422
1786699979999,TATAELXSI,1m,3768.50,3771.30,3768.50,3771.00,543,1786699988911-0,md:candles:1m,1786699989617
1786700039999,TATAELXSI,1m,3769.40,3772.00,3769.40,3771.90,307,1786700047084-0,md:candles:1m,1786700051805
1786700099999,TATAELXSI,1m,3772.30,3772.50,3770.00,3770.20,285,1786700106999-0,md:candles:1m,1786700118244
1786700159999,TATAELXSI,1m,3770.20,3771.50,3766.20,3767.90,924,1786700165607-0,md:candles:1m,1786700171522
1786700219999,TATAELXSI,1m,3767.90,3768.70,3765.00,3767.90,409,1786700226177-0,md:candles:1m,1786700233604
1786700279999,TATAELXSI,1m,3767.00,3767.90,3765.00,3766.40,407,1786700285483-0,md:candles:1m,1786700286220
1786700339999,TATAELXSI,1m,3766.40,3766.90,3762.90,3766.30,792,1786700345493-0,md:candles:1m,1786700351053
1786700399999,TATAELXSI,1m,3766.50,3766.80,3763.00,3765.40,532,1786700406123-0,md:candles:1m,1786700412580
1786700459999,TATAELXSI,1m,3764.60,3765.80,3763.00,3765.80,677,1786700467463-0,md:candles:1m,1786700476026
1786700519999,TATAELXSI,1m,3765.30,3765.90,3763.80,3765.00,1064,1786700526403-0,md:candles:1m,1786700529452
1786700579999,TATAELXSI,1m,3764.30,3768.50,3761.10,3765.90,1828,1786700585424-0,md:candles:1m,1786700591306
1786700639999,TATAELXSI,1m,3766.20,3770.00,3762.90,3765.70,230,1786700647315-0,md:candles:1m,1786700653590
1786700699999,TATAELXSI,1m,3761.00,3770.00,3761.00,3770.00,499,1786701009592-0,md:candles:1m,1786701010481
1786701059999,TATAELXSI,1m,3770.00,3770.00,3770.00,3770.00,163,1786701071590-0,md:candles:1m,1786701071890
1786701119999,TATAELXSI,1m,3770.00,3770.00,3770.00,3770.00,103,1786701134280-0,md:candles:1m,1786701137210
1786701179999,TATAELXSI,1m,3770.00,3770.00,3770.00,3770.00,57,1786701188456-0,md:candles:1m,1786701191510
1786701239999,TATAELXSI,1m,3770.00,3770.00,3770.00,3770.00,53,1786701248587-0,md:candles:1m,1786701260413
1786701299999,TATAELXSI,1m,3770.00,3770.00,3770.00,3770.00,15,1786701332891-0,md:candles:1m,1786701336296
1786701359999,TATAELXSI,1m,3770.00,3770.00,3770.00,3770.00,0,1786701376967-0,md:candles:1m,1786701379364
1786701419999,TATAELXSI,1m,3770.00,3770.00,3770.00,3770.00,15,1786701436375-0,md:candles:1m,1786701443578
1786701479999,TATAELXSI,1m,3770.00,3770.00,3770.00,3770.00,212,1786701500976-0,md:candles:1m,1786701507390
1786701539999,TATAELXSI,1m,3770.00,3772.70,3770.00,3772.70,92635,1786702808426-0,md:candles:1m,1786702808525
1786702859999,TATAELXSI,1m,3772.70,3772.70,3772.70,3772.70,0,1786702888031-0,md:candles:1m,1786702895641
1786702919999,TATAELXSI,1m,3772.70,3772.70,3772.70,3772.70,2,1786703020974-0,md:candles:1m,1786703021767
1786703039999,TATAELXSI,1m,3772.70,3772.70,3772.70,3772.70,1,1786703188671-0,md:candles:1m,1786703195974
1786703219999,TATAELXSI,1m,3772.70,3772.70,3772.70,3772.70,1,1786703234103-0,md:candles:1m,1786703239900
1786699799999,TATAELXSI,30m,3774.00,3775.00,3770.30,3773.30,4686,1786699866165-0,md:candles:30m,1786699872287
1786701599999,TATAELXSI,30m,3767.80,3772.70,3761.00,3772.70,103617,1786702888035-0,md:candles:30m,1786702894033
1786699199999,TATAELXSI,5m,3774.00,3774.00,3770.30,3773.00,2638,1786699265192-0,md:candles:5m,1786699265610
1786699499999,TATAELXSI,5m,3771.60,3775.00,3771.30,3774.60,1070,1786699569916-0,md:candles:5m,1786699570970
1786699799999,TATAELXSI,5m,3773.90,3774.50,3772.00,3773.30,978,1786699866163-0,md:candles:5m,1786699868444
1786700099999,TATAELXSI,5m,3767.80,3772.50,3766.10,3770.20,3002,1786700165610-0,md:candles:5m,1786700170829
1786700399999,TATAELXSI,5m,3770.20,3771.50,3762.90,3765.40,3064,1786700467486-0,md:candles:5m,1786700471362
1786700699999,TATAELXSI,5m,3764.60,3770.00,3761.00,3770.00,4298,1786701071591-0,md:candles:5m,1786701080800
1786701299999,TATAELXSI,5m,3770.00,3770.00,3770.00,3770.00,391,1786701376969-0,md:candles:5m,1786701379364
1786701599999,TATAELXSI,5m,3770.00,3772.70,3770.00,3772.70,92862,1786702888033-0,md:candles:5m,1786702895643
1786703099999,TATAELXSI,5m,3772.70,3772.70,3772.70,3772.70,3,1786703234105-0,md:candles:5m,1786703240202
