ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,TATAPOWER,10m,383.30,383.45,383.05,383.20,37415,1786699266485-0,md:candles:10m,1786699276624
1786699799999,TATAPOWER,10m,383.15,383.60,383.15,383.50,104755,1786699870447-0,md:candles:10m,1786699876284
1786700399999,TATAPOWER,10m,383.25,383.50,382.90,383.45,319150,1786700467352-0,md:candles:10m,1786700471301
1786700999999,TATAPOWER,10m,383.40,383.60,383.00,383.10,204549,1786701070590-0,md:candles:10m,1786701080910
1786701599999,TATAPOWER,10m,383.10,383.10,382.05,382.05,8176463,1786702888329-0,md:candles:10m,1786702895644
1786702802000,TATAPOWER,1d,383.30,383.60,382.05,382.05,8842332,1786702807626-0,md:candles:1d,1786702818543
1786698959999,TATAPOWER,1m,383.30,383.45,383.30,383.30,1117,1786698966837-0,md:candles:1m,1786698974630
1786699019999,TATAPOWER,1m,383.25,383.35,383.05,383.25,18619,1786699028624-0,md:candles:1m,1786699041361
1786699079999,TATAPOWER,1m,383.10,383.35,383.10,383.30,4556,1786699087096-0,md:candles:1m,1786699094422
1786699139999,TATAPOWER,1m,383.25,383.35,383.25,383.30,6016,1786699146764-0,md:candles:1m,1786699146984
1786699199999,TATAPOWER,1m,383.30,383.35,383.10,383.20,7107,1786699207595-0,md:candles:1m,1786699208603
1786699259999,TATAPOWER,1m,383.15,383.30,383.15,383.15,1859,1786699266479-0,md:candles:1m,1786699273120
1786699319999,TATAPOWER,1m,383.15,383.40,383.15,383.40,4936,1786699326170-0,md:candles:1m,1786699326703
1786699379999,TATAPOWER,1m,383.25,383.45,383.25,383.25,1759,1786699385821-0,md:candles:1m,1786699391745
1786699439999,TATAPOWER,1m,383.40,383.40,383.20,383.30,4754,1786699445803-0,md:candles:1m,1786699457822
1786699499999,TATAPOWER,1m,383.35,383.60,383.20,383.50,29573,1786699506285-0,md:candles:1m,1786699511111
1786699559999,TATAPOWER,1m,383.50,383.60,383.40,383.40,10587,1786699568882-0,md:candles:1m,1786699576085
1786699619999,TATAPOWER,1m,383.60,383.60,383.40,383.60,7555,1786699625963-0,md:candles:1m,1786699627296
1786699679999,TATAPOWER,1m,383.35,383.50,383.30,383.30,3483,1786699688992-0,md:candles:1m,1786699689702
1786699739999,TATAPOWER,1m,383.25,383.40,383.20,383.40,13978,1786699749026-0,md:candles:1m,1786699754023
1786699799999,TATAPOWER,1m,383.35,383.50,383.15,383.50,26271,1786699807544-0,md:candles:1m,1786699807941
1786699859999,TATAPOWER,1m,383.25,383.25,383.10,383.10,18950,1786699870444-0,md:candles:1m,1786699871843
1786699919999,TATAPOWER,1m,383.10,383.15,382.90,383.05,47019,1786699927329-0,md:candles:1m,1786699936026
1786699979999,TATAPOWER,1m,383.10,383.15,382.95,383.10,23429,1786699988154-0,md:candles:1m,1786699989617
1786700039999,TATAPOWER,1m,383.05,383.50,383.05,383.40,20167,1786700048799-0,md:candles:1m,1786700051805
