ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,TATASTEEL,10m,183.49,183.49,183.36,183.40,105260,1786699265486-0,md:candles:10m,1786699265610
1786699799999,TATASTEEL,10m,183.40,183.75,183.37,183.66,528759,1786699869179-0,md:candles:10m,1786699876284
1786700399999,TATASTEEL,10m,183.66,183.67,183.24,183.34,954692,1786700465464-0,md:candles:10m,1786700471301
1786700999999,TATASTEEL,10m,183.37,183.54,183.31,183.49,447166,1786701069493-0,md:candles:10m,1786701070102
1786701599999,TATASTEEL,10m,183.49,183.50,183.49,183.50,16062801,1786702875614-0,md:candles:10m,1786702885431
1786702801000,TATASTEEL,1d,183.49,183.75,183.24,183.50,18098678,1786702806554-0,md:candles:1d,1786702807233
1786698959999,TATASTEEL,1m,183.49,183.49,183.45,183.45,8859,1786698965644-0,md:candles:1m,1786698974630
1786699019999,TATASTEEL,1m,183.44,183.44,183.38,183.40,23793,1786699027886-0,md:candles:1m,1786699028548
1786699079999,TATASTEEL,1m,183.38,183.44,183.36,183.40,22475,1786699085675-0,md:candles:1m,1786699094422
1786699139999,TATASTEEL,1m,183.38,183.45,183.38,183.44,14518,1786699145408-0,md:candles:1m,1786699146984
1786699199999,TATASTEEL,1m,183.43,183.45,183.40,183.40,35615,1786699206467-0,md:candles:1m,1786699208603
1786699259999,TATASTEEL,1m,183.40,183.45,183.37,183.45,88402,1786699265480-0,md:candles:1m,1786699273120
1786699319999,TATASTEEL,1m,183.47,183.54,183.44,183.54,44007,1786699330721-0,md:candles:1m,1786699339124
1786699379999,TATASTEEL,1m,183.55,183.55,183.54,183.55,48823,1786699388164-0,md:candles:1m,1786699391745
1786699439999,TATASTEEL,1m,183.55,183.55,183.51,183.51,26936,1786699446671-0,md:candles:1m,1786699457822
1786699499999,TATASTEEL,1m,183.54,183.62,183.51,183.57,43146,1786699512634-0,md:candles:1m,1786699523104
1786699559999,TATASTEEL,1m,183.63,183.64,183.60,183.64,17350,1786699568465-0,md:candles:1m,1786699576085
1786699619999,TATASTEEL,1m,183.64,183.67,183.63,183.65,34761,1786699628061-0,md:candles:1m,1786699639246
1786699679999,TATASTEEL,1m,183.69,183.74,183.65,183.72,52505,1786699687976-0,md:candles:1m,1786699689702
1786699739999,TATASTEEL,1m,183.75,183.75,183.51,183.51,93025,1786699748068-0,md:candles:1m,1786699754023
1786699799999,TATASTEEL,1m,183.53,183.67,183.50,183.66,79804,1786699805721-0,md:candles:1m,1786699807941
1786699859999,TATASTEEL,1m,183.66,183.67,183.64,183.65,53258,1786699869162-0,md:candles:1m,1786699871843
1786699919999,TATASTEEL,1m,183.64,183.64,183.55,183.55,117549,1786699928468-0,md:candles:1m,1786699936026
1786699979999,TATASTEEL,1m,183.57,183.57,183.51,183.51,49819,1786699986826-0,md:candles:1m,1786699989617
1786700039999,TATASTEEL,1m,183.55,183.59,183.55,183.56,85168,1786700047297-0,md:candles:1m,1786700051805
1786700099999,TATASTEEL,1m,183.56,183.59,183.55,183.56,64451,1786700110049-0,md:candles:1m,1786700118244
1786700159999,TATASTEEL,1m,183.59,183.59,183.50,183.50,176393,1786700166020-0,md:candles:1m,1786700171522
1786700219999,TATASTEEL,1m,183.51,183.53,183.26,183.30,246293,1786700225287-0,md:candles:1m,1786700233604
1786700279999,TATASTEEL,1m,183.25,183.32,183.24,183.28,58364,1786700290574-0,md:candles:1m,1786700298079
1786700339999,TATASTEEL,1m,183.33,183.40,183.30,183.37,34958,1786700345572-0,md:candles:1m,1786700351053
1786700399999,TATASTEEL,1m,183.36,183.38,183.30,183.34,68439,1786700409404-0,md:candles:1m,1786700412580
1786700459999,TATASTEEL,1m,183.37,183.40,183.35,183.35,63169,1786700465432-0,md:candles:1m,1786700476026
1786700519999,TATASTEEL,1m,183.36,183.42,183.31,183.42,69306,1786700527389-0,md:candles:1m,1786700529452
1786700579999,TATASTEEL,1m,183.43,183.54,183.37,183.50,197299,1786700592169-0,md:candles:1m,1786700602905
1786700639999,TATASTEEL,1m,183.50,183.50,183.36,183.37,41459,1786700645481-0,md:candles:1m,1786700653590
1786700699999,TATASTEEL,1m,183.36,183.50,183.34,183.49,73507,1786700707945-0,md:candles:1m,1786700715149
1786700759999,TATASTEEL,1m,183.49,183.49,183.49,183.49,2426,1786701006984-0,md:candles:1m,1786701010481
1786701059999,TATASTEEL,1m,183.49,183.49,183.49,183.49,355902,1786701069489-0,md:candles:1m,1786701071890
1786701119999,TATASTEEL,1m,183.49,183.49,183.49,183.49,1384,1786701126068-0,md:candles:1m,1786701126761
1786701179999,TATASTEEL,1m,183.49,183.49,183.49,183.49,568,1786701186664-0,md:candles:1m,1786701191510
1786701239999,TATASTEEL,1m,183.49,183.49,183.49,183.49,2681,1786701246599-0,md:candles:1m,1786701248276
1786701299999,TATASTEEL,1m,183.49,183.49,183.49,183.49,6523,1786701308669-0,md:candles:1m,1786701313567
1786701359999,TATASTEEL,1m,183.49,183.49,183.49,183.49,3109,1786701368450-0,md:candles:1m,1786701379364
1786701419999,TATASTEEL,1m,183.49,183.49,183.49,183.49,1463,1786701427464-0,md:candles:1m,1786701432770
1786701479999,TATASTEEL,1m,183.49,183.49,183.49,183.49,118380,1786701490466-0,md:candles:1m,1786701496799
1786701539999,TATASTEEL,1m,183.49,183.50,183.49,183.50,15572791,1786702806552-0,md:candles:1m,1786702808525
1786702859999,TATASTEEL,1m,183.50,183.50,183.50,183.50,1596,1786702875611-0,md:candles:1m,1786702884923
1786702919999,TATASTEEL,1m,183.50,183.50,183.50,183.50,393,1786702928791-0,md:candles:1m,1786702937190
1786702979999,TATASTEEL,1m,183.50,183.50,183.50,183.50,63,1786702989444-0,md:candles:1m,1786702990427
1786703039999,TATASTEEL,1m,183.50,183.50,183.50,183.50,271,1786703073949-0,md:candles:1m,1786703076031
1786703099999,TATASTEEL,1m,183.50,183.50,183.50,183.50,51,1786703112986-0,md:candles:1m,1786703118294
1786703159999,TATASTEEL,1m,183.50,183.50,183.50,183.50,14,1786703174459-0,md:candles:1m,1786703185263
1786703219999,TATASTEEL,1m,183.50,183.50,183.50,183.50,5,1786703309394-0,md:candles:1m,1786703314394
1786703339999,TATASTEEL,1m,183.50,183.50,183.50,183.50,559,1786703386989-0,md:candles:1m,1786703390903
1786699799999,TATASTEEL,30m,183.49,183.75,183.36,183.66,634019,1786699869181-0,md:candles:30m,1786699872287
1786701599999,TATASTEEL,30m,183.66,183.67,183.24,183.50,17464659,1786702875614-0,md:candles:30m,1786702882739
1786699199999,TATASTEEL,5m,183.49,183.49,183.36,183.40,105260,1786699265484-0,md:candles:5m,1786699265610
1786699499999,TATASTEEL,5m,183.40,183.62,183.37,183.57,251314,1786699568467-0,md:candles:5m,1786699570970
1786699799999,TATASTEEL,5m,183.63,183.75,183.50,183.66,277445,1786699869178-0,md:candles:5m,1786699880291
1786700099999,TATASTEEL,5m,183.66,183.67,183.51,183.56,370245,1786700166022-0,md:candles:5m,1786700170829
1786700399999,TATASTEEL,5m,183.59,183.59,183.24,183.34,584447,1786700465463-0,md:candles:5m,1786700471362
1786700699999,TATASTEEL,5m,183.37,183.54,183.31,183.49,444740,1786701006986-0,md:candles:5m,1786701013188
1786700999999,TATASTEEL,5m,183.49,183.49,183.49,183.49,2426,1786701069491-0,md:candles:5m,1786701080800
1786701299999,TATASTEEL,5m,183.49,183.49,183.49,183.49,367058,1786701368452-0,md:candles:5m,1786701379364
1786701599999,TATASTEEL,5m,183.49,183.50,183.49,183.50,15695743,1786702875613-0,md:candles:5m,1786702884923
1786703099999,TATASTEEL,5m,183.50,183.50,183.50,183.50,2374,1786703174462-0,md:candles:5m,1786703174451
