ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,TATATECH,10m,865.55,867.65,865.00,866.30,8877,1786699265767-0,md:candles:10m,1786699276624
1786699799999,TATATECH,10m,866.05,866.50,866.00,866.25,17933,1786699869361-0,md:candles:10m,1786699876284
1786700399999,TATATECH,10m,866.25,867.30,866.10,867.00,32560,1786700465477-0,md:candles:10m,1786700471301
1786700999999,TATATECH,10m,867.30,871.85,866.00,871.00,94193,1786701066975-0,md:candles:10m,1786701070102
1786701599999,TATATECH,10m,871.00,871.25,862.00,864.00,49526,1786701700999-0,md:candles:10m,1786701708808
1786702199999,TATATECH,10m,864.00,867.90,864.00,867.90,791,1786703200683-0,md:candles:10m,1786703207790
1786701600000,TATATECH,1d,865.55,871.85,862.00,864.00,203089,1786701605649-0,md:candles:1d,1786701605651
1786698959999,TATATECH,1m,865.55,865.55,865.10,865.20,348,1786698965843-0,md:candles:1m,1786698974630
1786699019999,TATATECH,1m,865.55,867.65,865.00,867.65,2649,1786699027905-0,md:candles:1m,1786699028548
1786699079999,TATATECH,1m,866.90,867.05,866.45,866.95,1035,1786699085684-0,md:candles:1m,1786699094422
1786699139999,TATATECH,1m,866.50,867.00,866.20,866.35,2744,1786699145684-0,md:candles:1m,1786699146984
1786699199999,TATATECH,1m,866.40,866.95,866.20,866.30,2101,1786699211719-0,md:candles:1m,1786699221468
1786699259999,TATATECH,1m,866.05,866.50,866.00,866.50,1476,1786699265735-0,md:candles:1m,1786699273120
1786699319999,TATATECH,1m,866.50,866.50,866.00,866.00,269,1786699325302-0,md:candles:1m,1786699326703
1786699379999,TATATECH,1m,866.00,866.05,866.00,866.05,6988,1786699388207-0,md:candles:1m,1786699391745
1786699439999,TATATECH,1m,866.30,866.30,866.00,866.00,402,1786699446895-0,md:candles:1m,1786699457822
1786699499999,TATATECH,1m,866.30,866.30,866.00,866.00,674,1786699505174-0,md:candles:1m,1786699511111
1786699559999,TATATECH,1m,866.00,866.40,866.00,866.05,708,1786699568685-0,md:candles:1m,1786699576085
1786699619999,TATATECH,1m,866.05,866.45,866.05,866.05,505,1786699628146-0,md:candles:1m,1786699639246
