ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,TCS,10m,2352.70,2354.10,2352.00,2353.50,26219,1786699265700-0,md:candles:10m,1786699276624
1786699799999,TCS,10m,2353.80,2360.00,2353.80,2356.10,100722,1786699866018-0,md:candles:10m,1786699876284
1786700399999,TCS,10m,2355.80,2360.00,2354.80,2355.60,130012,1786700465415-0,md:candles:10m,1786700471301
1786700999999,TCS,10m,2355.00,2360.00,2354.80,2356.00,66161,1786701069699-0,md:candles:10m,1786701070102
1786701599999,TCS,10m,2356.00,2361.00,2356.00,2361.00,2227053,1786702886439-0,md:candles:10m,1786702895644
1786702801000,TCS,1d,2352.70,2361.00,2352.00,2361.00,2550167,1786702806760-0,md:candles:1d,1786702807233
1786698959999,TCS,1m,2352.70,2353.90,2352.70,2353.10,4685,1786698965847-0,md:candles:1m,1786698974630
1786699019999,TCS,1m,2353.10,2354.00,2352.70,2354.00,5520,1786699025747-0,md:candles:1m,1786699028548
1786699079999,TCS,1m,2354.00,2354.10,2352.70,2352.70,5195,1786699085686-0,md:candles:1m,1786699094422
1786699139999,TCS,1m,2352.60,2352.70,2352.00,2352.60,4105,1786699145482-0,md:candles:1m,1786699146984
1786699199999,TCS,1m,2352.60,2354.00,2352.30,2353.50,6714,1786699206786-0,md:candles:1m,1786699208603
1786699259999,TCS,1m,2353.80,2356.00,2353.80,2355.40,11204,1786699265670-0,md:candles:1m,1786699273120
1786699319999,TCS,1m,2355.00,2357.70,2354.30,2356.00,15346,1786699325376-0,md:candles:1m,1786699326703
1786699379999,TCS,1m,2356.10,2357.40,2356.10,2357.30,6366,1786699385299-0,md:candles:1m,1786699391745
1786699439999,TCS,1m,2356.30,2358.90,2356.20,2358.60,10890,1786699446135-0,md:candles:1m,1786699457822
1786699499999,TCS,1m,2358.70,2359.90,2358.10,2359.40,8959,1786699506070-0,md:candles:1m,1786699511111
1786699559999,TCS,1m,2359.80,2359.80,2357.90,2358.50,6907,1786699568791-0,md:candles:1m,1786699576085
1786699619999,TCS,1m,2358.50,2359.50,2357.10,2358.10,6922,1786699625810-0,md:candles:1m,1786699627296
1786699679999,TCS,1m,2358.80,2359.80,2357.30,2358.60,7669,1786699685599-0,md:candles:1m,1786699689702
1786699739999,TCS,1m,2358.60,2360.00,2355.90,2356.20,17898,1786699745289-0,md:candles:1m,1786699754023
1786699799999,TCS,1m,2356.10,2357.40,2356.00,2356.10,8561,1786699805330-0,md:candles:1m,1786699807941
1786699859999,TCS,1m,2355.80,2357.50,2354.80,2357.50,12893,1786699866015-0,md:candles:1m,1786699871843
1786699919999,TCS,1m,2357.00,2359.00,2357.00,2359.00,7952,1786699926067-0,md:candles:1m,1786699936026
1786699979999,TCS,1m,2359.00,2360.00,2358.40,2359.50,8267,1786699986075-0,md:candles:1m,1786699989617
1786700039999,TCS,1m,2359.50,2360.00,2358.00,2358.10,9872,1786700045519-0,md:candles:1m,1786700051805
1786700099999,TCS,1m,2358.10,2358.10,2356.50,2357.00,6721,1786700105200-0,md:candles:1m,1786700105816
1786700159999,TCS,1m,2357.00,2357.90,2355.70,2357.00,11464,1786700166512-0,md:candles:1m,1786700171522
1786700219999,TCS,1m,2356.90,2357.00,2355.40,2356.80,18379,1786700226128-0,md:candles:1m,1786700233604
1786700279999,TCS,1m,2357.00,2357.00,2356.10,2356.30,6206,1786700285833-0,md:candles:1m,1786700286220
1786700339999,TCS,1m,2356.20,2356.70,2355.50,2356.70,13095,1786700345585-0,md:candles:1m,1786700351053
1786700399999,TCS,1m,2355.30,2356.30,2354.80,2355.60,35163,1786700405358-0,md:candles:1m,1786700412580
1786700459999,TCS,1m,2355.00,2358.80,2354.80,2358.10,24276,1786700465400-0,md:candles:1m,1786700476026
1786700519999,TCS,1m,2358.00,2358.10,2355.70,2356.00,7402,1786700525296-0,md:candles:1m,1786700529452
1786700579999,TCS,1m,2356.30,2358.00,2355.30,2358.00,23841,1786700590412-0,md:candles:1m,1786700591306
1786700639999,TCS,1m,2358.60,2360.00,2357.10,2358.60,5976,1786700645272-0,md:candles:1m,1786700653590
1786700699999,TCS,1m,2358.40,2360.00,2356.00,2356.00,4666,1786701007297-0,md:candles:1m,1786701010481
