ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,TECHM,10m,1627.10,1627.80,1626.50,1627.00,18579,1786699266291-0,md:candles:10m,1786699276624
1786699799999,TECHM,10m,1626.90,1628.90,1625.60,1626.30,161353,1786699869557-0,md:candles:10m,1786699876284
1786700399999,TECHM,10m,1625.90,1631.70,1624.90,1629.40,203010,1786700465514-0,md:candles:10m,1786700471301
1786700999999,TECHM,10m,1629.10,1635.00,1628.20,1632.80,76087,1786701069893-0,md:candles:10m,1786701070102
1786701599999,TECHM,10m,1632.80,1632.80,1632.80,1632.80,3368227,1786703122396-0,md:candles:10m,1786703132411
1786702801000,TECHM,1d,1627.10,1635.00,1624.90,1632.80,3827256,1786702806948-0,md:candles:1d,1786702807233
1786698959999,TECHM,1m,1627.10,1627.80,1627.10,1627.80,87,1786698965926-0,md:candles:1m,1786698974630
1786699019999,TECHM,1m,1627.30,1627.40,1626.70,1626.70,11491,1786699027934-0,md:candles:1m,1786699028548
1786699079999,TECHM,1m,1627.00,1627.20,1626.50,1626.70,1847,1786699085699-0,md:candles:1m,1786699094422
1786699139999,TECHM,1m,1627.00,1627.10,1626.60,1627.10,2445,1786699145910-0,md:candles:1m,1786699146984
1786699199999,TECHM,1m,1627.20,1627.20,1626.80,1627.00,2709,1786699206911-0,md:candles:1m,1786699208603
1786699259999,TECHM,1m,1626.90,1627.60,1626.80,1627.60,1971,1786699266275-0,md:candles:1m,1786699273120
1786699319999,TECHM,1m,1627.60,1627.90,1627.60,1627.90,2388,1786699325483-0,md:candles:1m,1786699326703
1786699379999,TECHM,1m,1628.20,1628.40,1625.60,1626.00,66590,1786699388415-0,md:candles:1m,1786699391745
1786699439999,TECHM,1m,1626.00,1628.40,1625.90,1628.40,43490,1786699445759-0,md:candles:1m,1786699457822
1786699499999,TECHM,1m,1628.60,1628.90,1627.40,1627.70,9160,1786699505798-0,md:candles:1m,1786699511111
1786699559999,TECHM,1m,1628.00,1628.00,1627.20,1627.20,4271,1786699566063-0,md:candles:1m,1786699576085
1786699619999,TECHM,1m,1627.50,1627.80,1626.80,1626.80,1796,1786699628315-0,md:candles:1m,1786699639246
1786699679999,TECHM,1m,1626.50,1627.20,1626.40,1627.20,4993,1786699688003-0,md:candles:1m,1786699689702
1786699739999,TECHM,1m,1626.90,1627.40,1626.40,1627.40,10344,1786699748799-0,md:candles:1m,1786699754023
1786699799999,TECHM,1m,1627.40,1627.60,1625.90,1626.30,16350,1786699806751-0,md:candles:1m,1786699807941
1786699859999,TECHM,1m,1625.90,1626.10,1625.00,1625.00,67336,1786699869546-0,md:candles:1m,1786699871843
1786699919999,TECHM,1m,1625.50,1630.40,1624.90,1630.00,72721,1786699925823-0,md:candles:1m,1786699936026
1786699979999,TECHM,1m,1630.60,1631.70,1628.70,1629.00,19820,1786699985802-0,md:candles:1m,1786699989617
1786700039999,TECHM,1m,1629.00,1629.70,1628.90,1629.40,1333,1786700045522-0,md:candles:1m,1786700051805
1786700099999,TECHM,1m,1629.50,1629.90,1628.40,1628.40,3544,1786700110550-0,md:candles:1m,1786700118244
1786700159999,TECHM,1m,1628.40,1629.00,1628.40,1628.50,11833,1786700166580-0,md:candles:1m,1786700171522
1786700219999,TECHM,1m,1628.50,1628.80,1628.40,1628.50,6944,1786700229128-0,md:candles:1m,1786700233604
1786700279999,TECHM,1m,1628.40,1629.60,1628.40,1629.60,6072,1786700291085-0,md:candles:1m,1786700298079
1786700339999,TECHM,1m,1629.30,1629.30,1628.40,1628.40,8941,1786700345599-0,md:candles:1m,1786700351053
1786700399999,TECHM,1m,1628.20,1629.50,1628.20,1629.40,4466,1786700410386-0,md:candles:1m,1786700412580
1786700459999,TECHM,1m,1629.10,1629.90,1628.80,1629.40,19107,1786700465467-0,md:candles:1m,1786700476026
1786700519999,TECHM,1m,1629.20,1630.40,1629.20,1630.40,6909,1786700527595-0,md:candles:1m,1786700529452
1786700579999,TECHM,1m,1630.50,1630.50,1629.90,1630.00,13971,1786700585183-0,md:candles:1m,1786700591306
1786700639999,TECHM,1m,1630.10,1631.80,1629.60,1631.80,16000,1786700645697-0,md:candles:1m,1786700653590
1786700699999,TECHM,1m,1629.70,1635.00,1628.20,1635.00,19922,1786700708355-0,md:candles:1m,1786700715149
1786700759999,TECHM,1m,1632.80,1632.80,1632.80,1632.80,178,1786701007526-0,md:candles:1m,1786701010481
1786701059999,TECHM,1m,1632.80,1632.80,1632.80,1632.80,14401,1786701069886-0,md:candles:1m,1786701071890
1786701119999,TECHM,1m,1632.80,1632.80,1632.80,1632.80,241,1786701150803-0,md:candles:1m,1786701161014
1786701179999,TECHM,1m,1632.80,1632.80,1632.80,1632.80,1,1786701198816-0,md:candles:1m,1786701203615
1786701239999,TECHM,1m,1632.80,1632.80,1632.80,1632.80,15,1786701253416-0,md:candles:1m,1786701260413
1786701299999,TECHM,1m,1632.80,1632.80,1632.80,1632.80,0,1786701483242-0,md:candles:1m,1786701486644
1786701479999,TECHM,1m,1632.80,1632.80,1632.80,1632.80,21,1786701491156-0,md:candles:1m,1786701496799
1786701539999,TECHM,1m,1632.80,1632.80,1632.80,1632.80,3353548,1786702806945-0,md:candles:1m,1786702808525
1786702859999,TECHM,1m,1632.80,1632.80,1632.80,1632.80,202,1786703122390-0,md:candles:1m,1786703130010
1786699799999,TECHM,30m,1627.10,1628.90,1625.60,1626.30,179932,1786699869559-0,md:candles:30m,1786699872287
1786701599999,TECHM,30m,1625.90,1635.00,1624.90,1632.80,3647324,1786703122398-0,md:candles:30m,1786703130401
1786699199999,TECHM,5m,1627.10,1627.80,1626.50,1627.00,18579,1786699266289-0,md:candles:5m,1786699276624
1786699499999,TECHM,5m,1626.90,1628.90,1625.60,1627.70,123599,1786699566070-0,md:candles:5m,1786699570970
1786699799999,TECHM,5m,1628.00,1628.00,1625.90,1626.30,37754,1786699869555-0,md:candles:5m,1786699880291
1786700099999,TECHM,5m,1625.90,1631.70,1624.90,1628.40,164754,1786700166586-0,md:candles:5m,1786700170829
1786700399999,TECHM,5m,1628.40,1629.60,1628.20,1629.40,38256,1786700465512-0,md:candles:5m,1786700471362
1786700699999,TECHM,5m,1629.10,1635.00,1628.20,1635.00,75909,1786701007529-0,md:candles:5m,1786701013188
1786700999999,TECHM,5m,1632.80,1632.80,1632.80,1632.80,178,1786701069891-0,md:candles:5m,1786701080800
1786701299999,TECHM,5m,1632.80,1632.80,1632.80,1632.80,14658,1786701491161-0,md:candles:5m,1786701499224
1786701599999,TECHM,5m,1632.80,1632.80,1632.80,1632.80,3353569,1786703122394-0,md:candles:5m,1786703132400
