ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,TIINDIA,10m,2723.10,2751.80,2722.80,2739.60,28407,1786699265639-0,md:candles:10m,1786699276624
1786699799999,TIINDIA,10m,2738.10,2757.00,2733.50,2750.00,47310,1786699865999-0,md:candles:10m,1786699876284
1786700399999,TIINDIA,10m,2750.00,2754.60,2723.30,2750.00,114816,1786700465374-0,md:candles:10m,1786700471301
1786700999999,TIINDIA,10m,2749.50,2750.00,2735.20,2742.00,27768,1786701090712-0,md:candles:10m,1786701092722
1786701599999,TIINDIA,10m,2742.00,2742.00,2733.50,2733.50,539538,1786703390908-0,md:candles:10m,1786703398989
1786702813000,TIINDIA,1d,2723.10,2757.00,2722.80,2733.50,757839,1786702818539-0,md:candles:1d,1786702818543
1786698959999,TIINDIA,1m,2723.10,2727.60,2723.10,2725.00,3497,1786698965478-0,md:candles:1m,1786698974630
1786699019999,TIINDIA,1m,2722.90,2751.80,2722.80,2747.70,12549,1786699025500-0,md:candles:1m,1786699028548
1786699079999,TIINDIA,1m,2747.20,2747.20,2735.70,2744.80,6371,1786699085807-0,md:candles:1m,1786699094422
1786699139999,TIINDIA,1m,2744.80,2746.00,2742.00,2742.00,1651,1786699146097-0,md:candles:1m,1786699146984
1786699199999,TIINDIA,1m,2741.80,2741.80,2737.20,2739.60,4339,1786699205644-0,md:candles:1m,1786699208603
1786699259999,TIINDIA,1m,2738.10,2743.10,2736.10,2737.00,3081,1786699265627-0,md:candles:1m,1786699273120
1786699319999,TIINDIA,1m,2736.00,2736.00,2733.50,2734.00,1778,1786699325474-0,md:candles:1m,1786699326703
1786699379999,TIINDIA,1m,2734.00,2757.00,2733.60,2755.60,8700,1786699385188-0,md:candles:1m,1786699391745
1786699439999,TIINDIA,1m,2755.60,2757.00,2751.40,2753.00,4028,1786699445277-0,md:candles:1m,1786699445600
1786699499999,TIINDIA,1m,2752.60,2754.00,2750.60,2752.10,3726,1786699505367-0,md:candles:1m,1786699511111
1786699559999,TIINDIA,1m,2752.20,2752.20,2749.60,2752.00,17643,1786699565925-0,md:candles:1m,1786699576085
1786699619999,TIINDIA,1m,2752.00,2752.70,2749.90,2750.40,1526,1786699625414-0,md:candles:1m,1786699627296
1786699679999,TIINDIA,1m,2750.20,2752.20,2750.00,2751.70,2345,1786699685390-0,md:candles:1m,1786699689702
1786699739999,TIINDIA,1m,2751.20,2753.00,2750.00,2751.30,1488,1786699745173-0,md:candles:1m,1786699754023
1786699799999,TIINDIA,1m,2750.80,2751.20,2748.00,2750.00,2995,1786699808975-0,md:candles:1m,1786699821286
1786699859999,TIINDIA,1m,2750.00,2754.60,2750.00,2750.00,6199,1786699865981-0,md:candles:1m,1786699871843
1786699919999,TIINDIA,1m,2750.00,2752.80,2747.90,2751.90,15802,1786699925717-0,md:candles:1m,1786699936026
1786699979999,TIINDIA,1m,2750.70,2752.00,2749.20,2751.50,2167,1786699985736-0,md:candles:1m,1786699989617
1786700039999,TIINDIA,1m,2750.20,2751.80,2748.80,2750.00,1018,1786700045394-0,md:candles:1m,1786700051805
1786700099999,TIINDIA,1m,2750.00,2752.00,2749.10,2750.00,7114,1786700106022-0,md:candles:1m,1786700118244
1786700159999,TIINDIA,1m,2750.10,2752.00,2750.00,2750.90,4877,1786700166117-0,md:candles:1m,1786700171522
1786700219999,TIINDIA,1m,2750.00,2750.90,2749.20,2750.10,3917,1786700225757-0,md:candles:1m,1786700233604
1786700279999,TIINDIA,1m,2750.00,2750.10,2723.30,2735.50,62212,1786700285836-0,md:candles:1m,1786700286220
