ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,TITAGARH,10m,832.70,833.30,832.50,832.55,3360,1786699266629-0,md:candles:10m,1786699276624
1786699799999,TITAGARH,10m,832.60,833.65,831.65,833.45,9978,1786699870553-0,md:candles:10m,1786699876284
1786700399999,TITAGARH,10m,833.45,833.45,831.50,831.55,9364,1786700467381-0,md:candles:10m,1786700471301
1786700999999,TITAGARH,10m,831.50,832.15,830.00,831.90,21549,1786701069582-0,md:candles:10m,1786701070102
1786701599999,TITAGARH,10m,831.80,833.95,830.60,833.90,11016,1786702807639-0,md:candles:10m,1786702813638
1786702199999,TITAGARH,10m,831.35,831.35,831.35,831.35,0,1786702985338-0,md:candles:10m,1786702992537
1786701696000,TITAGARH,1d,832.70,833.95,830.00,833.90,55267,1786701702001-0,md:candles:1d,1786701710000
1786698959999,TITAGARH,1m,832.70,833.00,832.70,833.00,413,1786698966859-0,md:candles:1m,1786698974630
1786699019999,TITAGARH,1m,832.80,833.30,832.75,832.75,301,1786699030415-0,md:candles:1m,1786699041361
1786699079999,TITAGARH,1m,832.75,833.25,832.75,832.80,100,1786699089202-0,md:candles:1m,1786699094422
1786699139999,TITAGARH,1m,832.80,833.25,832.80,832.85,88,1786699146844-0,md:candles:1m,1786699146984
1786699199999,TITAGARH,1m,832.70,833.00,832.50,832.55,2458,1786699207677-0,md:candles:1m,1786699208603
1786699259999,TITAGARH,1m,832.60,833.00,832.60,832.65,279,1786699266624-0,md:candles:1m,1786699273120
1786699319999,TITAGARH,1m,832.65,833.00,832.35,832.35,1845,1786699326281-0,md:candles:1m,1786699326703
1786699379999,TITAGARH,1m,832.50,832.65,832.20,832.20,253,1786699389209-0,md:candles:1m,1786699391745
1786699439999,TITAGARH,1m,832.20,832.55,832.20,832.30,97,1786699447918-0,md:candles:1m,1786699457822
1786699499999,TITAGARH,1m,832.50,832.60,831.65,832.60,4089,1786699506390-0,md:candles:1m,1786699511111
1786699559999,TITAGARH,1m,832.45,832.65,832.10,832.40,1032,1786699568884-0,md:candles:1m,1786699576085
1786699619999,TITAGARH,1m,832.10,832.40,832.10,832.10,106,1786699625969-0,md:candles:1m,1786699627296
1786699679999,TITAGARH,1m,831.65,832.50,831.65,832.40,445,1786699688994-0,md:candles:1m,1786699689702
1786699739999,TITAGARH,1m,832.65,832.85,832.05,832.25,332,1786699749029-0,md:candles:1m,1786699754023
1786699799999,TITAGARH,1m,832.65,833.65,832.65,833.45,1500,1786699807661-0,md:candles:1m,1786699807941
1786699859999,TITAGARH,1m,833.45,833.45,832.45,832.45,1959,1786699870549-0,md:candles:1m,1786699871843
1786699919999,TITAGARH,1m,832.05,832.55,832.00,832.10,950,1786699927333-0,md:candles:1m,1786699936026
1786699979999,TITAGARH,1m,832.40,832.65,832.10,832.65,611,1786699988258-0,md:candles:1m,1786699989617
1786700039999,TITAGARH,1m,832.75,833.00,832.15,832.55,716,1786700046179-0,md:candles:1m,1786700051805
1786700099999,TITAGARH,1m,832.10,832.60,832.05,832.45,710,1786700111402-0,md:candles:1m,1786700118244
1786700159999,TITAGARH,1m,832.30,832.40,832.05,832.30,558,1786700167341-0,md:candles:1m,1786700171522
1786700219999,TITAGARH,1m,832.30,832.30,831.70,832.00,1004,1786700230030-0,md:candles:1m,1786700233604
1786700279999,TITAGARH,1m,831.70,832.00,831.70,831.75,1439,1786700291999-0,md:candles:1m,1786700298079
1786700339999,TITAGARH,1m,831.55,831.85,831.55,831.70,429,1786700346600-0,md:candles:1m,1786700351053
1786700399999,TITAGARH,1m,831.55,831.70,831.50,831.55,988,1786700405441-0,md:candles:1m,1786700412580
1786700459999,TITAGARH,1m,831.50,831.60,830.85,830.85,4218,1786700467378-0,md:candles:1m,1786700476026
1786700519999,TITAGARH,1m,830.80,830.80,830.20,830.50,5109,1786700528672-0,md:candles:1m,1786700529452
1786700579999,TITAGARH,1m,830.50,830.65,830.10,830.30,960,1786700586168-0,md:candles:1m,1786700591306
1786700639999,TITAGARH,1m,830.20,830.30,830.00,830.25,1526,1786700646519-0,md:candles:1m,1786700653590
1786700699999,TITAGARH,1m,830.25,830.70,830.25,830.60,1427,1786700709243-0,md:candles:1m,1786700715149
1786700759999,TITAGARH,1m,830.60,830.70,830.60,830.65,1340,1786700765916-0,md:candles:1m,1786700766491
1786700819999,TITAGARH,1m,830.65,830.65,830.00,830.25,2410,1786700827807-0,md:candles:1m,1786700827804
1786700879999,TITAGARH,1m,830.20,830.25,830.05,830.10,942,1786700886391-0,md:candles:1m,1786700888893
1786700939999,TITAGARH,1m,830.00,830.20,830.00,830.20,1635,1786700947295-0,md:candles:1m,1786700950112
1786700999999,TITAGARH,1m,830.20,832.15,830.20,831.90,1982,1786701008608-0,md:candles:1m,1786701010481
1786701059999,TITAGARH,1m,831.80,831.90,831.20,831.65,127,1786701069576-0,md:candles:1m,1786701071890
1786701119999,TITAGARH,1m,831.20,831.25,830.60,831.20,524,1786701125689-0,md:candles:1m,1786701126761
1786701179999,TITAGARH,1m,831.00,831.85,830.60,831.40,1730,1786701187692-0,md:candles:1m,1786701191510
1786701239999,TITAGARH,1m,831.40,832.00,831.40,832.00,299,1786701247793-0,md:candles:1m,1786701248276
1786701299999,TITAGARH,1m,832.00,833.20,831.95,832.85,2126,1786701305673-0,md:candles:1m,1786701313567
1786701359999,TITAGARH,1m,832.75,832.90,831.15,832.90,2151,1786701369687-0,md:candles:1m,1786701379364
1786701419999,TITAGARH,1m,832.45,832.80,831.55,832.75,535,1786701432074-0,md:candles:1m,1786701432770
1786701479999,TITAGARH,1m,832.75,832.75,832.00,832.10,728,1786701486656-0,md:candles:1m,1786701486644
1786701539999,TITAGARH,1m,832.10,832.50,832.00,832.50,1643,1786701548849-0,md:candles:1m,1786701551354
1786701599999,TITAGARH,1m,832.50,833.95,832.50,833.90,1153,1786701701998-0,md:candles:1m,1786701706798
1786701719999,TITAGARH,1m,831.35,831.35,831.35,831.35,0,1786702807635-0,md:candles:1m,1786702808525
1786702859999,TITAGARH,1m,831.35,831.35,831.35,831.35,7,1786702985335-0,md:candles:1m,1786702990427
1786699799999,TITAGARH,30m,832.70,833.65,831.65,833.45,13338,1786699870554-0,md:candles:30m,1786699872287
1786701599999,TITAGARH,30m,833.45,833.95,830.00,833.90,41929,1786702807640-0,md:candles:30m,1786702809629
1786699199999,TITAGARH,5m,832.70,833.30,832.50,832.55,3360,1786699266627-0,md:candles:5m,1786699276624
1786699499999,TITAGARH,5m,832.60,833.00,831.65,832.60,6563,1786699568892-0,md:candles:5m,1786699570970
1786699799999,TITAGARH,5m,832.45,833.65,831.65,833.45,3415,1786699870551-0,md:candles:5m,1786699880291
1786700099999,TITAGARH,5m,833.45,833.45,832.00,832.45,4946,1786700167343-0,md:candles:5m,1786700170829
1786700399999,TITAGARH,5m,832.30,832.40,831.50,831.55,4418,1786700467379-0,md:candles:5m,1786700471362
1786700699999,TITAGARH,5m,831.50,831.60,830.00,830.60,13240,1786700765918-0,md:candles:5m,1786700773441
1786700999999,TITAGARH,5m,830.60,832.15,830.00,831.90,8309,1786701069579-0,md:candles:5m,1786701080800
1786701299999,TITAGARH,5m,831.80,833.20,830.60,832.85,4806,1786701369690-0,md:candles:5m,1786701379364
1786701599999,TITAGARH,5m,832.75,833.95,831.15,833.90,6210,1786702807638-0,md:candles:5m,1786702807638
1786701899999,TITAGARH,5m,831.35,831.35,831.35,831.35,0,1786702985337-0,md:candles:5m,1786702992537
