ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,TITAN,10m,5068.60,5072.70,5067.10,5072.50,9450,1786699265722-0,md:candles:10m,1786699276624
1786699799999,TITAN,10m,5072.70,5085.70,5072.70,5078.10,41991,1786699866132-0,md:candles:10m,1786699876284
1786700399999,TITAN,10m,5078.80,5081.30,5072.40,5072.40,28056,1786700468110-0,md:candles:10m,1786700471301
1786700999999,TITAN,10m,5072.40,5077.30,5061.60,5068.40,20974,1786701071598-0,md:candles:10m,1786701080910
1786701599999,TITAN,10m,5068.40,5068.40,5056.20,5056.20,578012,1786703348244-0,md:candles:10m,1786703356842
1786702803000,TITAN,1d,5068.60,5085.70,5056.20,5056.20,678483,1786702808434-0,md:candles:1d,1786702818543
1786698959999,TITAN,1m,5068.60,5069.00,5068.30,5068.30,1000,1786698967426-0,md:candles:1m,1786698974630
1786699019999,TITAN,1m,5068.40,5068.50,5067.10,5068.30,1671,1786699029577-0,md:candles:1m,1786699041361
1786699079999,TITAN,1m,5068.40,5069.80,5068.20,5069.70,1812,1786699085391-0,md:candles:1m,1786699094422
1786699139999,TITAN,1m,5069.80,5070.00,5069.40,5070.00,1879,1786699147982-0,md:candles:1m,1786699158101
1786699199999,TITAN,1m,5070.00,5072.70,5069.40,5072.50,3088,1786699208366-0,md:candles:1m,1786699208603
1786699259999,TITAN,1m,5072.70,5074.80,5072.70,5074.80,2051,1786699265682-0,md:candles:1m,1786699273120
1786699319999,TITAN,1m,5074.60,5077.90,5074.60,5077.60,2222,1786699327038-0,md:candles:1m,1786699339124
1786699379999,TITAN,1m,5077.90,5080.80,5075.80,5076.40,12363,1786699385604-0,md:candles:1m,1786699391745
1786699439999,TITAN,1m,5076.40,5080.00,5075.30,5076.00,3235,1786699445767-0,md:candles:1m,1786699457822
1786699499999,TITAN,1m,5075.80,5080.00,5075.60,5078.90,3035,1786699506040-0,md:candles:1m,1786699511111
