ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,TMPV,10m,331.25,331.35,330.50,330.70,475545,1786699265182-0,md:candles:10m,1786699265610
1786699799999,TMPV,10m,330.70,331.40,330.50,330.90,930102,1786699866004-0,md:candles:10m,1786699876284
1786700399999,TMPV,10m,330.85,333.35,330.85,333.15,2793180,1786700465908-0,md:candles:10m,1786700471301
1786700999999,TMPV,10m,333.25,334.20,333.05,334.00,1547918,1786701069687-0,md:candles:10m,1786701070102
1786701599999,TMPV,10m,334.00,334.50,334.00,334.50,31918236,1786702867101-0,md:candles:10m,1786702875014
1786702801000,TMPV,1d,331.25,334.50,330.50,334.50,37664981,1786702806753-0,md:candles:1d,1786702807233
1786698959999,TMPV,1m,331.25,331.35,331.10,331.15,16007,1786698965444-0,md:candles:1m,1786698974630
1786699019999,TMPV,1m,331.15,331.20,330.90,331.05,142675,1786699025917-0,md:candles:1m,1786699028548
1786699079999,TMPV,1m,331.05,331.05,330.70,330.85,163989,1786699085402-0,md:candles:1m,1786699094422
1786699139999,TMPV,1m,330.80,330.90,330.55,330.60,60286,1786699145478-0,md:candles:1m,1786699146984
1786699199999,TMPV,1m,330.70,330.80,330.50,330.70,92588,1786699206086-0,md:candles:1m,1786699208603
1786699259999,TMPV,1m,330.70,330.80,330.50,330.80,57552,1786699265171-0,md:candles:1m,1786699273120
1786699319999,TMPV,1m,330.75,331.40,330.70,331.15,277807,1786699325981-0,md:candles:1m,1786699326703
1786699379999,TMPV,1m,331.15,331.30,331.00,331.20,153329,1786699385910-0,md:candles:1m,1786699391745
1786699439999,TMPV,1m,331.20,331.25,331.05,331.15,47689,1786699445965-0,md:candles:1m,1786699457822
1786699499999,TMPV,1m,331.15,331.35,331.05,331.35,43427,1786699506171-0,md:candles:1m,1786699511111
1786699559999,TMPV,1m,331.35,331.35,331.00,331.15,86977,1786699565652-0,md:candles:1m,1786699576085
1786699619999,TMPV,1m,331.15,331.15,331.00,331.10,55278,1786699625694-0,md:candles:1m,1786699627296
1786699679999,TMPV,1m,331.10,331.15,331.00,331.10,53675,1786699687986-0,md:candles:1m,1786699689702
1786699739999,TMPV,1m,331.20,331.20,331.05,331.15,49614,1786699745430-0,md:candles:1m,1786699754023
1786699799999,TMPV,1m,331.15,331.15,330.65,330.90,104754,1786699805346-0,md:candles:1m,1786699807941
1786699859999,TMPV,1m,330.85,331.40,330.85,331.40,131097,1786699865983-0,md:candles:1m,1786699871843
1786699919999,TMPV,1m,331.40,331.40,331.20,331.30,62438,1786699926176-0,md:candles:1m,1786699936026
1786699979999,TMPV,1m,331.30,331.75,331.20,331.70,133927,1786699986154-0,md:candles:1m,1786699989617
1786700039999,TMPV,1m,331.65,332.60,331.60,332.55,391234,1786700045981-0,md:candles:1m,1786700051805
1786700099999,TMPV,1m,332.55,332.85,332.45,332.85,210414,1786700105404-0,md:candles:1m,1786700105816
1786700159999,TMPV,1m,332.80,333.10,332.65,332.65,546626,1786700165615-0,md:candles:1m,1786700171522
1786700219999,TMPV,1m,332.75,333.10,332.60,333.00,514208,1786700225185-0,md:candles:1m,1786700233604
1786700279999,TMPV,1m,333.05,333.20,332.75,333.10,301701,1786700286226-0,md:candles:1m,1786700298079
1786700339999,TMPV,1m,333.20,333.30,333.05,333.15,288184,1786700345536-0,md:candles:1m,1786700351053
1786700399999,TMPV,1m,333.20,333.35,333.00,333.15,213351,1786700405319-0,md:candles:1m,1786700412580
1786700459999,TMPV,1m,333.25,333.35,333.05,333.25,127050,1786700465905-0,md:candles:1m,1786700476026
1786700519999,TMPV,1m,333.30,334.20,333.20,334.05,572432,1786700525169-0,md:candles:1m,1786700529452
1786700579999,TMPV,1m,334.05,334.20,334.00,334.00,379248,1786700585419-0,md:candles:1m,1786700591306
1786700639999,TMPV,1m,334.10,334.10,334.00,334.05,284301,1786700645560-0,md:candles:1m,1786700653590
1786700699999,TMPV,1m,334.00,334.05,334.00,334.05,177829,1786700708153-0,md:candles:1m,1786700715149
1786700759999,TMPV,1m,334.00,334.00,334.00,334.00,7058,1786701007290-0,md:candles:1m,1786701010481
